"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"24421",2006-07-01,"2006","Below Affordability Standard",27440,"Core Housing Need","Housing Standards"
"24421",2006-07-01,"2006","Below Adequacy Standard",3105,"Core Housing Need","Housing Standards"
"24421",2006-07-01,"2006","Below Suitability Standard",1795,"Core Housing Need","Housing Standards"
"24421",2006-07-01,"2006","Below One or More Housing Standards",28695,"Core Housing Need","Housing Standards"
"24421",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"24421",2006-07-01,"2006","Total",28695,"Core Housing Need","Housing Standards"
"24421",2011-07-01,"2011","Below Affordability Standard",27555,"Core Housing Need","Housing Standards"
"24421",2011-07-01,"2011","Below Adequacy Standard",2955,"Core Housing Need","Housing Standards"
"24421",2011-07-01,"2011","Below Suitability Standard",1495,"Core Housing Need","Housing Standards"
"24421",2011-07-01,"2011","Below One or More Housing Standards",28895,"Core Housing Need","Housing Standards"
"24421",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"24421",2011-07-01,"2011","Total",28895,"Core Housing Need","Housing Standards"
"24421",2016-07-01,"2016","Below Affordability Standard",24485,"Core Housing Need","Housing Standards"
"24421",2016-07-01,"2016","Below Adequacy Standard",2270,"Core Housing Need","Housing Standards"
"24421",2016-07-01,"2016","Below Suitability Standard",990,"Core Housing Need","Housing Standards"
"24421",2016-07-01,"2016","Below One or More Housing Standards",25605,"Core Housing Need","Housing Standards"
"24421",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"24421",2016-07-01,"2016","Total",25605,"Core Housing Need","Housing Standards"
"24421",2021-07-01,"2021","Below Affordability Standard",17145,"Core Housing Need","Housing Standards"
"24421",2021-07-01,"2021","Below Adequacy Standard",1585,"Core Housing Need","Housing Standards"
"24421",2021-07-01,"2021","Below Suitability Standard",445,"Core Housing Need","Housing Standards"
"24421",2021-07-01,"2021","Below One or More Housing Standards",17870,"Core Housing Need","Housing Standards"
"24421",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"24421",2021-07-01,"2021","Total",17870,"Core Housing Need","Housing Standards"
