"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"47710",2006-07-01,"2006","Below Affordability Standard",1340,"Core Housing Need","Housing Standards"
"47710",2006-07-01,"2006","Below Adequacy Standard",685,"Core Housing Need","Housing Standards"
"47710",2006-07-01,"2006","Below Suitability Standard",305,"Core Housing Need","Housing Standards"
"47710",2006-07-01,"2006","Below One or More Housing Standards",2050,"Core Housing Need","Housing Standards"
"47710",2006-07-01,"2006","Above Standards",5100,"Core Housing Need","Housing Standards"
"47710",2006-07-01,"2006","Total",7155,"Core Housing Need","Housing Standards"
"47710",2011-07-01,"2011","Below Affordability Standard",1550,"Core Housing Need","Housing Standards"
"47710",2011-07-01,"2011","Below Adequacy Standard",555,"Core Housing Need","Housing Standards"
"47710",2011-07-01,"2011","Below Suitability Standard",295,"Core Housing Need","Housing Standards"
"47710",2011-07-01,"2011","Below One or More Housing Standards",2160,"Core Housing Need","Housing Standards"
"47710",2011-07-01,"2011","Above Standards",5150,"Core Housing Need","Housing Standards"
"47710",2011-07-01,"2011","Total",7310,"Core Housing Need","Housing Standards"
"47710",2016-07-01,"2016","Below Affordability Standard",1305,"Core Housing Need","Housing Standards"
"47710",2016-07-01,"2016","Below Adequacy Standard",530,"Core Housing Need","Housing Standards"
"47710",2016-07-01,"2016","Below Suitability Standard",205,"Core Housing Need","Housing Standards"
"47710",2016-07-01,"2016","Below One or More Housing Standards",1885,"Core Housing Need","Housing Standards"
"47710",2016-07-01,"2016","Above Standards",5740,"Core Housing Need","Housing Standards"
"47710",2016-07-01,"2016","Total",7625,"Core Housing Need","Housing Standards"
"47710",2021-07-01,"2021","Below Affordability Standard",1260,"Core Housing Need","Housing Standards"
"47710",2021-07-01,"2021","Below Adequacy Standard",535,"Core Housing Need","Housing Standards"
"47710",2021-07-01,"2021","Below Suitability Standard",345,"Core Housing Need","Housing Standards"
"47710",2021-07-01,"2021","Below One or More Housing Standards",1960,"Core Housing Need","Housing Standards"
"47710",2021-07-01,"2021","Above Standards",6180,"Core Housing Need","Housing Standards"
"47710",2021-07-01,"2021","Total",8140,"Core Housing Need","Housing Standards"
