"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35527",2006-07-01,"2006","Below Affordability Standard",1540,"Core Housing Need","Housing Standards"
"35527",2006-07-01,"2006","Below Adequacy Standard",410,"Core Housing Need","Housing Standards"
"35527",2006-07-01,"2006","Below Suitability Standard",285,"Core Housing Need","Housing Standards"
"35527",2006-07-01,"2006","Below One or More Housing Standards",2015,"Core Housing Need","Housing Standards"
"35527",2006-07-01,"2006","Above Standards",5080,"Core Housing Need","Housing Standards"
"35527",2006-07-01,"2006","Total",7095,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Below Affordability Standard",1670,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Below Adequacy Standard",520,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Below Suitability Standard",235,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Below One or More Housing Standards",2170,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Above Standards",5470,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Total",7650,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Below Affordability Standard",2060,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Below Adequacy Standard",540,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Below Suitability Standard",195,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Below One or More Housing Standards",2535,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Above Standards",5870,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Total",8405,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Below Affordability Standard",1890,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Below Adequacy Standard",480,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Below Suitability Standard",315,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Below One or More Housing Standards",2440,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Above Standards",6500,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Total",8930,"Core Housing Need","Housing Standards"
