"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"48832",2016-07-01,"2016","Below Affordability Standard",40.1,"Core Housing Need","Housing Standards"
"48832",2016-07-01,"2016","Below Adequacy Standard",13.3,"Core Housing Need","Housing Standards"
"48832",2016-07-01,"2016","Below Suitability Standard",13.8,"Core Housing Need","Housing Standards"
"48832",2016-07-01,"2016","Below One or More Housing Standards",30.9,"Core Housing Need","Housing Standards"
"48832",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"48832",2016-07-01,"2016","Total",7,"Core Housing Need","Housing Standards"
"48832",2021-07-01,"2021","Below Affordability Standard",36.4,"Core Housing Need","Housing Standards"
"48832",2021-07-01,"2021","Below Adequacy Standard",17.5,"Core Housing Need","Housing Standards"
"48832",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"48832",2021-07-01,"2021","Below One or More Housing Standards",29.3,"Core Housing Need","Housing Standards"
"48832",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"48832",2021-07-01,"2021","Total",7.1,"Core Housing Need","Housing Standards"
