"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"35569",2006-07-01,"2006","Below Affordability Standard",2385,"Core Housing Need","Housing Standards"
"35569",2006-07-01,"2006","Below Adequacy Standard",405,"Core Housing Need","Housing Standards"
"35569",2006-07-01,"2006","Below Suitability Standard",265,"Core Housing Need","Housing Standards"
"35569",2006-07-01,"2006","Below One or More Housing Standards",2605,"Core Housing Need","Housing Standards"
"35569",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35569",2006-07-01,"2006","Total",2605,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Below Affordability Standard",2535,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Below Adequacy Standard",435,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Below Suitability Standard",235,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Below One or More Housing Standards",2665,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Total",2670,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Below Affordability Standard",2510,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Below Adequacy Standard",375,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Below Suitability Standard",255,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Below One or More Housing Standards",2700,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Total",2695,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Below Affordability Standard",1710,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Below Adequacy Standard",210,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Below Suitability Standard",110,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Below One or More Housing Standards",1805,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Total",1805,"Core Housing Need","Housing Standards"
