"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"12225",2006-07-01,"2006","Below Affordability Standard",70.8,"Core Housing Need","Housing Standards"
"12225",2006-07-01,"2006","Below Adequacy Standard",21.1,"Core Housing Need","Housing Standards"
"12225",2006-07-01,"2006","Below Suitability Standard",30,"Core Housing Need","Housing Standards"
"12225",2006-07-01,"2006","Below One or More Housing Standards",50.4,"Core Housing Need","Housing Standards"
"12225",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"12225",2006-07-01,"2006","Total",16.2,"Core Housing Need","Housing Standards"
"12225",2011-07-01,"2011","Below Affordability Standard",65.5,"Core Housing Need","Housing Standards"
"12225",2011-07-01,"2011","Below Adequacy Standard",24.8,"Core Housing Need","Housing Standards"
"12225",2011-07-01,"2011","Below Suitability Standard",29.8,"Core Housing Need","Housing Standards"
"12225",2011-07-01,"2011","Below One or More Housing Standards",46.1,"Core Housing Need","Housing Standards"
"12225",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"12225",2011-07-01,"2011","Total",14,"Core Housing Need","Housing Standards"
"12225",2016-07-01,"2016","Below Affordability Standard",61.7,"Core Housing Need","Housing Standards"
"12225",2016-07-01,"2016","Below Adequacy Standard",28.4,"Core Housing Need","Housing Standards"
"12225",2016-07-01,"2016","Below Suitability Standard",31.3,"Core Housing Need","Housing Standards"
"12225",2016-07-01,"2016","Below One or More Housing Standards",46.4,"Core Housing Need","Housing Standards"
"12225",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"12225",2016-07-01,"2016","Total",13.4,"Core Housing Need","Housing Standards"
"12225",2021-07-01,"2021","Below Affordability Standard",48.9,"Core Housing Need","Housing Standards"
"12225",2021-07-01,"2021","Below Adequacy Standard",21.6,"Core Housing Need","Housing Standards"
"12225",2021-07-01,"2021","Below Suitability Standard",7.4,"Core Housing Need","Housing Standards"
"12225",2021-07-01,"2021","Below One or More Housing Standards",33.4,"Core Housing Need","Housing Standards"
"12225",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"12225",2021-07-01,"2021","Total",8.4,"Core Housing Need","Housing Standards"
