"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"59915",2006-07-01,"2006","Below Affordability Standard",6265,"Core Housing Need","Housing Standards"
"59915",2006-07-01,"2006","Below Adequacy Standard",620,"Core Housing Need","Housing Standards"
"59915",2006-07-01,"2006","Below Suitability Standard",580,"Core Housing Need","Housing Standards"
"59915",2006-07-01,"2006","Below One or More Housing Standards",6615,"Core Housing Need","Housing Standards"
"59915",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"59915",2006-07-01,"2006","Total",6615,"Core Housing Need","Housing Standards"
"59915",2011-07-01,"2011","Below Affordability Standard",7635,"Core Housing Need","Housing Standards"
"59915",2011-07-01,"2011","Below Adequacy Standard",835,"Core Housing Need","Housing Standards"
"59915",2011-07-01,"2011","Below Suitability Standard",505,"Core Housing Need","Housing Standards"
"59915",2011-07-01,"2011","Below One or More Housing Standards",8070,"Core Housing Need","Housing Standards"
"59915",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"59915",2011-07-01,"2011","Total",8070,"Core Housing Need","Housing Standards"
"59915",2016-07-01,"2016","Below Affordability Standard",7170,"Core Housing Need","Housing Standards"
"59915",2016-07-01,"2016","Below Adequacy Standard",715,"Core Housing Need","Housing Standards"
"59915",2016-07-01,"2016","Below Suitability Standard",505,"Core Housing Need","Housing Standards"
"59915",2016-07-01,"2016","Below One or More Housing Standards",7430,"Core Housing Need","Housing Standards"
"59915",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"59915",2016-07-01,"2016","Total",7430,"Core Housing Need","Housing Standards"
"59915",2021-07-01,"2021","Below Affordability Standard",6950,"Core Housing Need","Housing Standards"
"59915",2021-07-01,"2021","Below Adequacy Standard",540,"Core Housing Need","Housing Standards"
"59915",2021-07-01,"2021","Below Suitability Standard",340,"Core Housing Need","Housing Standards"
"59915",2021-07-01,"2021","Below One or More Housing Standards",7205,"Core Housing Need","Housing Standards"
"59915",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"59915",2021-07-01,"2021","Total",7205,"Core Housing Need","Housing Standards"
