"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35544",2006-07-01,"2006","Below Affordability Standard",2720,"Core Housing Need","Housing Standards"
"35544",2006-07-01,"2006","Below Adequacy Standard",695,"Core Housing Need","Housing Standards"
"35544",2006-07-01,"2006","Below Suitability Standard",375,"Core Housing Need","Housing Standards"
"35544",2006-07-01,"2006","Below One or More Housing Standards",3495,"Core Housing Need","Housing Standards"
"35544",2006-07-01,"2006","Above Standards",10465,"Core Housing Need","Housing Standards"
"35544",2006-07-01,"2006","Total",13960,"Core Housing Need","Housing Standards"
"35544",2011-07-01,"2011","Below Affordability Standard",3635,"Core Housing Need","Housing Standards"
"35544",2011-07-01,"2011","Below Adequacy Standard",790,"Core Housing Need","Housing Standards"
"35544",2011-07-01,"2011","Below Suitability Standard",535,"Core Housing Need","Housing Standards"
"35544",2011-07-01,"2011","Below One or More Housing Standards",4615,"Core Housing Need","Housing Standards"
"35544",2011-07-01,"2011","Above Standards",10670,"Core Housing Need","Housing Standards"
"35544",2011-07-01,"2011","Total",15285,"Core Housing Need","Housing Standards"
"35544",2016-07-01,"2016","Below Affordability Standard",3580,"Core Housing Need","Housing Standards"
"35544",2016-07-01,"2016","Below Adequacy Standard",1010,"Core Housing Need","Housing Standards"
"35544",2016-07-01,"2016","Below Suitability Standard",375,"Core Housing Need","Housing Standards"
"35544",2016-07-01,"2016","Below One or More Housing Standards",4585,"Core Housing Need","Housing Standards"
"35544",2016-07-01,"2016","Above Standards",12190,"Core Housing Need","Housing Standards"
"35544",2016-07-01,"2016","Total",16775,"Core Housing Need","Housing Standards"
"35544",2021-07-01,"2021","Below Affordability Standard",3815,"Core Housing Need","Housing Standards"
"35544",2021-07-01,"2021","Below Adequacy Standard",895,"Core Housing Need","Housing Standards"
"35544",2021-07-01,"2021","Below Suitability Standard",715,"Core Housing Need","Housing Standards"
"35544",2021-07-01,"2021","Below One or More Housing Standards",5110,"Core Housing Need","Housing Standards"
"35544",2021-07-01,"2021","Above Standards",13490,"Core Housing Need","Housing Standards"
"35544",2021-07-01,"2021","Total",18595,"Core Housing Need","Housing Standards"
