"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"59944",2006-07-01,"2006","Below Affordability Standard",47.3,"Core Housing Need","Housing Standards"
"59944",2006-07-01,"2006","Below Adequacy Standard",29.2,"Core Housing Need","Housing Standards"
"59944",2006-07-01,"2006","Below Suitability Standard",25.2,"Core Housing Need","Housing Standards"
"59944",2006-07-01,"2006","Below One or More Housing Standards",35.4,"Core Housing Need","Housing Standards"
"59944",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"59944",2006-07-01,"2006","Total",9.8,"Core Housing Need","Housing Standards"
"59944",2011-07-01,"2011","Below Affordability Standard",52.9,"Core Housing Need","Housing Standards"
"59944",2011-07-01,"2011","Below Adequacy Standard",29.9,"Core Housing Need","Housing Standards"
"59944",2011-07-01,"2011","Below Suitability Standard",31.4,"Core Housing Need","Housing Standards"
"59944",2011-07-01,"2011","Below One or More Housing Standards",42.7,"Core Housing Need","Housing Standards"
"59944",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"59944",2011-07-01,"2011","Total",12.4,"Core Housing Need","Housing Standards"
"59944",2016-07-01,"2016","Below Affordability Standard",52.2,"Core Housing Need","Housing Standards"
"59944",2016-07-01,"2016","Below Adequacy Standard",26.7,"Core Housing Need","Housing Standards"
"59944",2016-07-01,"2016","Below Suitability Standard",35.8,"Core Housing Need","Housing Standards"
"59944",2016-07-01,"2016","Below One or More Housing Standards",43.9,"Core Housing Need","Housing Standards"
"59944",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"59944",2016-07-01,"2016","Total",11.1,"Core Housing Need","Housing Standards"
"59944",2021-07-01,"2021","Below Affordability Standard",52.5,"Core Housing Need","Housing Standards"
"59944",2021-07-01,"2021","Below Adequacy Standard",28,"Core Housing Need","Housing Standards"
"59944",2021-07-01,"2021","Below Suitability Standard",21.6,"Core Housing Need","Housing Standards"
"59944",2021-07-01,"2021","Below One or More Housing Standards",43.7,"Core Housing Need","Housing Standards"
"59944",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"59944",2021-07-01,"2021","Total",11.1,"Core Housing Need","Housing Standards"
