"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"35598",2006-07-01,"2006","Below Affordability Standard",475,"Core Housing Need","Housing Standards"
"35598",2006-07-01,"2006","Below Adequacy Standard",125,"Core Housing Need","Housing Standards"
"35598",2006-07-01,"2006","Below Suitability Standard",70,"Core Housing Need","Housing Standards"
"35598",2006-07-01,"2006","Below One or More Housing Standards",545,"Core Housing Need","Housing Standards"
"35598",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35598",2006-07-01,"2006","Total",545,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Below Affordability Standard",610,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Below Adequacy Standard",150,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Below Suitability Standard",115,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Below One or More Housing Standards",690,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35598",2011-07-01,"2011","Total",690,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Below Affordability Standard",675,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Below Adequacy Standard",130,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Below Suitability Standard",60,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Below One or More Housing Standards",735,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35598",2016-07-01,"2016","Total",735,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Below Affordability Standard",380,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Below Adequacy Standard",60,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Below Suitability Standard",25,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Below One or More Housing Standards",415,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35598",2021-07-01,"2021","Total",415,"Core Housing Need","Housing Standards"
