"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35562",2006-07-01,"2006","Below Affordability Standard",6260,"Core Housing Need","Housing Standards"
"35562",2006-07-01,"2006","Below Adequacy Standard",2955,"Core Housing Need","Housing Standards"
"35562",2006-07-01,"2006","Below Suitability Standard",1030,"Core Housing Need","Housing Standards"
"35562",2006-07-01,"2006","Below One or More Housing Standards",8990,"Core Housing Need","Housing Standards"
"35562",2006-07-01,"2006","Above Standards",26415,"Core Housing Need","Housing Standards"
"35562",2006-07-01,"2006","Total",35400,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Below Affordability Standard",7095,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Below Adequacy Standard",2475,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Below Suitability Standard",1040,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Below One or More Housing Standards",9635,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Above Standards",26575,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Total",36205,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Below Affordability Standard",7605,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Below Adequacy Standard",2715,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Below Suitability Standard",795,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Below One or More Housing Standards",10000,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Above Standards",30315,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Total",40315,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Below Affordability Standard",6175,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Below Adequacy Standard",2665,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Below Suitability Standard",1090,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Below One or More Housing Standards",9055,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Above Standards",32015,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Total",41070,"Core Housing Need","Housing Standards"
