"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"13335",2006-07-01,"2006","Below Affordability Standard",46.2,"Core Housing Need","Housing Standards"
"13335",2006-07-01,"2006","Below Adequacy Standard",14.6,"Core Housing Need","Housing Standards"
"13335",2006-07-01,"2006","Below Suitability Standard",19.7,"Core Housing Need","Housing Standards"
"13335",2006-07-01,"2006","Below One or More Housing Standards",32.5,"Core Housing Need","Housing Standards"
"13335",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"13335",2006-07-01,"2006","Total",8.4,"Core Housing Need","Housing Standards"
"13335",2011-07-01,"2011","Below Affordability Standard",39.8,"Core Housing Need","Housing Standards"
"13335",2011-07-01,"2011","Below Adequacy Standard",28.1,"Core Housing Need","Housing Standards"
"13335",2011-07-01,"2011","Below Suitability Standard",11.2,"Core Housing Need","Housing Standards"
"13335",2011-07-01,"2011","Below One or More Housing Standards",29.2,"Core Housing Need","Housing Standards"
"13335",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"13335",2011-07-01,"2011","Total",7.7,"Core Housing Need","Housing Standards"
"13335",2016-07-01,"2016","Below Affordability Standard",36.4,"Core Housing Need","Housing Standards"
"13335",2016-07-01,"2016","Below Adequacy Standard",14,"Core Housing Need","Housing Standards"
"13335",2016-07-01,"2016","Below Suitability Standard",16,"Core Housing Need","Housing Standards"
"13335",2016-07-01,"2016","Below One or More Housing Standards",27,"Core Housing Need","Housing Standards"
"13335",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"13335",2016-07-01,"2016","Total",6.3,"Core Housing Need","Housing Standards"
"13335",2021-07-01,"2021","Below Affordability Standard",23,"Core Housing Need","Housing Standards"
"13335",2021-07-01,"2021","Below Adequacy Standard",0,"Core Housing Need","Housing Standards"
"13335",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"13335",2021-07-01,"2021","Below One or More Housing Standards",14.7,"Core Housing Need","Housing Standards"
"13335",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"13335",2021-07-01,"2021","Total",2.9,"Core Housing Need","Housing Standards"
