"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"48830",2006-07-01,"2006","Below Affordability Standard",6070,"Core Housing Need","Housing Standards"
"48830",2006-07-01,"2006","Below Adequacy Standard",1695,"Core Housing Need","Housing Standards"
"48830",2006-07-01,"2006","Below Suitability Standard",1650,"Core Housing Need","Housing Standards"
"48830",2006-07-01,"2006","Below One or More Housing Standards",8540,"Core Housing Need","Housing Standards"
"48830",2006-07-01,"2006","Above Standards",23130,"Core Housing Need","Housing Standards"
"48830",2006-07-01,"2006","Total",31670,"Core Housing Need","Housing Standards"
"48830",2011-07-01,"2011","Below Affordability Standard",7825,"Core Housing Need","Housing Standards"
"48830",2011-07-01,"2011","Below Adequacy Standard",2000,"Core Housing Need","Housing Standards"
"48830",2011-07-01,"2011","Below Suitability Standard",1250,"Core Housing Need","Housing Standards"
"48830",2011-07-01,"2011","Below One or More Housing Standards",10260,"Core Housing Need","Housing Standards"
"48830",2011-07-01,"2011","Above Standards",24245,"Core Housing Need","Housing Standards"
"48830",2011-07-01,"2011","Total",34505,"Core Housing Need","Housing Standards"
"48830",2016-07-01,"2016","Below Affordability Standard",7735,"Core Housing Need","Housing Standards"
"48830",2016-07-01,"2016","Below Adequacy Standard",1735,"Core Housing Need","Housing Standards"
"48830",2016-07-01,"2016","Below Suitability Standard",1380,"Core Housing Need","Housing Standards"
"48830",2016-07-01,"2016","Below One or More Housing Standards",10065,"Core Housing Need","Housing Standards"
"48830",2016-07-01,"2016","Above Standards",28710,"Core Housing Need","Housing Standards"
"48830",2016-07-01,"2016","Total",38770,"Core Housing Need","Housing Standards"
"48830",2021-07-01,"2021","Below Affordability Standard",8060,"Core Housing Need","Housing Standards"
"48830",2021-07-01,"2021","Below Adequacy Standard",1830,"Core Housing Need","Housing Standards"
"48830",2021-07-01,"2021","Below Suitability Standard",1365,"Core Housing Need","Housing Standards"
"48830",2021-07-01,"2021","Below One or More Housing Standards",10495,"Core Housing Need","Housing Standards"
"48830",2021-07-01,"2021","Above Standards",29305,"Core Housing Need","Housing Standards"
"48830",2021-07-01,"2021","Total",39795,"Core Housing Need","Housing Standards"
