"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"13310",2006-07-01,"2006","Below Affordability Standard",51,"Core Housing Need","Housing Standards"
"13310",2006-07-01,"2006","Below Adequacy Standard",23.5,"Core Housing Need","Housing Standards"
"13310",2006-07-01,"2006","Below Suitability Standard",23.8,"Core Housing Need","Housing Standards"
"13310",2006-07-01,"2006","Below One or More Housing Standards",36.8,"Core Housing Need","Housing Standards"
"13310",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"13310",2006-07-01,"2006","Total",9.6,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Below Affordability Standard",53.7,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Below Adequacy Standard",18.4,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Below Suitability Standard",21,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Below One or More Housing Standards",38.3,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Total",10.8,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Below Affordability Standard",47.3,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Below Adequacy Standard",20.8,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Below Suitability Standard",20.8,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Below One or More Housing Standards",35.7,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Total",8.8,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Below Affordability Standard",42.7,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Below Adequacy Standard",14.1,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Below Suitability Standard",8.6,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Below One or More Housing Standards",28,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Total",6.2,"Core Housing Need","Housing Standards"
