"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35568",2006-07-01,"2006","Below Affordability Standard",15055,"Core Housing Need","Housing Standards"
"35568",2006-07-01,"2006","Below Adequacy Standard",2750,"Core Housing Need","Housing Standards"
"35568",2006-07-01,"2006","Below Suitability Standard",2530,"Core Housing Need","Housing Standards"
"35568",2006-07-01,"2006","Below One or More Housing Standards",18460,"Core Housing Need","Housing Standards"
"35568",2006-07-01,"2006","Above Standards",42880,"Core Housing Need","Housing Standards"
"35568",2006-07-01,"2006","Total",61340,"Core Housing Need","Housing Standards"
"35568",2011-07-01,"2011","Below Affordability Standard",16980,"Core Housing Need","Housing Standards"
"35568",2011-07-01,"2011","Below Adequacy Standard",2965,"Core Housing Need","Housing Standards"
"35568",2011-07-01,"2011","Below Suitability Standard",2595,"Core Housing Need","Housing Standards"
"35568",2011-07-01,"2011","Below One or More Housing Standards",20725,"Core Housing Need","Housing Standards"
"35568",2011-07-01,"2011","Above Standards",44715,"Core Housing Need","Housing Standards"
"35568",2011-07-01,"2011","Total",65445,"Core Housing Need","Housing Standards"
"35568",2016-07-01,"2016","Below Affordability Standard",17545,"Core Housing Need","Housing Standards"
"35568",2016-07-01,"2016","Below Adequacy Standard",3335,"Core Housing Need","Housing Standards"
"35568",2016-07-01,"2016","Below Suitability Standard",2345,"Core Housing Need","Housing Standards"
"35568",2016-07-01,"2016","Below One or More Housing Standards",21350,"Core Housing Need","Housing Standards"
"35568",2016-07-01,"2016","Above Standards",48670,"Core Housing Need","Housing Standards"
"35568",2016-07-01,"2016","Total",70025,"Core Housing Need","Housing Standards"
"35568",2021-07-01,"2021","Below Affordability Standard",18040,"Core Housing Need","Housing Standards"
"35568",2021-07-01,"2021","Below Adequacy Standard",3490,"Core Housing Need","Housing Standards"
"35568",2021-07-01,"2021","Below Suitability Standard",2990,"Core Housing Need","Housing Standards"
"35568",2021-07-01,"2021","Below One or More Housing Standards",22760,"Core Housing Need","Housing Standards"
"35568",2021-07-01,"2021","Above Standards",53645,"Core Housing Need","Housing Standards"
"35568",2021-07-01,"2021","Total",76405,"Core Housing Need","Housing Standards"
