"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35533",2006-07-01,"2006","Below Affordability Standard",805,"Core Housing Need","Housing Standards"
"35533",2006-07-01,"2006","Below Adequacy Standard",275,"Core Housing Need","Housing Standards"
"35533",2006-07-01,"2006","Below Suitability Standard",185,"Core Housing Need","Housing Standards"
"35533",2006-07-01,"2006","Below One or More Housing Standards",1145,"Core Housing Need","Housing Standards"
"35533",2006-07-01,"2006","Above Standards",3315,"Core Housing Need","Housing Standards"
"35533",2006-07-01,"2006","Total",4455,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Below Affordability Standard",805,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Below Adequacy Standard",360,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Below Suitability Standard",160,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Below One or More Housing Standards",1160,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Above Standards",3465,"Core Housing Need","Housing Standards"
"35533",2011-07-01,"2011","Total",4630,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Below Affordability Standard",855,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Below Adequacy Standard",390,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Below Suitability Standard",100,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Below One or More Housing Standards",1215,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Above Standards",3775,"Core Housing Need","Housing Standards"
"35533",2016-07-01,"2016","Total",4995,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Below Affordability Standard",835,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Below Adequacy Standard",325,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Below Suitability Standard",145,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Below One or More Housing Standards",1230,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Above Standards",4185,"Core Housing Need","Housing Standards"
"35533",2021-07-01,"2021","Total",5415,"Core Housing Need","Housing Standards"
