"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"47735",2006-07-01,"2006","Below Affordability Standard",655,"Core Housing Need","Housing Standards"
"47735",2006-07-01,"2006","Below Adequacy Standard",180,"Core Housing Need","Housing Standards"
"47735",2006-07-01,"2006","Below Suitability Standard",165,"Core Housing Need","Housing Standards"
"47735",2006-07-01,"2006","Below One or More Housing Standards",755,"Core Housing Need","Housing Standards"
"47735",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"47735",2006-07-01,"2006","Total",750,"Core Housing Need","Housing Standards"
"47735",2011-07-01,"2011","Below Affordability Standard",665,"Core Housing Need","Housing Standards"
"47735",2011-07-01,"2011","Below Adequacy Standard",80,"Core Housing Need","Housing Standards"
"47735",2011-07-01,"2011","Below Suitability Standard",65,"Core Housing Need","Housing Standards"
"47735",2011-07-01,"2011","Below One or More Housing Standards",760,"Core Housing Need","Housing Standards"
"47735",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"47735",2011-07-01,"2011","Total",760,"Core Housing Need","Housing Standards"
"47735",2016-07-01,"2016","Below Affordability Standard",950,"Core Housing Need","Housing Standards"
"47735",2016-07-01,"2016","Below Adequacy Standard",125,"Core Housing Need","Housing Standards"
"47735",2016-07-01,"2016","Below Suitability Standard",125,"Core Housing Need","Housing Standards"
"47735",2016-07-01,"2016","Below One or More Housing Standards",1000,"Core Housing Need","Housing Standards"
"47735",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"47735",2016-07-01,"2016","Total",1000,"Core Housing Need","Housing Standards"
"47735",2021-07-01,"2021","Below Affordability Standard",560,"Core Housing Need","Housing Standards"
"47735",2021-07-01,"2021","Below Adequacy Standard",100,"Core Housing Need","Housing Standards"
"47735",2021-07-01,"2021","Below Suitability Standard",30,"Core Housing Need","Housing Standards"
"47735",2021-07-01,"2021","Below One or More Housing Standards",600,"Core Housing Need","Housing Standards"
"47735",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"47735",2021-07-01,"2021","Total",600,"Core Housing Need","Housing Standards"
