"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"13330",2006-07-01,"2006","Below Affordability Standard",1270,"Core Housing Need","Housing Standards"
"13330",2006-07-01,"2006","Below Adequacy Standard",710,"Core Housing Need","Housing Standards"
"13330",2006-07-01,"2006","Below Suitability Standard",210,"Core Housing Need","Housing Standards"
"13330",2006-07-01,"2006","Below One or More Housing Standards",1930,"Core Housing Need","Housing Standards"
"13330",2006-07-01,"2006","Above Standards",4660,"Core Housing Need","Housing Standards"
"13330",2006-07-01,"2006","Total",6590,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Below Affordability Standard",1335,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Below Adequacy Standard",700,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Below Suitability Standard",225,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Below One or More Housing Standards",2005,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Above Standards",4825,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Total",6825,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Below Affordability Standard",1040,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Below Adequacy Standard",570,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Below Suitability Standard",155,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Below One or More Housing Standards",1595,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Above Standards",4810,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Total",6405,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Below Affordability Standard",800,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Below Adequacy Standard",465,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Below Suitability Standard",145,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Below One or More Housing Standards",1315,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Above Standards",4735,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Total",6050,"Core Housing Need","Housing Standards"
