"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"59970",2006-07-01,"2006","Below Affordability Standard",48.9,"Core Housing Need","Housing Standards"
"59970",2006-07-01,"2006","Below Adequacy Standard",20.6,"Core Housing Need","Housing Standards"
"59970",2006-07-01,"2006","Below Suitability Standard",17.7,"Core Housing Need","Housing Standards"
"59970",2006-07-01,"2006","Below One or More Housing Standards",34.2,"Core Housing Need","Housing Standards"
"59970",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"59970",2006-07-01,"2006","Total",8.8,"Core Housing Need","Housing Standards"
"59970",2011-07-01,"2011","Below Affordability Standard",56.1,"Core Housing Need","Housing Standards"
"59970",2011-07-01,"2011","Below Adequacy Standard",21.7,"Core Housing Need","Housing Standards"
"59970",2011-07-01,"2011","Below Suitability Standard",24.8,"Core Housing Need","Housing Standards"
"59970",2011-07-01,"2011","Below One or More Housing Standards",42.1,"Core Housing Need","Housing Standards"
"59970",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"59970",2011-07-01,"2011","Total",11.4,"Core Housing Need","Housing Standards"
"59970",2016-07-01,"2016","Below Affordability Standard",52.1,"Core Housing Need","Housing Standards"
"59970",2016-07-01,"2016","Below Adequacy Standard",22.2,"Core Housing Need","Housing Standards"
"59970",2016-07-01,"2016","Below Suitability Standard",27,"Core Housing Need","Housing Standards"
"59970",2016-07-01,"2016","Below One or More Housing Standards",39.4,"Core Housing Need","Housing Standards"
"59970",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"59970",2016-07-01,"2016","Total",9.4,"Core Housing Need","Housing Standards"
"59970",2021-07-01,"2021","Below Affordability Standard",45.1,"Core Housing Need","Housing Standards"
"59970",2021-07-01,"2021","Below Adequacy Standard",15.8,"Core Housing Need","Housing Standards"
"59970",2021-07-01,"2021","Below Suitability Standard",7.5,"Core Housing Need","Housing Standards"
"59970",2021-07-01,"2021","Below One or More Housing Standards",29.7,"Core Housing Need","Housing Standards"
"59970",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"59970",2021-07-01,"2021","Total",6.5,"Core Housing Need","Housing Standards"
