"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"47715",2006-07-01,"2006","Below Affordability Standard",45.5,"Core Housing Need","Housing Standards"
"47715",2006-07-01,"2006","Below Adequacy Standard",18.4,"Core Housing Need","Housing Standards"
"47715",2006-07-01,"2006","Below Suitability Standard",14.4,"Core Housing Need","Housing Standards"
"47715",2006-07-01,"2006","Below One or More Housing Standards",30.7,"Core Housing Need","Housing Standards"
"47715",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"47715",2006-07-01,"2006","Total",8.8,"Core Housing Need","Housing Standards"
"47715",2011-07-01,"2011","Below Affordability Standard",59.4,"Core Housing Need","Housing Standards"
"47715",2011-07-01,"2011","Below Adequacy Standard",27.6,"Core Housing Need","Housing Standards"
"47715",2011-07-01,"2011","Below Suitability Standard",17.7,"Core Housing Need","Housing Standards"
"47715",2011-07-01,"2011","Below One or More Housing Standards",42.7,"Core Housing Need","Housing Standards"
"47715",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"47715",2011-07-01,"2011","Total",13,"Core Housing Need","Housing Standards"
"47715",2016-07-01,"2016","Below Affordability Standard",58,"Core Housing Need","Housing Standards"
"47715",2016-07-01,"2016","Below Adequacy Standard",16.3,"Core Housing Need","Housing Standards"
"47715",2016-07-01,"2016","Below Suitability Standard",16.2,"Core Housing Need","Housing Standards"
"47715",2016-07-01,"2016","Below One or More Housing Standards",42.5,"Core Housing Need","Housing Standards"
"47715",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"47715",2016-07-01,"2016","Total",11.6,"Core Housing Need","Housing Standards"
"47715",2021-07-01,"2021","Below Affordability Standard",33.9,"Core Housing Need","Housing Standards"
"47715",2021-07-01,"2021","Below Adequacy Standard",12.6,"Core Housing Need","Housing Standards"
"47715",2021-07-01,"2021","Below Suitability Standard",10.2,"Core Housing Need","Housing Standards"
"47715",2021-07-01,"2021","Below One or More Housing Standards",24.8,"Core Housing Need","Housing Standards"
"47715",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"47715",2021-07-01,"2021","Total",6.4,"Core Housing Need","Housing Standards"
