"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"48810",2006-07-01,"2006","Below Affordability Standard",3115,"Core Housing Need","Housing Standards"
"48810",2006-07-01,"2006","Below Adequacy Standard",510,"Core Housing Need","Housing Standards"
"48810",2006-07-01,"2006","Below Suitability Standard",355,"Core Housing Need","Housing Standards"
"48810",2006-07-01,"2006","Below One or More Housing Standards",3435,"Core Housing Need","Housing Standards"
"48810",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"48810",2006-07-01,"2006","Total",3435,"Core Housing Need","Housing Standards"
"48810",2011-07-01,"2011","Below Affordability Standard",3750,"Core Housing Need","Housing Standards"
"48810",2011-07-01,"2011","Below Adequacy Standard",635,"Core Housing Need","Housing Standards"
"48810",2011-07-01,"2011","Below Suitability Standard",385,"Core Housing Need","Housing Standards"
"48810",2011-07-01,"2011","Below One or More Housing Standards",4020,"Core Housing Need","Housing Standards"
"48810",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"48810",2011-07-01,"2011","Total",4020,"Core Housing Need","Housing Standards"
"48810",2016-07-01,"2016","Below Affordability Standard",4060,"Core Housing Need","Housing Standards"
"48810",2016-07-01,"2016","Below Adequacy Standard",565,"Core Housing Need","Housing Standards"
"48810",2016-07-01,"2016","Below Suitability Standard",335,"Core Housing Need","Housing Standards"
"48810",2016-07-01,"2016","Below One or More Housing Standards",4345,"Core Housing Need","Housing Standards"
"48810",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"48810",2016-07-01,"2016","Total",4345,"Core Housing Need","Housing Standards"
"48810",2021-07-01,"2021","Below Affordability Standard",4005,"Core Housing Need","Housing Standards"
"48810",2021-07-01,"2021","Below Adequacy Standard",500,"Core Housing Need","Housing Standards"
"48810",2021-07-01,"2021","Below Suitability Standard",230,"Core Housing Need","Housing Standards"
"48810",2021-07-01,"2021","Below One or More Housing Standards",4235,"Core Housing Need","Housing Standards"
"48810",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"48810",2021-07-01,"2021","Total",4235,"Core Housing Need","Housing Standards"
