"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"47725",2006-07-01,"2006","Below Affordability Standard",8115,"Core Housing Need","Housing Standards"
"47725",2006-07-01,"2006","Below Adequacy Standard",1085,"Core Housing Need","Housing Standards"
"47725",2006-07-01,"2006","Below Suitability Standard",975,"Core Housing Need","Housing Standards"
"47725",2006-07-01,"2006","Below One or More Housing Standards",8510,"Core Housing Need","Housing Standards"
"47725",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"47725",2006-07-01,"2006","Total",8510,"Core Housing Need","Housing Standards"
"47725",2011-07-01,"2011","Below Affordability Standard",11420,"Core Housing Need","Housing Standards"
"47725",2011-07-01,"2011","Below Adequacy Standard",1485,"Core Housing Need","Housing Standards"
"47725",2011-07-01,"2011","Below Suitability Standard",1575,"Core Housing Need","Housing Standards"
"47725",2011-07-01,"2011","Below One or More Housing Standards",12295,"Core Housing Need","Housing Standards"
"47725",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"47725",2011-07-01,"2011","Total",12295,"Core Housing Need","Housing Standards"
"47725",2016-07-01,"2016","Below Affordability Standard",12345,"Core Housing Need","Housing Standards"
"47725",2016-07-01,"2016","Below Adequacy Standard",1155,"Core Housing Need","Housing Standards"
"47725",2016-07-01,"2016","Below Suitability Standard",1590,"Core Housing Need","Housing Standards"
"47725",2016-07-01,"2016","Below One or More Housing Standards",13135,"Core Housing Need","Housing Standards"
"47725",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"47725",2016-07-01,"2016","Total",13135,"Core Housing Need","Housing Standards"
"47725",2021-07-01,"2021","Below Affordability Standard",11155,"Core Housing Need","Housing Standards"
"47725",2021-07-01,"2021","Below Adequacy Standard",975,"Core Housing Need","Housing Standards"
"47725",2021-07-01,"2021","Below Suitability Standard",1340,"Core Housing Need","Housing Standards"
"47725",2021-07-01,"2021","Below One or More Housing Standards",12075,"Core Housing Need","Housing Standards"
"47725",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"47725",2021-07-01,"2021","Total",12075,"Core Housing Need","Housing Standards"
