"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"35562",2006-07-01,"2006","Below Affordability Standard",3815,"Core Housing Need","Housing Standards"
"35562",2006-07-01,"2006","Below Adequacy Standard",840,"Core Housing Need","Housing Standards"
"35562",2006-07-01,"2006","Below Suitability Standard",245,"Core Housing Need","Housing Standards"
"35562",2006-07-01,"2006","Below One or More Housing Standards",4110,"Core Housing Need","Housing Standards"
"35562",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35562",2006-07-01,"2006","Total",4110,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Below Affordability Standard",4110,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Below Adequacy Standard",665,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Below Suitability Standard",235,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Below One or More Housing Standards",4395,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35562",2011-07-01,"2011","Total",4390,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Below Affordability Standard",4940,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Below Adequacy Standard",840,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Below Suitability Standard",235,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Below One or More Housing Standards",5200,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35562",2016-07-01,"2016","Total",5200,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Below Affordability Standard",3425,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Below Adequacy Standard",600,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Below Suitability Standard",205,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Below One or More Housing Standards",3680,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35562",2021-07-01,"2021","Total",3680,"Core Housing Need","Housing Standards"
