"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"59940",2006-07-01,"2006","Below Affordability Standard",860,"Core Housing Need","Housing Standards"
"59940",2006-07-01,"2006","Below Adequacy Standard",240,"Core Housing Need","Housing Standards"
"59940",2006-07-01,"2006","Below Suitability Standard",105,"Core Housing Need","Housing Standards"
"59940",2006-07-01,"2006","Below One or More Housing Standards",960,"Core Housing Need","Housing Standards"
"59940",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"59940",2006-07-01,"2006","Total",960,"Core Housing Need","Housing Standards"
"59940",2011-07-01,"2011","Below Affordability Standard",1235,"Core Housing Need","Housing Standards"
"59940",2011-07-01,"2011","Below Adequacy Standard",380,"Core Housing Need","Housing Standards"
"59940",2011-07-01,"2011","Below Suitability Standard",120,"Core Housing Need","Housing Standards"
"59940",2011-07-01,"2011","Below One or More Housing Standards",1340,"Core Housing Need","Housing Standards"
"59940",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"59940",2011-07-01,"2011","Total",1345,"Core Housing Need","Housing Standards"
"59940",2016-07-01,"2016","Below Affordability Standard",1415,"Core Housing Need","Housing Standards"
"59940",2016-07-01,"2016","Below Adequacy Standard",290,"Core Housing Need","Housing Standards"
"59940",2016-07-01,"2016","Below Suitability Standard",90,"Core Housing Need","Housing Standards"
"59940",2016-07-01,"2016","Below One or More Housing Standards",1535,"Core Housing Need","Housing Standards"
"59940",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"59940",2016-07-01,"2016","Total",1535,"Core Housing Need","Housing Standards"
"59940",2021-07-01,"2021","Below Affordability Standard",1080,"Core Housing Need","Housing Standards"
"59940",2021-07-01,"2021","Below Adequacy Standard",230,"Core Housing Need","Housing Standards"
"59940",2021-07-01,"2021","Below Suitability Standard",75,"Core Housing Need","Housing Standards"
"59940",2021-07-01,"2021","Below One or More Housing Standards",1205,"Core Housing Need","Housing Standards"
"59940",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"59940",2021-07-01,"2021","Total",1205,"Core Housing Need","Housing Standards"
