"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"61995",2006-07-01,"2006","Below Affordability Standard",55.2,"Core Housing Need","Housing Standards"
"61995",2006-07-01,"2006","Below Adequacy Standard",25,"Core Housing Need","Housing Standards"
"61995",2006-07-01,"2006","Below Suitability Standard",16.1,"Core Housing Need","Housing Standards"
"61995",2006-07-01,"2006","Below One or More Housing Standards",33.6,"Core Housing Need","Housing Standards"
"61995",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"61995",2006-07-01,"2006","Total",9.5,"Core Housing Need","Housing Standards"
"61995",2011-07-01,"2011","Below Affordability Standard",56.3,"Core Housing Need","Housing Standards"
"61995",2011-07-01,"2011","Below Adequacy Standard",40.6,"Core Housing Need","Housing Standards"
"61995",2011-07-01,"2011","Below Suitability Standard",14.8,"Core Housing Need","Housing Standards"
"61995",2011-07-01,"2011","Below One or More Housing Standards",37.3,"Core Housing Need","Housing Standards"
"61995",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"61995",2011-07-01,"2011","Total",10.1,"Core Housing Need","Housing Standards"
"61995",2016-07-01,"2016","Below Affordability Standard",64.7,"Core Housing Need","Housing Standards"
"61995",2016-07-01,"2016","Below Adequacy Standard",20.6,"Core Housing Need","Housing Standards"
"61995",2016-07-01,"2016","Below Suitability Standard",33,"Core Housing Need","Housing Standards"
"61995",2016-07-01,"2016","Below One or More Housing Standards",39.9,"Core Housing Need","Housing Standards"
"61995",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"61995",2016-07-01,"2016","Total",10.6,"Core Housing Need","Housing Standards"
"61995",2021-07-01,"2021","Below Affordability Standard",58,"Core Housing Need","Housing Standards"
"61995",2021-07-01,"2021","Below Adequacy Standard",18.6,"Core Housing Need","Housing Standards"
"61995",2021-07-01,"2021","Below Suitability Standard",28.2,"Core Housing Need","Housing Standards"
"61995",2021-07-01,"2021","Below One or More Housing Standards",34.4,"Core Housing Need","Housing Standards"
"61995",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"61995",2021-07-01,"2021","Total",10.3,"Core Housing Need","Housing Standards"
