"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"24442",2006-07-01,"2006","Below Affordability Standard",60,"Core Housing Need","Housing Standards"
"24442",2006-07-01,"2006","Below Adequacy Standard",14.6,"Core Housing Need","Housing Standards"
"24442",2006-07-01,"2006","Below Suitability Standard",19.4,"Core Housing Need","Housing Standards"
"24442",2006-07-01,"2006","Below One or More Housing Standards",46.8,"Core Housing Need","Housing Standards"
"24442",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"24442",2006-07-01,"2006","Total",12.3,"Core Housing Need","Housing Standards"
"24442",2011-07-01,"2011","Below Affordability Standard",39.8,"Core Housing Need","Housing Standards"
"24442",2011-07-01,"2011","Below Adequacy Standard",13.1,"Core Housing Need","Housing Standards"
"24442",2011-07-01,"2011","Below Suitability Standard",14.3,"Core Housing Need","Housing Standards"
"24442",2011-07-01,"2011","Below One or More Housing Standards",30.7,"Core Housing Need","Housing Standards"
"24442",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"24442",2011-07-01,"2011","Total",8.2,"Core Housing Need","Housing Standards"
"24442",2016-07-01,"2016","Below Affordability Standard",34.4,"Core Housing Need","Housing Standards"
"24442",2016-07-01,"2016","Below Adequacy Standard",11.8,"Core Housing Need","Housing Standards"
"24442",2016-07-01,"2016","Below Suitability Standard",12.7,"Core Housing Need","Housing Standards"
"24442",2016-07-01,"2016","Below One or More Housing Standards",26.9,"Core Housing Need","Housing Standards"
"24442",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"24442",2016-07-01,"2016","Total",6.2,"Core Housing Need","Housing Standards"
"24442",2021-07-01,"2021","Below Affordability Standard",27.8,"Core Housing Need","Housing Standards"
"24442",2021-07-01,"2021","Below Adequacy Standard",6,"Core Housing Need","Housing Standards"
"24442",2021-07-01,"2021","Below Suitability Standard",3.6,"Core Housing Need","Housing Standards"
"24442",2021-07-01,"2021","Below One or More Housing Standards",18.7,"Core Housing Need","Housing Standards"
"24442",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"24442",2021-07-01,"2021","Total",3.3,"Core Housing Need","Housing Standards"
