"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"35502",2006-07-01,"2006","Below Affordability Standard",75.9,"Core Housing Need","Housing Standards"
"35502",2006-07-01,"2006","Below Adequacy Standard",33.3,"Core Housing Need","Housing Standards"
"35502",2006-07-01,"2006","Below Suitability Standard",47.3,"Core Housing Need","Housing Standards"
"35502",2006-07-01,"2006","Below One or More Housing Standards",64.4,"Core Housing Need","Housing Standards"
"35502",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35502",2006-07-01,"2006","Total",24.9,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Below Affordability Standard",60.9,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Below Adequacy Standard",29.6,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Below Suitability Standard",34.2,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Below One or More Housing Standards",51.3,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35502",2011-07-01,"2011","Total",18.5,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Below Affordability Standard",60.3,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Below Adequacy Standard",30.2,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Below Suitability Standard",32.1,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Below One or More Housing Standards",51.9,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35502",2016-07-01,"2016","Total",19.9,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Below Affordability Standard",36.5,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Below Adequacy Standard",16.8,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Below One or More Housing Standards",27.9,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35502",2021-07-01,"2021","Total",7.8,"Core Housing Need","Housing Standards"
