"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"24481",2006-07-01,"2006","Below Affordability Standard",47.6,"Core Housing Need","Housing Standards"
"24481",2006-07-01,"2006","Below Adequacy Standard",11.4,"Core Housing Need","Housing Standards"
"24481",2006-07-01,"2006","Below Suitability Standard",12.2,"Core Housing Need","Housing Standards"
"24481",2006-07-01,"2006","Below One or More Housing Standards",30,"Core Housing Need","Housing Standards"
"24481",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"24481",2006-07-01,"2006","Total",6.7,"Core Housing Need","Housing Standards"
"24481",2011-07-01,"2011","Below Affordability Standard",37.4,"Core Housing Need","Housing Standards"
"24481",2011-07-01,"2011","Below Adequacy Standard",0,"Core Housing Need","Housing Standards"
"24481",2011-07-01,"2011","Below Suitability Standard",8,"Core Housing Need","Housing Standards"
"24481",2011-07-01,"2011","Below One or More Housing Standards",20.8,"Core Housing Need","Housing Standards"
"24481",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"24481",2011-07-01,"2011","Total",4.5,"Core Housing Need","Housing Standards"
"24481",2016-07-01,"2016","Below Affordability Standard",36.5,"Core Housing Need","Housing Standards"
"24481",2016-07-01,"2016","Below Adequacy Standard",10.2,"Core Housing Need","Housing Standards"
"24481",2016-07-01,"2016","Below Suitability Standard",20,"Core Housing Need","Housing Standards"
"24481",2016-07-01,"2016","Below One or More Housing Standards",25.7,"Core Housing Need","Housing Standards"
"24481",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"24481",2016-07-01,"2016","Total",5.8,"Core Housing Need","Housing Standards"
"24481",2021-07-01,"2021","Below Affordability Standard",27.3,"Core Housing Need","Housing Standards"
"24481",2021-07-01,"2021","Below Adequacy Standard",4.3,"Core Housing Need","Housing Standards"
"24481",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"24481",2021-07-01,"2021","Below One or More Housing Standards",15.4,"Core Housing Need","Housing Standards"
"24481",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"24481",2021-07-01,"2021","Total",2.7,"Core Housing Need","Housing Standards"
