"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"13329",2006-07-01,"2006","Below Affordability Standard",45.8,"Core Housing Need","Housing Standards"
"13329",2006-07-01,"2006","Below Adequacy Standard",18.2,"Core Housing Need","Housing Standards"
"13329",2006-07-01,"2006","Below Suitability Standard",17.4,"Core Housing Need","Housing Standards"
"13329",2006-07-01,"2006","Below One or More Housing Standards",31.3,"Core Housing Need","Housing Standards"
"13329",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"13329",2006-07-01,"2006","Total",8.2,"Core Housing Need","Housing Standards"
"13329",2011-07-01,"2011","Below Affordability Standard",38.1,"Core Housing Need","Housing Standards"
"13329",2011-07-01,"2011","Below Adequacy Standard",8.7,"Core Housing Need","Housing Standards"
"13329",2011-07-01,"2011","Below Suitability Standard",13.4,"Core Housing Need","Housing Standards"
"13329",2011-07-01,"2011","Below One or More Housing Standards",23.9,"Core Housing Need","Housing Standards"
"13329",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"13329",2011-07-01,"2011","Total",5.8,"Core Housing Need","Housing Standards"
"13329",2016-07-01,"2016","Below Affordability Standard",52.8,"Core Housing Need","Housing Standards"
"13329",2016-07-01,"2016","Below Adequacy Standard",22.5,"Core Housing Need","Housing Standards"
"13329",2016-07-01,"2016","Below Suitability Standard",10.3,"Core Housing Need","Housing Standards"
"13329",2016-07-01,"2016","Below One or More Housing Standards",36.1,"Core Housing Need","Housing Standards"
"13329",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"13329",2016-07-01,"2016","Total",8,"Core Housing Need","Housing Standards"
"13329",2021-07-01,"2021","Below Affordability Standard",26.3,"Core Housing Need","Housing Standards"
"13329",2021-07-01,"2021","Below Adequacy Standard",10.3,"Core Housing Need","Housing Standards"
"13329",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"13329",2021-07-01,"2021","Below One or More Housing Standards",16.2,"Core Housing Need","Housing Standards"
"13329",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"13329",2021-07-01,"2021","Total",3.1,"Core Housing Need","Housing Standards"
