"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"35555",2006-07-01,"2006","Below Affordability Standard",21130,"Core Housing Need","Housing Standards"
"35555",2006-07-01,"2006","Below Adequacy Standard",3110,"Core Housing Need","Housing Standards"
"35555",2006-07-01,"2006","Below Suitability Standard",2765,"Core Housing Need","Housing Standards"
"35555",2006-07-01,"2006","Below One or More Housing Standards",22625,"Core Housing Need","Housing Standards"
"35555",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35555",2006-07-01,"2006","Total",22620,"Core Housing Need","Housing Standards"
"35555",2011-07-01,"2011","Below Affordability Standard",22070,"Core Housing Need","Housing Standards"
"35555",2011-07-01,"2011","Below Adequacy Standard",2765,"Core Housing Need","Housing Standards"
"35555",2011-07-01,"2011","Below Suitability Standard",2365,"Core Housing Need","Housing Standards"
"35555",2011-07-01,"2011","Below One or More Housing Standards",23710,"Core Housing Need","Housing Standards"
"35555",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35555",2011-07-01,"2011","Total",23710,"Core Housing Need","Housing Standards"
"35555",2016-07-01,"2016","Below Affordability Standard",25385,"Core Housing Need","Housing Standards"
"35555",2016-07-01,"2016","Below Adequacy Standard",3445,"Core Housing Need","Housing Standards"
"35555",2016-07-01,"2016","Below Suitability Standard",2710,"Core Housing Need","Housing Standards"
"35555",2016-07-01,"2016","Below One or More Housing Standards",27390,"Core Housing Need","Housing Standards"
"35555",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35555",2016-07-01,"2016","Total",27395,"Core Housing Need","Housing Standards"
"35555",2021-07-01,"2021","Below Affordability Standard",20030,"Core Housing Need","Housing Standards"
"35555",2021-07-01,"2021","Below Adequacy Standard",2955,"Core Housing Need","Housing Standards"
"35555",2021-07-01,"2021","Below Suitability Standard",2440,"Core Housing Need","Housing Standards"
"35555",2021-07-01,"2021","Below One or More Housing Standards",22080,"Core Housing Need","Housing Standards"
"35555",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35555",2021-07-01,"2021","Total",22080,"Core Housing Need","Housing Standards"
