"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"11110",2006-07-01,"2006","Below Affordability Standard",1295,"Core Housing Need","Housing Standards"
"11110",2006-07-01,"2006","Below Adequacy Standard",525,"Core Housing Need","Housing Standards"
"11110",2006-07-01,"2006","Below Suitability Standard",265,"Core Housing Need","Housing Standards"
"11110",2006-07-01,"2006","Below One or More Housing Standards",1875,"Core Housing Need","Housing Standards"
"11110",2006-07-01,"2006","Above Standards",4570,"Core Housing Need","Housing Standards"
"11110",2006-07-01,"2006","Total",6450,"Core Housing Need","Housing Standards"
"11110",2011-07-01,"2011","Below Affordability Standard",1350,"Core Housing Need","Housing Standards"
"11110",2011-07-01,"2011","Below Adequacy Standard",365,"Core Housing Need","Housing Standards"
"11110",2011-07-01,"2011","Below Suitability Standard",235,"Core Housing Need","Housing Standards"
"11110",2011-07-01,"2011","Below One or More Housing Standards",1770,"Core Housing Need","Housing Standards"
"11110",2011-07-01,"2011","Above Standards",4955,"Core Housing Need","Housing Standards"
"11110",2011-07-01,"2011","Total",6730,"Core Housing Need","Housing Standards"
"11110",2016-07-01,"2016","Below Affordability Standard",1430,"Core Housing Need","Housing Standards"
"11110",2016-07-01,"2016","Below Adequacy Standard",505,"Core Housing Need","Housing Standards"
"11110",2016-07-01,"2016","Below Suitability Standard",160,"Core Housing Need","Housing Standards"
"11110",2016-07-01,"2016","Below One or More Housing Standards",1950,"Core Housing Need","Housing Standards"
"11110",2016-07-01,"2016","Above Standards",5125,"Core Housing Need","Housing Standards"
"11110",2016-07-01,"2016","Total",7075,"Core Housing Need","Housing Standards"
"11110",2021-07-01,"2021","Below Affordability Standard",1295,"Core Housing Need","Housing Standards"
"11110",2021-07-01,"2021","Below Adequacy Standard",500,"Core Housing Need","Housing Standards"
"11110",2021-07-01,"2021","Below Suitability Standard",255,"Core Housing Need","Housing Standards"
"11110",2021-07-01,"2021","Below One or More Housing Standards",1925,"Core Housing Need","Housing Standards"
"11110",2021-07-01,"2021","Above Standards",5890,"Core Housing Need","Housing Standards"
"11110",2021-07-01,"2021","Total",7810,"Core Housing Need","Housing Standards"
