"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"24411",2006-07-01,"2006","Below Affordability Standard",1240,"Core Housing Need","Housing Standards"
"24411",2006-07-01,"2006","Below Adequacy Standard",400,"Core Housing Need","Housing Standards"
"24411",2006-07-01,"2006","Below Suitability Standard",105,"Core Housing Need","Housing Standards"
"24411",2006-07-01,"2006","Below One or More Housing Standards",1585,"Core Housing Need","Housing Standards"
"24411",2006-07-01,"2006","Above Standards",4705,"Core Housing Need","Housing Standards"
"24411",2006-07-01,"2006","Total",6285,"Core Housing Need","Housing Standards"
"24411",2011-07-01,"2011","Below Affordability Standard",1075,"Core Housing Need","Housing Standards"
"24411",2011-07-01,"2011","Below Adequacy Standard",390,"Core Housing Need","Housing Standards"
"24411",2011-07-01,"2011","Below Suitability Standard",110,"Core Housing Need","Housing Standards"
"24411",2011-07-01,"2011","Below One or More Housing Standards",1445,"Core Housing Need","Housing Standards"
"24411",2011-07-01,"2011","Above Standards",5325,"Core Housing Need","Housing Standards"
"24411",2011-07-01,"2011","Total",6775,"Core Housing Need","Housing Standards"
"24411",2016-07-01,"2016","Below Affordability Standard",875,"Core Housing Need","Housing Standards"
"24411",2016-07-01,"2016","Below Adequacy Standard",300,"Core Housing Need","Housing Standards"
"24411",2016-07-01,"2016","Below Suitability Standard",85,"Core Housing Need","Housing Standards"
"24411",2016-07-01,"2016","Below One or More Housing Standards",1205,"Core Housing Need","Housing Standards"
"24411",2016-07-01,"2016","Above Standards",5540,"Core Housing Need","Housing Standards"
"24411",2016-07-01,"2016","Total",6745,"Core Housing Need","Housing Standards"
"24411",2021-07-01,"2021","Below Affordability Standard",560,"Core Housing Need","Housing Standards"
"24411",2021-07-01,"2021","Below Adequacy Standard",330,"Core Housing Need","Housing Standards"
"24411",2021-07-01,"2021","Below Suitability Standard",55,"Core Housing Need","Housing Standards"
"24411",2021-07-01,"2021","Below One or More Housing Standards",865,"Core Housing Need","Housing Standards"
"24411",2021-07-01,"2021","Above Standards",6020,"Core Housing Need","Housing Standards"
"24411",2021-07-01,"2021","Total",6885,"Core Housing Need","Housing Standards"
