"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"13310",2006-07-01,"2006","Below Affordability Standard",8155,"Core Housing Need","Housing Standards"
"13310",2006-07-01,"2006","Below Adequacy Standard",4155,"Core Housing Need","Housing Standards"
"13310",2006-07-01,"2006","Below Suitability Standard",1705,"Core Housing Need","Housing Standards"
"13310",2006-07-01,"2006","Below One or More Housing Standards",12450,"Core Housing Need","Housing Standards"
"13310",2006-07-01,"2006","Above Standards",35340,"Core Housing Need","Housing Standards"
"13310",2006-07-01,"2006","Total",47790,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Below Affordability Standard",9425,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Below Adequacy Standard",4555,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Below Suitability Standard",1685,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Below One or More Housing Standards",14175,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Above Standards",36180,"Core Housing Need","Housing Standards"
"13310",2011-07-01,"2011","Total",50350,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Below Affordability Standard",8780,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Below Adequacy Standard",4030,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Below Suitability Standard",1155,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Below One or More Housing Standards",12755,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Above Standards",38700,"Core Housing Need","Housing Standards"
"13310",2016-07-01,"2016","Total",51455,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Below Affordability Standard",7335,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Below Adequacy Standard",4280,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Below Suitability Standard",1565,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Below One or More Housing Standards",12110,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Above Standards",42895,"Core Housing Need","Housing Standards"
"13310",2021-07-01,"2021","Total",55005,"Core Housing Need","Housing Standards"
