"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"24468",2006-07-01,"2006","Below Affordability Standard",645,"Core Housing Need","Housing Standards"
"24468",2006-07-01,"2006","Below Adequacy Standard",90,"Core Housing Need","Housing Standards"
"24468",2006-07-01,"2006","Below Suitability Standard",45,"Core Housing Need","Housing Standards"
"24468",2006-07-01,"2006","Below One or More Housing Standards",680,"Core Housing Need","Housing Standards"
"24468",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"24468",2006-07-01,"2006","Total",685,"Core Housing Need","Housing Standards"
"24468",2011-07-01,"2011","Below Affordability Standard",555,"Core Housing Need","Housing Standards"
"24468",2011-07-01,"2011","Below Adequacy Standard",95,"Core Housing Need","Housing Standards"
"24468",2011-07-01,"2011","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"24468",2011-07-01,"2011","Below One or More Housing Standards",580,"Core Housing Need","Housing Standards"
"24468",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"24468",2011-07-01,"2011","Total",580,"Core Housing Need","Housing Standards"
"24468",2016-07-01,"2016","Below Affordability Standard",605,"Core Housing Need","Housing Standards"
"24468",2016-07-01,"2016","Below Adequacy Standard",60,"Core Housing Need","Housing Standards"
"24468",2016-07-01,"2016","Below Suitability Standard",45,"Core Housing Need","Housing Standards"
"24468",2016-07-01,"2016","Below One or More Housing Standards",635,"Core Housing Need","Housing Standards"
"24468",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"24468",2016-07-01,"2016","Total",635,"Core Housing Need","Housing Standards"
"24468",2021-07-01,"2021","Below Affordability Standard",350,"Core Housing Need","Housing Standards"
"24468",2021-07-01,"2021","Below Adequacy Standard",55,"Core Housing Need","Housing Standards"
"24468",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"24468",2021-07-01,"2021","Below One or More Housing Standards",375,"Core Housing Need","Housing Standards"
"24468",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"24468",2021-07-01,"2021","Total",375,"Core Housing Need","Housing Standards"
