"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"47705",2006-07-01,"2006","Below Affordability Standard",6590,"Core Housing Need","Housing Standards"
"47705",2006-07-01,"2006","Below Adequacy Standard",1315,"Core Housing Need","Housing Standards"
"47705",2006-07-01,"2006","Below Suitability Standard",995,"Core Housing Need","Housing Standards"
"47705",2006-07-01,"2006","Below One or More Housing Standards",7435,"Core Housing Need","Housing Standards"
"47705",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"47705",2006-07-01,"2006","Total",7435,"Core Housing Need","Housing Standards"
"47705",2011-07-01,"2011","Below Affordability Standard",8675,"Core Housing Need","Housing Standards"
"47705",2011-07-01,"2011","Below Adequacy Standard",1635,"Core Housing Need","Housing Standards"
"47705",2011-07-01,"2011","Below Suitability Standard",1545,"Core Housing Need","Housing Standards"
"47705",2011-07-01,"2011","Below One or More Housing Standards",9860,"Core Housing Need","Housing Standards"
"47705",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"47705",2011-07-01,"2011","Total",9860,"Core Housing Need","Housing Standards"
"47705",2016-07-01,"2016","Below Affordability Standard",10970,"Core Housing Need","Housing Standards"
"47705",2016-07-01,"2016","Below Adequacy Standard",1480,"Core Housing Need","Housing Standards"
"47705",2016-07-01,"2016","Below Suitability Standard",1940,"Core Housing Need","Housing Standards"
"47705",2016-07-01,"2016","Below One or More Housing Standards",12255,"Core Housing Need","Housing Standards"
"47705",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"47705",2016-07-01,"2016","Total",12255,"Core Housing Need","Housing Standards"
"47705",2021-07-01,"2021","Below Affordability Standard",8495,"Core Housing Need","Housing Standards"
"47705",2021-07-01,"2021","Below Adequacy Standard",1250,"Core Housing Need","Housing Standards"
"47705",2021-07-01,"2021","Below Suitability Standard",1260,"Core Housing Need","Housing Standards"
"47705",2021-07-01,"2021","Below One or More Housing Standards",9585,"Core Housing Need","Housing Standards"
"47705",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"47705",2021-07-01,"2021","Total",9585,"Core Housing Need","Housing Standards"
