"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"35527",2006-07-01,"2006","Below Affordability Standard",45.1,"Core Housing Need","Housing Standards"
"35527",2006-07-01,"2006","Below Adequacy Standard",19.3,"Core Housing Need","Housing Standards"
"35527",2006-07-01,"2006","Below Suitability Standard",30.5,"Core Housing Need","Housing Standards"
"35527",2006-07-01,"2006","Below One or More Housing Standards",37.7,"Core Housing Need","Housing Standards"
"35527",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35527",2006-07-01,"2006","Total",10.7,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Below Affordability Standard",48.8,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Below Adequacy Standard",21.3,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Below Suitability Standard",36.5,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Below One or More Housing Standards",41.2,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35527",2011-07-01,"2011","Total",11.7,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Below Affordability Standard",61.7,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Below Adequacy Standard",38,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Below Suitability Standard",41,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Below One or More Housing Standards",53.3,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35527",2016-07-01,"2016","Total",16.1,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Below Affordability Standard",47.4,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Below Adequacy Standard",31.2,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Below Suitability Standard",23.8,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Below One or More Housing Standards",40,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35527",2021-07-01,"2021","Total",10.9,"Core Housing Need","Housing Standards"
