"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35590",2006-07-01,"2006","Below Affordability Standard",5725,"Core Housing Need","Housing Standards"
"35590",2006-07-01,"2006","Below Adequacy Standard",2160,"Core Housing Need","Housing Standards"
"35590",2006-07-01,"2006","Below Suitability Standard",920,"Core Housing Need","Housing Standards"
"35590",2006-07-01,"2006","Below One or More Housing Standards",8075,"Core Housing Need","Housing Standards"
"35590",2006-07-01,"2006","Above Standards",24225,"Core Housing Need","Housing Standards"
"35590",2006-07-01,"2006","Total",32295,"Core Housing Need","Housing Standards"
"35590",2011-07-01,"2011","Below Affordability Standard",5755,"Core Housing Need","Housing Standards"
"35590",2011-07-01,"2011","Below Adequacy Standard",2835,"Core Housing Need","Housing Standards"
"35590",2011-07-01,"2011","Below Suitability Standard",1175,"Core Housing Need","Housing Standards"
"35590",2011-07-01,"2011","Below One or More Housing Standards",8675,"Core Housing Need","Housing Standards"
"35590",2011-07-01,"2011","Above Standards",24325,"Core Housing Need","Housing Standards"
"35590",2011-07-01,"2011","Total",32995,"Core Housing Need","Housing Standards"
"35590",2016-07-01,"2016","Below Affordability Standard",6475,"Core Housing Need","Housing Standards"
"35590",2016-07-01,"2016","Below Adequacy Standard",2265,"Core Housing Need","Housing Standards"
"35590",2016-07-01,"2016","Below Suitability Standard",710,"Core Housing Need","Housing Standards"
"35590",2016-07-01,"2016","Below One or More Housing Standards",8525,"Core Housing Need","Housing Standards"
"35590",2016-07-01,"2016","Above Standards",24900,"Core Housing Need","Housing Standards"
"35590",2016-07-01,"2016","Total",33425,"Core Housing Need","Housing Standards"
"35590",2021-07-01,"2021","Below Affordability Standard",5055,"Core Housing Need","Housing Standards"
"35590",2021-07-01,"2021","Below Adequacy Standard",2405,"Core Housing Need","Housing Standards"
"35590",2021-07-01,"2021","Below Suitability Standard",900,"Core Housing Need","Housing Standards"
"35590",2021-07-01,"2021","Below One or More Housing Standards",7580,"Core Housing Need","Housing Standards"
"35590",2021-07-01,"2021","Above Standards",25980,"Core Housing Need","Housing Standards"
"35590",2021-07-01,"2021","Total",33560,"Core Housing Need","Housing Standards"
