"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"35559",2006-07-01,"2006","Below Affordability Standard",56.2,"Core Housing Need","Housing Standards"
"35559",2006-07-01,"2006","Below Adequacy Standard",32.3,"Core Housing Need","Housing Standards"
"35559",2006-07-01,"2006","Below Suitability Standard",27.7,"Core Housing Need","Housing Standards"
"35559",2006-07-01,"2006","Below One or More Housing Standards",44.4,"Core Housing Need","Housing Standards"
"35559",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35559",2006-07-01,"2006","Total",12.7,"Core Housing Need","Housing Standards"
"35559",2011-07-01,"2011","Below Affordability Standard",50.8,"Core Housing Need","Housing Standards"
"35559",2011-07-01,"2011","Below Adequacy Standard",25.2,"Core Housing Need","Housing Standards"
"35559",2011-07-01,"2011","Below Suitability Standard",24.9,"Core Housing Need","Housing Standards"
"35559",2011-07-01,"2011","Below One or More Housing Standards",39.9,"Core Housing Need","Housing Standards"
"35559",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35559",2011-07-01,"2011","Total",11.3,"Core Housing Need","Housing Standards"
"35559",2016-07-01,"2016","Below Affordability Standard",55.8,"Core Housing Need","Housing Standards"
"35559",2016-07-01,"2016","Below Adequacy Standard",24.9,"Core Housing Need","Housing Standards"
"35559",2016-07-01,"2016","Below Suitability Standard",24.6,"Core Housing Need","Housing Standards"
"35559",2016-07-01,"2016","Below One or More Housing Standards",43.1,"Core Housing Need","Housing Standards"
"35559",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35559",2016-07-01,"2016","Total",11.7,"Core Housing Need","Housing Standards"
"35559",2021-07-01,"2021","Below Affordability Standard",44.6,"Core Housing Need","Housing Standards"
"35559",2021-07-01,"2021","Below Adequacy Standard",20.2,"Core Housing Need","Housing Standards"
"35559",2021-07-01,"2021","Below Suitability Standard",13.9,"Core Housing Need","Housing Standards"
"35559",2021-07-01,"2021","Below One or More Housing Standards",32.1,"Core Housing Need","Housing Standards"
"35559",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35559",2021-07-01,"2021","Total",8,"Core Housing Need","Housing Standards"
