"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"59937",2006-07-01,"2006","Below Affordability Standard",49.1,"Core Housing Need","Housing Standards"
"59937",2006-07-01,"2006","Below Adequacy Standard",33.6,"Core Housing Need","Housing Standards"
"59937",2006-07-01,"2006","Below Suitability Standard",30.1,"Core Housing Need","Housing Standards"
"59937",2006-07-01,"2006","Below One or More Housing Standards",40,"Core Housing Need","Housing Standards"
"59937",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"59937",2006-07-01,"2006","Total",11.8,"Core Housing Need","Housing Standards"
"59937",2011-07-01,"2011","Below Affordability Standard",45.2,"Core Housing Need","Housing Standards"
"59937",2011-07-01,"2011","Below Adequacy Standard",30.4,"Core Housing Need","Housing Standards"
"59937",2011-07-01,"2011","Below Suitability Standard",35.9,"Core Housing Need","Housing Standards"
"59937",2011-07-01,"2011","Below One or More Housing Standards",39.2,"Core Housing Need","Housing Standards"
"59937",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"59937",2011-07-01,"2011","Total",12.2,"Core Housing Need","Housing Standards"
"59937",2016-07-01,"2016","Below Affordability Standard",47.1,"Core Housing Need","Housing Standards"
"59937",2016-07-01,"2016","Below Adequacy Standard",30.1,"Core Housing Need","Housing Standards"
"59937",2016-07-01,"2016","Below Suitability Standard",33.3,"Core Housing Need","Housing Standards"
"59937",2016-07-01,"2016","Below One or More Housing Standards",39.8,"Core Housing Need","Housing Standards"
"59937",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"59937",2016-07-01,"2016","Total",11.2,"Core Housing Need","Housing Standards"
"59937",2021-07-01,"2021","Below Affordability Standard",46.2,"Core Housing Need","Housing Standards"
"59937",2021-07-01,"2021","Below Adequacy Standard",16.9,"Core Housing Need","Housing Standards"
"59937",2021-07-01,"2021","Below Suitability Standard",21.5,"Core Housing Need","Housing Standards"
"59937",2021-07-01,"2021","Below One or More Housing Standards",36,"Core Housing Need","Housing Standards"
"59937",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"59937",2021-07-01,"2021","Total",8.9,"Core Housing Need","Housing Standards"
