"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"48805",2006-07-01,"2006","Below Affordability Standard",33.9,"Core Housing Need","Housing Standards"
"48805",2006-07-01,"2006","Below Adequacy Standard",14.9,"Core Housing Need","Housing Standards"
"48805",2006-07-01,"2006","Below Suitability Standard",14.6,"Core Housing Need","Housing Standards"
"48805",2006-07-01,"2006","Below One or More Housing Standards",24.7,"Core Housing Need","Housing Standards"
"48805",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"48805",2006-07-01,"2006","Total",5.6,"Core Housing Need","Housing Standards"
"48805",2011-07-01,"2011","Below Affordability Standard",35.9,"Core Housing Need","Housing Standards"
"48805",2011-07-01,"2011","Below Adequacy Standard",19.3,"Core Housing Need","Housing Standards"
"48805",2011-07-01,"2011","Below Suitability Standard",12.7,"Core Housing Need","Housing Standards"
"48805",2011-07-01,"2011","Below One or More Housing Standards",28.5,"Core Housing Need","Housing Standards"
"48805",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"48805",2011-07-01,"2011","Total",7,"Core Housing Need","Housing Standards"
"48805",2016-07-01,"2016","Below Affordability Standard",49.6,"Core Housing Need","Housing Standards"
"48805",2016-07-01,"2016","Below Adequacy Standard",21.3,"Core Housing Need","Housing Standards"
"48805",2016-07-01,"2016","Below Suitability Standard",16.5,"Core Housing Need","Housing Standards"
"48805",2016-07-01,"2016","Below One or More Housing Standards",39.5,"Core Housing Need","Housing Standards"
"48805",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"48805",2016-07-01,"2016","Total",9.2,"Core Housing Need","Housing Standards"
"48805",2021-07-01,"2021","Below Affordability Standard",44.5,"Core Housing Need","Housing Standards"
"48805",2021-07-01,"2021","Below Adequacy Standard",15.5,"Core Housing Need","Housing Standards"
"48805",2021-07-01,"2021","Below Suitability Standard",6.2,"Core Housing Need","Housing Standards"
"48805",2021-07-01,"2021","Below One or More Housing Standards",35.3,"Core Housing Need","Housing Standards"
"48805",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"48805",2021-07-01,"2021","Total",8.3,"Core Housing Need","Housing Standards"
