"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"59945",2006-07-01,"2006","Below Affordability Standard",605,"Core Housing Need","Housing Standards"
"59945",2006-07-01,"2006","Below Adequacy Standard",180,"Core Housing Need","Housing Standards"
"59945",2006-07-01,"2006","Below Suitability Standard",55,"Core Housing Need","Housing Standards"
"59945",2006-07-01,"2006","Below One or More Housing Standards",665,"Core Housing Need","Housing Standards"
"59945",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"59945",2006-07-01,"2006","Total",670,"Core Housing Need","Housing Standards"
"59945",2011-07-01,"2011","Below Affordability Standard",740,"Core Housing Need","Housing Standards"
"59945",2011-07-01,"2011","Below Adequacy Standard",90,"Core Housing Need","Housing Standards"
"59945",2011-07-01,"2011","Below Suitability Standard",20,"Core Housing Need","Housing Standards"
"59945",2011-07-01,"2011","Below One or More Housing Standards",755,"Core Housing Need","Housing Standards"
"59945",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"59945",2011-07-01,"2011","Total",755,"Core Housing Need","Housing Standards"
"59945",2016-07-01,"2016","Below Affordability Standard",900,"Core Housing Need","Housing Standards"
"59945",2016-07-01,"2016","Below Adequacy Standard",200,"Core Housing Need","Housing Standards"
"59945",2016-07-01,"2016","Below Suitability Standard",35,"Core Housing Need","Housing Standards"
"59945",2016-07-01,"2016","Below One or More Housing Standards",965,"Core Housing Need","Housing Standards"
"59945",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"59945",2016-07-01,"2016","Total",965,"Core Housing Need","Housing Standards"
"59945",2021-07-01,"2021","Below Affordability Standard",745,"Core Housing Need","Housing Standards"
"59945",2021-07-01,"2021","Below Adequacy Standard",155,"Core Housing Need","Housing Standards"
"59945",2021-07-01,"2021","Below Suitability Standard",30,"Core Housing Need","Housing Standards"
"59945",2021-07-01,"2021","Below One or More Housing Standards",820,"Core Housing Need","Housing Standards"
"59945",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"59945",2021-07-01,"2021","Total",820,"Core Housing Need","Housing Standards"
