"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"47745",2006-07-01,"2006","Below Affordability Standard",3145,"Core Housing Need","Housing Standards"
"47745",2006-07-01,"2006","Below Adequacy Standard",1260,"Core Housing Need","Housing Standards"
"47745",2006-07-01,"2006","Below Suitability Standard",915,"Core Housing Need","Housing Standards"
"47745",2006-07-01,"2006","Below One or More Housing Standards",4640,"Core Housing Need","Housing Standards"
"47745",2006-07-01,"2006","Above Standards",10010,"Core Housing Need","Housing Standards"
"47745",2006-07-01,"2006","Total",14650,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Below Affordability Standard",3205,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Below Adequacy Standard",1410,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Below Suitability Standard",1010,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Below One or More Housing Standards",4730,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Above Standards",10330,"Core Housing Need","Housing Standards"
"47745",2011-07-01,"2011","Total",15055,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Below Affordability Standard",3345,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Below Adequacy Standard",1095,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Below Suitability Standard",1000,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Below One or More Housing Standards",4775,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Above Standards",11025,"Core Housing Need","Housing Standards"
"47745",2016-07-01,"2016","Total",15800,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Below Affordability Standard",2695,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Below Adequacy Standard",1230,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Below Suitability Standard",1195,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Below One or More Housing Standards",4625,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Above Standards",11900,"Core Housing Need","Housing Standards"
"47745",2021-07-01,"2021","Total",16525,"Core Housing Need","Housing Standards"
