"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"24480",2006-07-01,"2006","Below Affordability Standard",59.7,"Core Housing Need","Housing Standards"
"24480",2006-07-01,"2006","Below Adequacy Standard",25.4,"Core Housing Need","Housing Standards"
"24480",2006-07-01,"2006","Below Suitability Standard",21.5,"Core Housing Need","Housing Standards"
"24480",2006-07-01,"2006","Below One or More Housing Standards",44.1,"Core Housing Need","Housing Standards"
"24480",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"24480",2006-07-01,"2006","Total",10.6,"Core Housing Need","Housing Standards"
"24480",2011-07-01,"2011","Below Affordability Standard",44.6,"Core Housing Need","Housing Standards"
"24480",2011-07-01,"2011","Below Adequacy Standard",12.9,"Core Housing Need","Housing Standards"
"24480",2011-07-01,"2011","Below Suitability Standard",14.5,"Core Housing Need","Housing Standards"
"24480",2011-07-01,"2011","Below One or More Housing Standards",29.6,"Core Housing Need","Housing Standards"
"24480",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"24480",2011-07-01,"2011","Total",6.8,"Core Housing Need","Housing Standards"
"24480",2016-07-01,"2016","Below Affordability Standard",31.5,"Core Housing Need","Housing Standards"
"24480",2016-07-01,"2016","Below Adequacy Standard",9,"Core Housing Need","Housing Standards"
"24480",2016-07-01,"2016","Below Suitability Standard",6.1,"Core Housing Need","Housing Standards"
"24480",2016-07-01,"2016","Below One or More Housing Standards",21.9,"Core Housing Need","Housing Standards"
"24480",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"24480",2016-07-01,"2016","Total",4.8,"Core Housing Need","Housing Standards"
"24480",2021-07-01,"2021","Below Affordability Standard",21.2,"Core Housing Need","Housing Standards"
"24480",2021-07-01,"2021","Below Adequacy Standard",4,"Core Housing Need","Housing Standards"
"24480",2021-07-01,"2021","Below Suitability Standard",7.8,"Core Housing Need","Housing Standards"
"24480",2021-07-01,"2021","Below One or More Housing Standards",14.4,"Core Housing Need","Housing Standards"
"24480",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"24480",2021-07-01,"2021","Total",2.6,"Core Housing Need","Housing Standards"
