"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35586",2006-07-01,"2006","Below Affordability Standard",3155,"Core Housing Need","Housing Standards"
"35586",2006-07-01,"2006","Below Adequacy Standard",1345,"Core Housing Need","Housing Standards"
"35586",2006-07-01,"2006","Below Suitability Standard",605,"Core Housing Need","Housing Standards"
"35586",2006-07-01,"2006","Below One or More Housing Standards",4535,"Core Housing Need","Housing Standards"
"35586",2006-07-01,"2006","Above Standards",12535,"Core Housing Need","Housing Standards"
"35586",2006-07-01,"2006","Total",17070,"Core Housing Need","Housing Standards"
"35586",2011-07-01,"2011","Below Affordability Standard",2890,"Core Housing Need","Housing Standards"
"35586",2011-07-01,"2011","Below Adequacy Standard",1800,"Core Housing Need","Housing Standards"
"35586",2011-07-01,"2011","Below Suitability Standard",725,"Core Housing Need","Housing Standards"
"35586",2011-07-01,"2011","Below One or More Housing Standards",4670,"Core Housing Need","Housing Standards"
"35586",2011-07-01,"2011","Above Standards",12605,"Core Housing Need","Housing Standards"
"35586",2011-07-01,"2011","Total",17270,"Core Housing Need","Housing Standards"
"35586",2016-07-01,"2016","Below Affordability Standard",3505,"Core Housing Need","Housing Standards"
"35586",2016-07-01,"2016","Below Adequacy Standard",1460,"Core Housing Need","Housing Standards"
"35586",2016-07-01,"2016","Below Suitability Standard",470,"Core Housing Need","Housing Standards"
"35586",2016-07-01,"2016","Below One or More Housing Standards",4875,"Core Housing Need","Housing Standards"
"35586",2016-07-01,"2016","Above Standards",12450,"Core Housing Need","Housing Standards"
"35586",2016-07-01,"2016","Total",17320,"Core Housing Need","Housing Standards"
"35586",2021-07-01,"2021","Below Affordability Standard",2655,"Core Housing Need","Housing Standards"
"35586",2021-07-01,"2021","Below Adequacy Standard",1415,"Core Housing Need","Housing Standards"
"35586",2021-07-01,"2021","Below Suitability Standard",615,"Core Housing Need","Housing Standards"
"35586",2021-07-01,"2021","Below One or More Housing Standards",4270,"Core Housing Need","Housing Standards"
"35586",2021-07-01,"2021","Above Standards",13310,"Core Housing Need","Housing Standards"
"35586",2021-07-01,"2021","Total",17580,"Core Housing Need","Housing Standards"
