"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"13330",2006-07-01,"2006","Below Affordability Standard",61,"Core Housing Need","Housing Standards"
"13330",2006-07-01,"2006","Below Adequacy Standard",26.2,"Core Housing Need","Housing Standards"
"13330",2006-07-01,"2006","Below Suitability Standard",24.7,"Core Housing Need","Housing Standards"
"13330",2006-07-01,"2006","Below One or More Housing Standards",44,"Core Housing Need","Housing Standards"
"13330",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"13330",2006-07-01,"2006","Total",13,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Below Affordability Standard",62.2,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Below Adequacy Standard",20,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Below Suitability Standard",26.4,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Below One or More Housing Standards",44.6,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"13330",2011-07-01,"2011","Total",13.1,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Below Affordability Standard",63.5,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Below Adequacy Standard",23.7,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Below Suitability Standard",6.5,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Below One or More Housing Standards",44.8,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"13330",2016-07-01,"2016","Total",11.2,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Below Affordability Standard",33.8,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Below Adequacy Standard",6.5,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Below Suitability Standard",0,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Below One or More Housing Standards",21.7,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"13330",2021-07-01,"2021","Total",4.7,"Core Housing Need","Housing Standards"
