"GeoUID","Date","DateString","Dwelling Type","Value","Survey","Series"
"35505",1990-01-01,"1990 January","1st 20%",145000,"Scss","Absorbed Prices"
"35505",1990-01-01,"1990 January","2nd 40%",170000,"Scss","Absorbed Prices"
"35505",1990-01-01,"1990 January","3rd 60%",195000,"Scss","Absorbed Prices"
"35505",1990-01-01,"1990 January","4th 80%",230000,"Scss","Absorbed Prices"
"35505",1990-01-01,"1990 January","Median",180000,"Scss","Absorbed Prices"
"35505",1990-01-01,"1990 January","Average",195357,"Scss","Absorbed Prices"
"35505",1990-01-01,"1990 January","Units",224,"Scss","Absorbed Prices"
"35505",1990-02-01,"1990 February","1st 20%",145000,"Scss","Absorbed Prices"
"35505",1990-02-01,"1990 February","2nd 40%",175000,"Scss","Absorbed Prices"
"35505",1990-02-01,"1990 February","3rd 60%",205000,"Scss","Absorbed Prices"
"35505",1990-02-01,"1990 February","4th 80%",248000,"Scss","Absorbed Prices"
"35505",1990-02-01,"1990 February","Median",190000,"Scss","Absorbed Prices"
"35505",1990-02-01,"1990 February","Average",197841,"Scss","Absorbed Prices"
"35505",1990-02-01,"1990 February","Units",225,"Scss","Absorbed Prices"
"35505",1990-03-01,"1990 March","1st 20%",155000,"Scss","Absorbed Prices"
"35505",1990-03-01,"1990 March","2nd 40%",180000,"Scss","Absorbed Prices"
"35505",1990-03-01,"1990 March","3rd 60%",195000,"Scss","Absorbed Prices"
"35505",1990-03-01,"1990 March","4th 80%",240000,"Scss","Absorbed Prices"
"35505",1990-03-01,"1990 March","Median",190000,"Scss","Absorbed Prices"
"35505",1990-03-01,"1990 March","Average",203422,"Scss","Absorbed Prices"
"35505",1990-03-01,"1990 March","Units",175,"Scss","Absorbed Prices"
"35505",1990-04-01,"1990 April","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1990-04-01,"1990 April","2nd 40%",180000,"Scss","Absorbed Prices"
"35505",1990-04-01,"1990 April","3rd 60%",202000,"Scss","Absorbed Prices"
"35505",1990-04-01,"1990 April","4th 80%",231000,"Scss","Absorbed Prices"
"35505",1990-04-01,"1990 April","Median",190000,"Scss","Absorbed Prices"
"35505",1990-04-01,"1990 April","Average",201137,"Scss","Absorbed Prices"
"35505",1990-04-01,"1990 April","Units",176,"Scss","Absorbed Prices"
"35505",1990-05-01,"1990 May","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1990-05-01,"1990 May","2nd 40%",175000,"Scss","Absorbed Prices"
"35505",1990-05-01,"1990 May","3rd 60%",2e+05,"Scss","Absorbed Prices"
"35505",1990-05-01,"1990 May","4th 80%",240000,"Scss","Absorbed Prices"
"35505",1990-05-01,"1990 May","Median",190000,"Scss","Absorbed Prices"
"35505",1990-05-01,"1990 May","Average",203934,"Scss","Absorbed Prices"
"35505",1990-05-01,"1990 May","Units",206,"Scss","Absorbed Prices"
"35505",1990-06-01,"1990 June","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1990-06-01,"1990 June","2nd 40%",170000,"Scss","Absorbed Prices"
"35505",1990-06-01,"1990 June","3rd 60%",190000,"Scss","Absorbed Prices"
"35505",1990-06-01,"1990 June","4th 80%",230000,"Scss","Absorbed Prices"
"35505",1990-06-01,"1990 June","Median",180000,"Scss","Absorbed Prices"
"35505",1990-06-01,"1990 June","Average",203120,"Scss","Absorbed Prices"
"35505",1990-06-01,"1990 June","Units",311,"Scss","Absorbed Prices"
"35505",1990-07-01,"1990 July","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1990-07-01,"1990 July","2nd 40%",170000,"Scss","Absorbed Prices"
"35505",1990-07-01,"1990 July","3rd 60%",205000,"Scss","Absorbed Prices"
"35505",1990-07-01,"1990 July","4th 80%",260000,"Scss","Absorbed Prices"
"35505",1990-07-01,"1990 July","Median",185000,"Scss","Absorbed Prices"
"35505",1990-07-01,"1990 July","Average",208247,"Scss","Absorbed Prices"
"35505",1990-07-01,"1990 July","Units",284,"Scss","Absorbed Prices"
"35505",1990-08-01,"1990 August","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1990-08-01,"1990 August","2nd 40%",170000,"Scss","Absorbed Prices"
"35505",1990-08-01,"1990 August","3rd 60%",2e+05,"Scss","Absorbed Prices"
"35505",1990-08-01,"1990 August","4th 80%",240000,"Scss","Absorbed Prices"
"35505",1990-08-01,"1990 August","Median",185000,"Scss","Absorbed Prices"
"35505",1990-08-01,"1990 August","Average",197051,"Scss","Absorbed Prices"
"35505",1990-08-01,"1990 August","Units",351,"Scss","Absorbed Prices"
"35505",1990-09-01,"1990 September","1st 20%",153000,"Scss","Absorbed Prices"
"35505",1990-09-01,"1990 September","2nd 40%",175000,"Scss","Absorbed Prices"
"35505",1990-09-01,"1990 September","3rd 60%",2e+05,"Scss","Absorbed Prices"
"35505",1990-09-01,"1990 September","4th 80%",247000,"Scss","Absorbed Prices"
"35505",1990-09-01,"1990 September","Median",185000,"Scss","Absorbed Prices"
"35505",1990-09-01,"1990 September","Average",202977,"Scss","Absorbed Prices"
"35505",1990-09-01,"1990 September","Units",297,"Scss","Absorbed Prices"
"35505",1990-10-01,"1990 October","1st 20%",155000,"Scss","Absorbed Prices"
"35505",1990-10-01,"1990 October","2nd 40%",180000,"Scss","Absorbed Prices"
"35505",1990-10-01,"1990 October","3rd 60%",210000,"Scss","Absorbed Prices"
"35505",1990-10-01,"1990 October","4th 80%",255000,"Scss","Absorbed Prices"
"35505",1990-10-01,"1990 October","Median",195000,"Scss","Absorbed Prices"
"35505",1990-10-01,"1990 October","Average",205131,"Scss","Absorbed Prices"
"35505",1990-10-01,"1990 October","Units",329,"Scss","Absorbed Prices"
"35505",1990-11-01,"1990 November","1st 20%",145000,"Scss","Absorbed Prices"
"35505",1990-11-01,"1990 November","2nd 40%",175000,"Scss","Absorbed Prices"
"35505",1990-11-01,"1990 November","3rd 60%",2e+05,"Scss","Absorbed Prices"
"35505",1990-11-01,"1990 November","4th 80%",245000,"Scss","Absorbed Prices"
"35505",1990-11-01,"1990 November","Median",185000,"Scss","Absorbed Prices"
"35505",1990-11-01,"1990 November","Average",200690,"Scss","Absorbed Prices"
"35505",1990-11-01,"1990 November","Units",246,"Scss","Absorbed Prices"
"35505",1990-12-01,"1990 December","1st 20%",160000,"Scss","Absorbed Prices"
"35505",1990-12-01,"1990 December","2nd 40%",180000,"Scss","Absorbed Prices"
"35505",1990-12-01,"1990 December","3rd 60%",220000,"Scss","Absorbed Prices"
"35505",1990-12-01,"1990 December","4th 80%",265000,"Scss","Absorbed Prices"
"35505",1990-12-01,"1990 December","Median",2e+05,"Scss","Absorbed Prices"
"35505",1990-12-01,"1990 December","Average",217469,"Scss","Absorbed Prices"
"35505",1990-12-01,"1990 December","Units",179,"Scss","Absorbed Prices"
"35505",1991-01-01,"1991 January","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1991-01-01,"1991 January","2nd 40%",170000,"Scss","Absorbed Prices"
"35505",1991-01-01,"1991 January","3rd 60%",2e+05,"Scss","Absorbed Prices"
"35505",1991-01-01,"1991 January","4th 80%",275000,"Scss","Absorbed Prices"
"35505",1991-01-01,"1991 January","Median",180000,"Scss","Absorbed Prices"
"35505",1991-01-01,"1991 January","Average",213945,"Scss","Absorbed Prices"
"35505",1991-01-01,"1991 January","Units",275,"Scss","Absorbed Prices"
"35505",1991-02-01,"1991 February","1st 20%",160000,"Scss","Absorbed Prices"
"35505",1991-02-01,"1991 February","2nd 40%",187000,"Scss","Absorbed Prices"
"35505",1991-02-01,"1991 February","3rd 60%",210000,"Scss","Absorbed Prices"
"35505",1991-02-01,"1991 February","4th 80%",259000,"Scss","Absorbed Prices"
"35505",1991-02-01,"1991 February","Median",2e+05,"Scss","Absorbed Prices"
"35505",1991-02-01,"1991 February","Average",211686,"Scss","Absorbed Prices"
"35505",1991-02-01,"1991 February","Units",142,"Scss","Absorbed Prices"
"35505",1991-03-01,"1991 March","1st 20%",155000,"Scss","Absorbed Prices"
"35505",1991-03-01,"1991 March","2nd 40%",180000,"Scss","Absorbed Prices"
"35505",1991-03-01,"1991 March","3rd 60%",210000,"Scss","Absorbed Prices"
"35505",1991-03-01,"1991 March","4th 80%",260000,"Scss","Absorbed Prices"
"35505",1991-03-01,"1991 March","Median",195000,"Scss","Absorbed Prices"
"35505",1991-03-01,"1991 March","Average",211284,"Scss","Absorbed Prices"
"35505",1991-03-01,"1991 March","Units",153,"Scss","Absorbed Prices"
"35505",1991-04-01,"1991 April","1st 20%",152000,"Scss","Absorbed Prices"
"35505",1991-04-01,"1991 April","2nd 40%",180000,"Scss","Absorbed Prices"
"35505",1991-04-01,"1991 April","3rd 60%",218000,"Scss","Absorbed Prices"
"35505",1991-04-01,"1991 April","4th 80%",265000,"Scss","Absorbed Prices"
"35505",1991-04-01,"1991 April","Median",185000,"Scss","Absorbed Prices"
"35505",1991-04-01,"1991 April","Average",213787,"Scss","Absorbed Prices"
"35505",1991-04-01,"1991 April","Units",121,"Scss","Absorbed Prices"
"35505",1991-05-01,"1991 May","1st 20%",140000,"Scss","Absorbed Prices"
"35505",1991-05-01,"1991 May","2nd 40%",160000,"Scss","Absorbed Prices"
"35505",1991-05-01,"1991 May","3rd 60%",190000,"Scss","Absorbed Prices"
"35505",1991-05-01,"1991 May","4th 80%",230000,"Scss","Absorbed Prices"
"35505",1991-05-01,"1991 May","Median",172500,"Scss","Absorbed Prices"
"35505",1991-05-01,"1991 May","Average",196908,"Scss","Absorbed Prices"
"35505",1991-05-01,"1991 May","Units",86,"Scss","Absorbed Prices"
"35505",1991-06-01,"1991 June","1st 20%",160000,"Scss","Absorbed Prices"
"35505",1991-06-01,"1991 June","2nd 40%",193000,"Scss","Absorbed Prices"
"35505",1991-06-01,"1991 June","3rd 60%",222000,"Scss","Absorbed Prices"
"35505",1991-06-01,"1991 June","4th 80%",305000,"Scss","Absorbed Prices"
"35505",1991-06-01,"1991 June","Median",210000,"Scss","Absorbed Prices"
"35505",1991-06-01,"1991 June","Average",229272,"Scss","Absorbed Prices"
"35505",1991-06-01,"1991 June","Units",121,"Scss","Absorbed Prices"
"35505",1991-07-01,"1991 July","1st 20%",145000,"Scss","Absorbed Prices"
"35505",1991-07-01,"1991 July","2nd 40%",166000,"Scss","Absorbed Prices"
"35505",1991-07-01,"1991 July","3rd 60%",215000,"Scss","Absorbed Prices"
"35505",1991-07-01,"1991 July","4th 80%",272000,"Scss","Absorbed Prices"
"35505",1991-07-01,"1991 July","Median",177500,"Scss","Absorbed Prices"
"35505",1991-07-01,"1991 July","Average",200466,"Scss","Absorbed Prices"
"35505",1991-07-01,"1991 July","Units",143,"Scss","Absorbed Prices"
"35505",1991-08-01,"1991 August","1st 20%",141000,"Scss","Absorbed Prices"
"35505",1991-08-01,"1991 August","2nd 40%",170000,"Scss","Absorbed Prices"
"35505",1991-08-01,"1991 August","3rd 60%",205000,"Scss","Absorbed Prices"
"35505",1991-08-01,"1991 August","4th 80%",255000,"Scss","Absorbed Prices"
"35505",1991-08-01,"1991 August","Median",185000,"Scss","Absorbed Prices"
"35505",1991-08-01,"1991 August","Average",205416,"Scss","Absorbed Prices"
"35505",1991-08-01,"1991 August","Units",269,"Scss","Absorbed Prices"
"35505",1991-09-01,"1991 September","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1991-09-01,"1991 September","2nd 40%",175000,"Scss","Absorbed Prices"
"35505",1991-09-01,"1991 September","3rd 60%",190000,"Scss","Absorbed Prices"
"35505",1991-09-01,"1991 September","4th 80%",230000,"Scss","Absorbed Prices"
"35505",1991-09-01,"1991 September","Median",185000,"Scss","Absorbed Prices"
"35505",1991-09-01,"1991 September","Average",196226,"Scss","Absorbed Prices"
"35505",1991-09-01,"1991 September","Units",182,"Scss","Absorbed Prices"
"35505",1991-10-01,"1991 October","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1991-10-01,"1991 October","2nd 40%",180000,"Scss","Absorbed Prices"
"35505",1991-10-01,"1991 October","3rd 60%",205000,"Scss","Absorbed Prices"
"35505",1991-10-01,"1991 October","4th 80%",250000,"Scss","Absorbed Prices"
"35505",1991-10-01,"1991 October","Median",190000,"Scss","Absorbed Prices"
"35505",1991-10-01,"1991 October","Average",206535,"Scss","Absorbed Prices"
"35505",1991-10-01,"1991 October","Units",264,"Scss","Absorbed Prices"
"35505",1991-11-01,"1991 November","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1991-11-01,"1991 November","2nd 40%",179000,"Scss","Absorbed Prices"
"35505",1991-11-01,"1991 November","3rd 60%",2e+05,"Scss","Absorbed Prices"
"35505",1991-11-01,"1991 November","4th 80%",240000,"Scss","Absorbed Prices"
"35505",1991-11-01,"1991 November","Median",190000,"Scss","Absorbed Prices"
"35505",1991-11-01,"1991 November","Average",203148,"Scss","Absorbed Prices"
"35505",1991-11-01,"1991 November","Units",188,"Scss","Absorbed Prices"
"35505",1991-12-01,"1991 December","1st 20%",135000,"Scss","Absorbed Prices"
"35505",1991-12-01,"1991 December","2nd 40%",170000,"Scss","Absorbed Prices"
"35505",1991-12-01,"1991 December","3rd 60%",188000,"Scss","Absorbed Prices"
"35505",1991-12-01,"1991 December","4th 80%",250000,"Scss","Absorbed Prices"
"35505",1991-12-01,"1991 December","Median",180000,"Scss","Absorbed Prices"
"35505",1991-12-01,"1991 December","Average",198511,"Scss","Absorbed Prices"
"35505",1991-12-01,"1991 December","Units",138,"Scss","Absorbed Prices"
"35505",1992-01-01,"1992 January","1st 20%",160000,"Scss","Absorbed Prices"
"35505",1992-01-01,"1992 January","2nd 40%",182000,"Scss","Absorbed Prices"
"35505",1992-01-01,"1992 January","3rd 60%",220000,"Scss","Absorbed Prices"
"35505",1992-01-01,"1992 January","4th 80%",270000,"Scss","Absorbed Prices"
"35505",1992-01-01,"1992 January","Median",190000,"Scss","Absorbed Prices"
"35505",1992-01-01,"1992 January","Average",222859,"Scss","Absorbed Prices"
"35505",1992-01-01,"1992 January","Units",210,"Scss","Absorbed Prices"
"35505",1992-02-01,"1992 February","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1992-02-01,"1992 February","2nd 40%",180000,"Scss","Absorbed Prices"
"35505",1992-02-01,"1992 February","3rd 60%",220000,"Scss","Absorbed Prices"
"35505",1992-02-01,"1992 February","4th 80%",270000,"Scss","Absorbed Prices"
"35505",1992-02-01,"1992 February","Median",195000,"Scss","Absorbed Prices"
"35505",1992-02-01,"1992 February","Average",216711,"Scss","Absorbed Prices"
"35505",1992-02-01,"1992 February","Units",158,"Scss","Absorbed Prices"
"35505",1992-03-01,"1992 March","1st 20%",160000,"Scss","Absorbed Prices"
"35505",1992-03-01,"1992 March","2nd 40%",180000,"Scss","Absorbed Prices"
"35505",1992-03-01,"1992 March","3rd 60%",2e+05,"Scss","Absorbed Prices"
"35505",1992-03-01,"1992 March","4th 80%",250000,"Scss","Absorbed Prices"
"35505",1992-03-01,"1992 March","Median",190000,"Scss","Absorbed Prices"
"35505",1992-03-01,"1992 March","Average",204342,"Scss","Absorbed Prices"
"35505",1992-03-01,"1992 March","Units",189,"Scss","Absorbed Prices"
"35505",1992-04-01,"1992 April","1st 20%",155000,"Scss","Absorbed Prices"
"35505",1992-04-01,"1992 April","2nd 40%",170000,"Scss","Absorbed Prices"
"35505",1992-04-01,"1992 April","3rd 60%",195000,"Scss","Absorbed Prices"
"35505",1992-04-01,"1992 April","4th 80%",250000,"Scss","Absorbed Prices"
"35505",1992-04-01,"1992 April","Median",185000,"Scss","Absorbed Prices"
"35505",1992-04-01,"1992 April","Average",202696,"Scss","Absorbed Prices"
"35505",1992-04-01,"1992 April","Units",151,"Scss","Absorbed Prices"
"35505",1992-05-01,"1992 May","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1992-05-01,"1992 May","2nd 40%",170000,"Scss","Absorbed Prices"
"35505",1992-05-01,"1992 May","3rd 60%",190000,"Scss","Absorbed Prices"
"35505",1992-05-01,"1992 May","4th 80%",230000,"Scss","Absorbed Prices"
"35505",1992-05-01,"1992 May","Median",180000,"Scss","Absorbed Prices"
"35505",1992-05-01,"1992 May","Average",191959,"Scss","Absorbed Prices"
"35505",1992-05-01,"1992 May","Units",101,"Scss","Absorbed Prices"
"35505",1992-06-01,"1992 June","1st 20%",150000,"Scss","Absorbed Prices"
"35505",1992-06-01,"1992 June","2nd 40%",172000,"Scss","Absorbed Prices"
"35505",1992-06-01,"1992 June","3rd 60%",205000,"Scss","Absorbed Prices"
"35505",1992-06-01,"1992 June","4th 80%",250000,"Scss","Absorbed Prices"
"35505",1992-06-01,"1992 June","Median",185000,"Scss","Absorbed Prices"
"35505",1992-06-01,"1992 June","Average",210433,"Scss","Absorbed Prices"
"35505",1992-06-01,"1992 June","Units",195,"Scss","Absorbed Prices"
"35505",1992-07-01,"1992 July","1st 20%",140000,"Scss","Absorbed Prices"
"35505",1992-07-01,"1992 July","2nd 40%",160000,"Scss","Absorbed Prices"
"35505",1992-07-01,"1992 July","3rd 60%",185000,"Scss","Absorbed Prices"
