Kitchener - Cambridge - Waterloo — Historical Age of Population (All Age Groups)  
2006 to 2016
,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,Total 65+,Total,
2006,"86,240","65,740","63,740","72,080","65,950","45,215","52,270","451,235",
2011,"86,345","67,815","66,815","68,230","73,685","54,815","59,460","477,160",
2016,"92,220","71,380","72,690","69,155","75,650","64,840","70,150","516,080",

Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
