"GeoUID","Date","DateString","Median","Value","Survey","Series"
"48821",2016-07-01,"2016","Single-Detached",369479,"Census","Dwelling value"
"48821",2016-07-01,"2016","Semi-Detached",324461,"Census","Dwelling value"
"48821",2016-07-01,"2016","Row",224702,"Census","Dwelling value"
"48821",2016-07-01,"2016","Duplex",300237,"Census","Dwelling value"
"48821",2016-07-01,"2016","Low-Rise Apt.",200042,"Census","Dwelling value"
"48821",2016-07-01,"2016","High-Rise Apt.",0,"Census","Dwelling value"
"48821",2016-07-01,"2016","Other",74877,"Census","Dwelling value"
"48821",2016-07-01,"2016","Total",341726,"Census","Dwelling value"
"48821",2021-07-01,"2021","Single-Detached",376000,"Census","Dwelling value"
"48821",2021-07-01,"2021","Semi-Detached",340000,"Census","Dwelling value"
"48821",2021-07-01,"2021","Row",210000,"Census","Dwelling value"
"48821",2021-07-01,"2021","Duplex",320000,"Census","Dwelling value"
"48821",2021-07-01,"2021","Low-Rise Apt.",160000,"Census","Dwelling value"
"48821",2021-07-01,"2021","High-Rise Apt.",NA,"Census","Dwelling value"
"48821",2021-07-01,"2021","Other",70000,"Census","Dwelling value"
"48821",2021-07-01,"2021","Total",348000,"Census","Dwelling value"
