"GeoUID","Date","DateString","Structure Size","Value","Survey","Series"
"24462",2007-07-01,"2007","3-19 Units",39254,"Srms","Condo Universe"
"24462",2007-07-01,"2007","20-49 Units",17338,"Srms","Condo Universe"
"24462",2007-07-01,"2007","50-99 Units",16490,"Srms","Condo Universe"
"24462",2007-07-01,"2007","100+ Units",15406,"Srms","Condo Universe"
"24462",2007-07-01,"2007","Total",88488,"Srms","Condo Universe"
"24462",2008-07-01,"2008","3-19 Units",39840,"Srms","Condo Universe"
"24462",2008-07-01,"2008","20-49 Units",18083,"Srms","Condo Universe"
"24462",2008-07-01,"2008","50-99 Units",17227,"Srms","Condo Universe"
"24462",2008-07-01,"2008","100+ Units",18288,"Srms","Condo Universe"
"24462",2008-07-01,"2008","Total",93438,"Srms","Condo Universe"
"24462",2009-07-01,"2009","3-19 Units",44315,"Srms","Condo Universe"
"24462",2009-07-01,"2009","20-49 Units",19880,"Srms","Condo Universe"
"24462",2009-07-01,"2009","50-99 Units",17580,"Srms","Condo Universe"
"24462",2009-07-01,"2009","100+ Units",19658,"Srms","Condo Universe"
"24462",2009-07-01,"2009","Total",101433,"Srms","Condo Universe"
"24462",2010-07-01,"2010","3-19 Units",46648,"Srms","Condo Universe"
"24462",2010-07-01,"2010","20-49 Units",20927,"Srms","Condo Universe"
"24462",2010-07-01,"2010","50-99 Units",17847,"Srms","Condo Universe"
"24462",2010-07-01,"2010","100+ Units",21839,"Srms","Condo Universe"
"24462",2010-07-01,"2010","Total",107261,"Srms","Condo Universe"
"24462",2011-07-01,"2011","3-19 Units",51421,"Srms","Condo Universe"
"24462",2011-07-01,"2011","20-49 Units",22549,"Srms","Condo Universe"
"24462",2011-07-01,"2011","50-99 Units",18825,"Srms","Condo Universe"
"24462",2011-07-01,"2011","100+ Units",22710,"Srms","Condo Universe"
"24462",2011-07-01,"2011","Total",115505,"Srms","Condo Universe"
"24462",2012-07-01,"2012","3-19 Units",57239,"Srms","Condo Universe"
"24462",2012-07-01,"2012","20-49 Units",24263,"Srms","Condo Universe"
"24462",2012-07-01,"2012","50-99 Units",22390,"Srms","Condo Universe"
"24462",2012-07-01,"2012","100+ Units",26799,"Srms","Condo Universe"
"24462",2012-07-01,"2012","Total",130691,"Srms","Condo Universe"
"24462",2013-07-01,"2013","3-19 Units",60466,"Srms","Condo Universe"
"24462",2013-07-01,"2013","20-49 Units",27304,"Srms","Condo Universe"
"24462",2013-07-01,"2013","50-99 Units",24390,"Srms","Condo Universe"
