"GeoUID","Date","DateString","Structure Size","Value","Survey","Series"
"59933",2007-07-01,"2007","3-19 Units",5843,"Srms","Condo Universe"
"59933",2007-07-01,"2007","20-49 Units",28409,"Srms","Condo Universe"
"59933",2007-07-01,"2007","50-99 Units",31862,"Srms","Condo Universe"
"59933",2007-07-01,"2007","100+ Units",74480,"Srms","Condo Universe"
"59933",2007-07-01,"2007","Total",140594,"Srms","Condo Universe"
"59933",2008-07-01,"2008","3-19 Units",5756,"Srms","Condo Universe"
"59933",2008-07-01,"2008","20-49 Units",28979,"Srms","Condo Universe"
"59933",2008-07-01,"2008","50-99 Units",33285,"Srms","Condo Universe"
"59933",2008-07-01,"2008","100+ Units",80491,"Srms","Condo Universe"
"59933",2008-07-01,"2008","Total",148511,"Srms","Condo Universe"
"59933",2009-07-01,"2009","3-19 Units",5718,"Srms","Condo Universe"
"59933",2009-07-01,"2009","20-49 Units",29878,"Srms","Condo Universe"
"59933",2009-07-01,"2009","50-99 Units",35597,"Srms","Condo Universe"
"59933",2009-07-01,"2009","100+ Units",89020,"Srms","Condo Universe"
"59933",2009-07-01,"2009","Total",160213,"Srms","Condo Universe"
"59933",2010-07-01,"2010","3-19 Units",5747,"Srms","Condo Universe"
"59933",2010-07-01,"2010","20-49 Units",30506,"Srms","Condo Universe"
"59933",2010-07-01,"2010","50-99 Units",36833,"Srms","Condo Universe"
"59933",2010-07-01,"2010","100+ Units",95785,"Srms","Condo Universe"
"59933",2010-07-01,"2010","Total",168871,"Srms","Condo Universe"
"59933",2011-07-01,"2011","3-19 Units",5825,"Srms","Condo Universe"
"59933",2011-07-01,"2011","20-49 Units",30773,"Srms","Condo Universe"
"59933",2011-07-01,"2011","50-99 Units",37588,"Srms","Condo Universe"
"59933",2011-07-01,"2011","100+ Units",99990,"Srms","Condo Universe"
"59933",2011-07-01,"2011","Total",174176,"Srms","Condo Universe"
"59933",2012-07-01,"2012","3-19 Units",6304,"Srms","Condo Universe"
"59933",2012-07-01,"2012","20-49 Units",33204,"Srms","Condo Universe"
"59933",2012-07-01,"2012","50-99 Units",40429,"Srms","Condo Universe"
"59933",2012-07-01,"2012","100+ Units",107410,"Srms","Condo Universe"
"59933",2012-07-01,"2012","Total",187347,"Srms","Condo Universe"
"59933",2013-07-01,"2013","3-19 Units",6407,"Srms","Condo Universe"
"59933",2013-07-01,"2013","20-49 Units",33599,"Srms","Condo Universe"
"59933",2013-07-01,"2013","50-99 Units",41803,"Srms","Condo Universe"
"59933",2013-07-01,"2013","100+ Units",112789,"Srms","Condo Universe"
"59933",2013-07-01,"2013","Total",194598,"Srms","Condo Universe"
"59933",2014-07-01,"2014","3-19 Units",6619,"Srms","Condo Universe"
"59933",2014-07-01,"2014","20-49 Units",34436,"Srms","Condo Universe"
"59933",2014-07-01,"2014","50-99 Units",43787,"Srms","Condo Universe"
"59933",2014-07-01,"2014","100+ Units",118982,"Srms","Condo Universe"
"59933",2014-07-01,"2014","Total",203824,"Srms","Condo Universe"
"59933",2015-07-01,"2015","3-19 Units",6584,"Srms","Condo Universe"
"59933",2015-07-01,"2015","20-49 Units",34903,"Srms","Condo Universe"
"59933",2015-07-01,"2015","50-99 Units",45832,"Srms","Condo Universe"
"59933",2015-07-01,"2015","100+ Units",123377,"Srms","Condo Universe"
"59933",2015-07-01,"2015","Total",210696,"Srms","Condo Universe"
"59933",2016-07-01,"2016","3-19 Units",8006,"Srms","Condo Universe"
"59933",2016-07-01,"2016","20-49 Units",38155,"Srms","Condo Universe"
"59933",2016-07-01,"2016","50-99 Units",49619,"Srms","Condo Universe"
"59933",2016-07-01,"2016","100+ Units",132932,"Srms","Condo Universe"
"59933",2016-07-01,"2016","Total",228712,"Srms","Condo Universe"
"59933",2017-07-01,"2017","3-19 Units",7601,"Srms","Condo Universe"
"59933",2017-07-01,"2017","20-49 Units",37321,"Srms","Condo Universe"
"59933",2017-07-01,"2017","50-99 Units",49597,"Srms","Condo Universe"
"59933",2017-07-01,"2017","100+ Units",138119,"Srms","Condo Universe"
"59933",2017-07-01,"2017","Total",232638,"Srms","Condo Universe"
"59933",2018-07-01,"2018","3-19 Units",7644,"Srms","Condo Universe"
"59933",2018-07-01,"2018","20-49 Units",37964,"Srms","Condo Universe"
"59933",2018-07-01,"2018","50-99 Units",50715,"Srms","Condo Universe"
