"GeoUID","Date","DateString","Structure Size","Value","Survey","Series"
"47725",2007-07-01,"2007","3-19 Units",NA,"Srms","Condo Universe"
"47725",2007-07-01,"2007","20-49 Units",NA,"Srms","Condo Universe"
"47725",2007-07-01,"2007","50-99 Units",NA,"Srms","Condo Universe"
"47725",2007-07-01,"2007","100+ Units",NA,"Srms","Condo Universe"
"47725",2007-07-01,"2007","Total",NA,"Srms","Condo Universe"
"47725",2008-07-01,"2008","3-19 Units",412,"Srms","Condo Universe"
"47725",2008-07-01,"2008","20-49 Units",2114,"Srms","Condo Universe"
"47725",2008-07-01,"2008","50-99 Units",2138,"Srms","Condo Universe"
"47725",2008-07-01,"2008","100+ Units",2596,"Srms","Condo Universe"
"47725",2008-07-01,"2008","Total",7260,"Srms","Condo Universe"
"47725",2009-07-01,"2009","3-19 Units",404,"Srms","Condo Universe"
"47725",2009-07-01,"2009","20-49 Units",2240,"Srms","Condo Universe"
"47725",2009-07-01,"2009","50-99 Units",2041,"Srms","Condo Universe"
"47725",2009-07-01,"2009","100+ Units",2728,"Srms","Condo Universe"
"47725",2009-07-01,"2009","Total",7413,"Srms","Condo Universe"
"47725",2010-07-01,"2010","3-19 Units",508,"Srms","Condo Universe"
"47725",2010-07-01,"2010","20-49 Units",2320,"Srms","Condo Universe"
"47725",2010-07-01,"2010","50-99 Units",2457,"Srms","Condo Universe"
"47725",2010-07-01,"2010","100+ Units",2884,"Srms","Condo Universe"
"47725",2010-07-01,"2010","Total",8169,"Srms","Condo Universe"
"47725",2011-07-01,"2011","3-19 Units",527,"Srms","Condo Universe"
"47725",2011-07-01,"2011","20-49 Units",2473,"Srms","Condo Universe"
"47725",2011-07-01,"2011","50-99 Units",2525,"Srms","Condo Universe"
"47725",2011-07-01,"2011","100+ Units",2793,"Srms","Condo Universe"
"47725",2011-07-01,"2011","Total",8318,"Srms","Condo Universe"
"47725",2012-07-01,"2012","3-19 Units",489,"Srms","Condo Universe"
"47725",2012-07-01,"2012","20-49 Units",2666,"Srms","Condo Universe"
"47725",2012-07-01,"2012","50-99 Units",2822,"Srms","Condo Universe"
"47725",2012-07-01,"2012","100+ Units",2795,"Srms","Condo Universe"
"47725",2012-07-01,"2012","Total",8772,"Srms","Condo Universe"
