"GeoUID","Date","DateString","Structure Size","Value","Survey","Series"
"59935",2007-07-01,"2007","3-19 Units",NA,"Srms","Condo Universe"
"59935",2007-07-01,"2007","20-49 Units",NA,"Srms","Condo Universe"
"59935",2007-07-01,"2007","50-99 Units",NA,"Srms","Condo Universe"
"59935",2007-07-01,"2007","100+ Units",NA,"Srms","Condo Universe"
"59935",2007-07-01,"2007","Total",NA,"Srms","Condo Universe"
"59935",2008-07-01,"2008","3-19 Units",2708,"Srms","Condo Universe"
"59935",2008-07-01,"2008","20-49 Units",8010,"Srms","Condo Universe"
"59935",2008-07-01,"2008","50-99 Units",5136,"Srms","Condo Universe"
"59935",2008-07-01,"2008","100+ Units",3163,"Srms","Condo Universe"
"59935",2008-07-01,"2008","Total",19017,"Srms","Condo Universe"
"59935",2009-07-01,"2009","3-19 Units",2745,"Srms","Condo Universe"
"59935",2009-07-01,"2009","20-49 Units",8477,"Srms","Condo Universe"
"59935",2009-07-01,"2009","50-99 Units",5844,"Srms","Condo Universe"
"59935",2009-07-01,"2009","100+ Units",3420,"Srms","Condo Universe"
"59935",2009-07-01,"2009","Total",20486,"Srms","Condo Universe"
"59935",2010-07-01,"2010","3-19 Units",2793,"Srms","Condo Universe"
"59935",2010-07-01,"2010","20-49 Units",8136,"Srms","Condo Universe"
"59935",2010-07-01,"2010","50-99 Units",6313,"Srms","Condo Universe"
"59935",2010-07-01,"2010","100+ Units",4340,"Srms","Condo Universe"
"59935",2010-07-01,"2010","Total",21582,"Srms","Condo Universe"
"59935",2011-07-01,"2011","3-19 Units",2836,"Srms","Condo Universe"
"59935",2011-07-01,"2011","20-49 Units",8346,"Srms","Condo Universe"
"59935",2011-07-01,"2011","50-99 Units",6259,"Srms","Condo Universe"
"59935",2011-07-01,"2011","100+ Units",4487,"Srms","Condo Universe"
"59935",2011-07-01,"2011","Total",21928,"Srms","Condo Universe"
"59935",2012-07-01,"2012","3-19 Units",2815,"Srms","Condo Universe"
"59935",2012-07-01,"2012","20-49 Units",8551,"Srms","Condo Universe"
"59935",2012-07-01,"2012","50-99 Units",6351,"Srms","Condo Universe"
"59935",2012-07-01,"2012","100+ Units",4602,"Srms","Condo Universe"
"59935",2012-07-01,"2012","Total",22319,"Srms","Condo Universe"
"59935",2013-07-01,"2013","3-19 Units",2894,"Srms","Condo Universe"
"59935",2013-07-01,"2013","20-49 Units",8822,"Srms","Condo Universe"
"59935",2013-07-01,"2013","50-99 Units",6436,"Srms","Condo Universe"
"59935",2013-07-01,"2013","100+ Units",4608,"Srms","Condo Universe"
"59935",2013-07-01,"2013","Total",22760,"Srms","Condo Universe"
"59935",2014-07-01,"2014","3-19 Units",2896,"Srms","Condo Universe"
"59935",2014-07-01,"2014","20-49 Units",8946,"Srms","Condo Universe"
"59935",2014-07-01,"2014","50-99 Units",6539,"Srms","Condo Universe"
"59935",2014-07-01,"2014","100+ Units",4745,"Srms","Condo Universe"
"59935",2014-07-01,"2014","Total",23126,"Srms","Condo Universe"
"59935",2015-07-01,"2015","3-19 Units",2928,"Srms","Condo Universe"
"59935",2015-07-01,"2015","20-49 Units",9076,"Srms","Condo Universe"
"59935",2015-07-01,"2015","50-99 Units",6740,"Srms","Condo Universe"
"59935",2015-07-01,"2015","100+ Units",5191,"Srms","Condo Universe"
"59935",2015-07-01,"2015","Total",23935,"Srms","Condo Universe"
"59935",2016-07-01,"2016","3-19 Units",3047,"Srms","Condo Universe"
"59935",2016-07-01,"2016","20-49 Units",9126,"Srms","Condo Universe"
