"GeoUID","Date","DateString","Structure Size","Value","Survey","Series"
"12205",2007-07-01,"2007","3-19 Units",NA,"Srms","Condo Universe"
"12205",2007-07-01,"2007","20-49 Units",NA,"Srms","Condo Universe"
"12205",2007-07-01,"2007","50-99 Units",NA,"Srms","Condo Universe"
"12205",2007-07-01,"2007","100+ Units",NA,"Srms","Condo Universe"
"12205",2007-07-01,"2007","Total",NA,"Srms","Condo Universe"
"12205",2008-07-01,"2008","3-19 Units",NA,"Srms","Condo Universe"
"12205",2008-07-01,"2008","20-49 Units",NA,"Srms","Condo Universe"
"12205",2008-07-01,"2008","50-99 Units",NA,"Srms","Condo Universe"
"12205",2008-07-01,"2008","100+ Units",NA,"Srms","Condo Universe"
"12205",2008-07-01,"2008","Total",NA,"Srms","Condo Universe"
"12205",2009-07-01,"2009","3-19 Units",NA,"Srms","Condo Universe"
"12205",2009-07-01,"2009","20-49 Units",NA,"Srms","Condo Universe"
"12205",2009-07-01,"2009","50-99 Units",NA,"Srms","Condo Universe"
"12205",2009-07-01,"2009","100+ Units",NA,"Srms","Condo Universe"
"12205",2009-07-01,"2009","Total",NA,"Srms","Condo Universe"
"12205",2010-07-01,"2010","3-19 Units",NA,"Srms","Condo Universe"
"12205",2010-07-01,"2010","20-49 Units",NA,"Srms","Condo Universe"
"12205",2010-07-01,"2010","50-99 Units",NA,"Srms","Condo Universe"
"12205",2010-07-01,"2010","100+ Units",NA,"Srms","Condo Universe"
"12205",2010-07-01,"2010","Total",NA,"Srms","Condo Universe"
"12205",2011-07-01,"2011","3-19 Units",NA,"Srms","Condo Universe"
"12205",2011-07-01,"2011","20-49 Units",NA,"Srms","Condo Universe"
"12205",2011-07-01,"2011","50-99 Units",NA,"Srms","Condo Universe"
"12205",2011-07-01,"2011","100+ Units",NA,"Srms","Condo Universe"
"12205",2011-07-01,"2011","Total",NA,"Srms","Condo Universe"
"12205",2012-07-01,"2012","3-19 Units",NA,"Srms","Condo Universe"
"12205",2012-07-01,"2012","20-49 Units",NA,"Srms","Condo Universe"
