"GeoUID","Date","DateString","Structure Size","Value","Survey","Series"
"35555",2015-07-01,"2015","3-19 Units",36,"Srms","Condo Universe"
"35555",2015-07-01,"2015","20-49 Units",670,"Srms","Condo Universe"
"35555",2015-07-01,"2015","50-99 Units",2030,"Srms","Condo Universe"
"35555",2015-07-01,"2015","100+ Units",4756,"Srms","Condo Universe"
"35555",2015-07-01,"2015","Total",7492,"Srms","Condo Universe"
"35555",2016-07-01,"2016","3-19 Units",37,"Srms","Condo Universe"
"35555",2016-07-01,"2016","20-49 Units",693,"Srms","Condo Universe"
"35555",2016-07-01,"2016","50-99 Units",1978,"Srms","Condo Universe"
"35555",2016-07-01,"2016","100+ Units",4623,"Srms","Condo Universe"
"35555",2016-07-01,"2016","Total",7331,"Srms","Condo Universe"
"35555",2017-07-01,"2017","3-19 Units",29,"Srms","Condo Universe"
"35555",2017-07-01,"2017","20-49 Units",535,"Srms","Condo Universe"
"35555",2017-07-01,"2017","50-99 Units",2034,"Srms","Condo Universe"
"35555",2017-07-01,"2017","100+ Units",4805,"Srms","Condo Universe"
"35555",2017-07-01,"2017","Total",7403,"Srms","Condo Universe"
"35555",2018-07-01,"2018","3-19 Units",44,"Srms","Condo Universe"
"35555",2018-07-01,"2018","20-49 Units",535,"Srms","Condo Universe"
"35555",2018-07-01,"2018","50-99 Units",2103,"Srms","Condo Universe"
"35555",2018-07-01,"2018","100+ Units",4688,"Srms","Condo Universe"
"35555",2018-07-01,"2018","Total",7370,"Srms","Condo Universe"
"35555",2019-07-01,"2019","3-19 Units",65,"Srms","Condo Universe"
"35555",2019-07-01,"2019","20-49 Units",537,"Srms","Condo Universe"
"35555",2019-07-01,"2019","50-99 Units",1873,"Srms","Condo Universe"
"35555",2019-07-01,"2019","100+ Units",5252,"Srms","Condo Universe"
"35555",2019-07-01,"2019","Total",7727,"Srms","Condo Universe"
"35555",2020-07-01,"2020","3-19 Units",65,"Srms","Condo Universe"
"35555",2020-07-01,"2020","20-49 Units",537,"Srms","Condo Universe"
"35555",2020-07-01,"2020","50-99 Units",1926,"Srms","Condo Universe"
"35555",2020-07-01,"2020","100+ Units",5196,"Srms","Condo Universe"
"35555",2020-07-01,"2020","Total",7724,"Srms","Condo Universe"
"35555",2021-07-01,"2021","3-19 Units",41,"Srms","Condo Universe"
"35555",2021-07-01,"2021","20-49 Units",537,"Srms","Condo Universe"
"35555",2021-07-01,"2021","50-99 Units",1797,"Srms","Condo Universe"
"35555",2021-07-01,"2021","100+ Units",5501,"Srms","Condo Universe"
"35555",2021-07-01,"2021","Total",7876,"Srms","Condo Universe"
"35555",2022-07-01,"2022","3-19 Units",43,"Srms","Condo Universe"
"35555",2022-07-01,"2022","20-49 Units",502,"Srms","Condo Universe"
"35555",2022-07-01,"2022","50-99 Units",1952,"Srms","Condo Universe"
"35555",2022-07-01,"2022","100+ Units",5768,"Srms","Condo Universe"
"35555",2022-07-01,"2022","Total",8265,"Srms","Condo Universe"
"35555",2023-07-01,"2023","3-19 Units",52,"Srms","Condo Universe"
"35555",2023-07-01,"2023","20-49 Units",545,"Srms","Condo Universe"
"35555",2023-07-01,"2023","50-99 Units",1901,"Srms","Condo Universe"
"35555",2023-07-01,"2023","100+ Units",5910,"Srms","Condo Universe"
"35555",2023-07-01,"2023","Total",8408,"Srms","Condo Universe"
"35555",2024-07-01,"2024","3-19 Units",60,"Srms","Condo Universe"
"35555",2024-07-01,"2024","20-49 Units",544,"Srms","Condo Universe"
"35555",2024-07-01,"2024","50-99 Units",1901,"Srms","Condo Universe"
"35555",2024-07-01,"2024","100+ Units",6074,"Srms","Condo Universe"
"35555",2024-07-01,"2024","Total",8579,"Srms","Condo Universe"
"35555",2025-07-01,"2025","3-19 Units",60,"Srms","Condo Universe"
"35555",2025-07-01,"2025","20-49 Units",544,"Srms","Condo Universe"
"35555",2025-07-01,"2025","50-99 Units",1971,"Srms","Condo Universe"
"35555",2025-07-01,"2025","100+ Units",6074,"Srms","Condo Universe"
"35555",2025-07-01,"2025","Total",8649,"Srms","Condo Universe"
