"GeoUID","Date","DateString","Structure Size","Value","Survey","Series"
"48825",2007-07-01,"2007","3-19 Units",1588,"Srms","Condo Universe"
"48825",2007-07-01,"2007","20-49 Units",6687,"Srms","Condo Universe"
"48825",2007-07-01,"2007","50-99 Units",5429,"Srms","Condo Universe"
"48825",2007-07-01,"2007","100+ Units",16405,"Srms","Condo Universe"
"48825",2007-07-01,"2007","Total",30109,"Srms","Condo Universe"
"48825",2008-07-01,"2008","3-19 Units",1920,"Srms","Condo Universe"
"48825",2008-07-01,"2008","20-49 Units",7165,"Srms","Condo Universe"
"48825",2008-07-01,"2008","50-99 Units",6495,"Srms","Condo Universe"
"48825",2008-07-01,"2008","100+ Units",17475,"Srms","Condo Universe"
"48825",2008-07-01,"2008","Total",33055,"Srms","Condo Universe"
"48825",2009-07-01,"2009","3-19 Units",1992,"Srms","Condo Universe"
"48825",2009-07-01,"2009","20-49 Units",7157,"Srms","Condo Universe"
"48825",2009-07-01,"2009","50-99 Units",6514,"Srms","Condo Universe"
"48825",2009-07-01,"2009","100+ Units",21161,"Srms","Condo Universe"
"48825",2009-07-01,"2009","Total",36824,"Srms","Condo Universe"
"48825",2010-07-01,"2010","3-19 Units",2093,"Srms","Condo Universe"
"48825",2010-07-01,"2010","20-49 Units",6888,"Srms","Condo Universe"
"48825",2010-07-01,"2010","50-99 Units",7193,"Srms","Condo Universe"
"48825",2010-07-01,"2010","100+ Units",24299,"Srms","Condo Universe"
"48825",2010-07-01,"2010","Total",40473,"Srms","Condo Universe"
"48825",2011-07-01,"2011","3-19 Units",2340,"Srms","Condo Universe"
"48825",2011-07-01,"2011","20-49 Units",7068,"Srms","Condo Universe"
"48825",2011-07-01,"2011","50-99 Units",7178,"Srms","Condo Universe"
"48825",2011-07-01,"2011","100+ Units",25775,"Srms","Condo Universe"
"48825",2011-07-01,"2011","Total",42361,"Srms","Condo Universe"
"48825",2012-07-01,"2012","3-19 Units",2669,"Srms","Condo Universe"
"48825",2012-07-01,"2012","20-49 Units",7923,"Srms","Condo Universe"
"48825",2012-07-01,"2012","50-99 Units",7148,"Srms","Condo Universe"
"48825",2012-07-01,"2012","100+ Units",29416,"Srms","Condo Universe"
"48825",2012-07-01,"2012","Total",47156,"Srms","Condo Universe"
"48825",2013-07-01,"2013","3-19 Units",2737,"Srms","Condo Universe"
"48825",2013-07-01,"2013","20-49 Units",8032,"Srms","Condo Universe"
"48825",2013-07-01,"2013","50-99 Units",7653,"Srms","Condo Universe"
"48825",2013-07-01,"2013","100+ Units",30782,"Srms","Condo Universe"
"48825",2013-07-01,"2013","Total",49204,"Srms","Condo Universe"
"48825",2014-07-01,"2014","3-19 Units",2838,"Srms","Condo Universe"
"48825",2014-07-01,"2014","20-49 Units",8031,"Srms","Condo Universe"
"48825",2014-07-01,"2014","50-99 Units",8169,"Srms","Condo Universe"
"48825",2014-07-01,"2014","100+ Units",33943,"Srms","Condo Universe"
"48825",2014-07-01,"2014","Total",52981,"Srms","Condo Universe"
"48825",2015-07-01,"2015","3-19 Units",2830,"Srms","Condo Universe"
"48825",2015-07-01,"2015","20-49 Units",8107,"Srms","Condo Universe"
"48825",2015-07-01,"2015","50-99 Units",8429,"Srms","Condo Universe"
"48825",2015-07-01,"2015","100+ Units",35042,"Srms","Condo Universe"
"48825",2015-07-01,"2015","Total",54408,"Srms","Condo Universe"
"48825",2016-07-01,"2016","3-19 Units",2932,"Srms","Condo Universe"
"48825",2016-07-01,"2016","20-49 Units",8556,"Srms","Condo Universe"
"48825",2016-07-01,"2016","50-99 Units",8397,"Srms","Condo Universe"
"48825",2016-07-01,"2016","100+ Units",38619,"Srms","Condo Universe"
"48825",2016-07-01,"2016","Total",58504,"Srms","Condo Universe"
"48825",2017-07-01,"2017","3-19 Units",3034,"Srms","Condo Universe"
"48825",2017-07-01,"2017","20-49 Units",9169,"Srms","Condo Universe"
"48825",2017-07-01,"2017","50-99 Units",9758,"Srms","Condo Universe"
"48825",2017-07-01,"2017","100+ Units",41943,"Srms","Condo Universe"
"48825",2017-07-01,"2017","Total",63904,"Srms","Condo Universe"
"48825",2018-07-01,"2018","3-19 Units",3052,"Srms","Condo Universe"
"48825",2018-07-01,"2018","20-49 Units",9180,"Srms","Condo Universe"
"48825",2018-07-01,"2018","50-99 Units",9562,"Srms","Condo Universe"
