"GeoUID","Date","DateString","Structure Size","Value","Survey","Series"
"24421",2007-07-01,"2007","3-19 Units",5735,"Srms","Condo Universe"
"24421",2007-07-01,"2007","20-49 Units",5268,"Srms","Condo Universe"
"24421",2007-07-01,"2007","50-99 Units",4827,"Srms","Condo Universe"
"24421",2007-07-01,"2007","100+ Units",2696,"Srms","Condo Universe"
"24421",2007-07-01,"2007","Total",18526,"Srms","Condo Universe"
"24421",2008-07-01,"2008","3-19 Units",5434,"Srms","Condo Universe"
"24421",2008-07-01,"2008","20-49 Units",5896,"Srms","Condo Universe"
"24421",2008-07-01,"2008","50-99 Units",5334,"Srms","Condo Universe"
"24421",2008-07-01,"2008","100+ Units",2428,"Srms","Condo Universe"
"24421",2008-07-01,"2008","Total",19092,"Srms","Condo Universe"
"24421",2009-07-01,"2009","3-19 Units",6221,"Srms","Condo Universe"
"24421",2009-07-01,"2009","20-49 Units",5894,"Srms","Condo Universe"
"24421",2009-07-01,"2009","50-99 Units",5769,"Srms","Condo Universe"
"24421",2009-07-01,"2009","100+ Units",2442,"Srms","Condo Universe"
"24421",2009-07-01,"2009","Total",20326,"Srms","Condo Universe"
"24421",2010-07-01,"2010","3-19 Units",7065,"Srms","Condo Universe"
"24421",2010-07-01,"2010","20-49 Units",6369,"Srms","Condo Universe"
"24421",2010-07-01,"2010","50-99 Units",5963,"Srms","Condo Universe"
"24421",2010-07-01,"2010","100+ Units",2321,"Srms","Condo Universe"
"24421",2010-07-01,"2010","Total",21718,"Srms","Condo Universe"
"24421",2011-07-01,"2011","3-19 Units",8100,"Srms","Condo Universe"
"24421",2011-07-01,"2011","20-49 Units",6774,"Srms","Condo Universe"
"24421",2011-07-01,"2011","50-99 Units",6171,"Srms","Condo Universe"
"24421",2011-07-01,"2011","100+ Units",2421,"Srms","Condo Universe"
"24421",2011-07-01,"2011","Total",23466,"Srms","Condo Universe"
"24421",2012-07-01,"2012","3-19 Units",8924,"Srms","Condo Universe"
"24421",2012-07-01,"2012","20-49 Units",7016,"Srms","Condo Universe"
