"St. Catharines - Niagara — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"135,000","155,000","191,000","270,000","170,000","193,659",221,
1990 February,"135,000","160,000","195,000","260,000","172,500","193,186",218,
1990 March,"135,000","165,000","205,000","270,000","180,000","199,300",219,
1990 April,"135,000","160,000","195,000","270,000","175,000","196,444",238,
1990 May,"135,000","165,000","195,000","260,000","180,000","196,151",256,
1990 June,"137,000","164,000","200,000","258,000","180,000","196,128",261,
1990 July,"135,000","165,000","195,000","260,000","180,000","195,244",269,
1990 August,"135,000","160,000","195,000","260,000","175,000","193,670",289,
1990 September,"135,000","160,000","200,000","260,000","180,000","196,198",300,
1990 October,"140,000","160,000","200,000","260,000","180,000","196,865",278,
1990 November,"140,000","160,000","200,000","260,000","180,000","197,885",274,
1990 December,"140,000","160,000","200,000","260,000","180,000","199,171",244,
1991 January,"135,000","160,000","199,000","254,000","180,000","196,806",237,
1991 February,"136,000","160,000","200,000","260,000","180,000","197,290",230,
1991 March,"135,000","160,000","200,000","265,000","182,500","200,050",214,
1991 April,"135,000","160,000","200,000","260,000","180,000","197,588",200,
1991 May,"135,000","163,000","212,000","265,000","185,000","199,568",193,
1991 June,"135,000","160,000","206,000","263,000","180,000","198,281",191,
1991 July,"146,000","170,000","220,000","270,000","190,000","206,508",165,
1991 August,"145,000","165,000","215,000","260,000","182,500","200,249",164,
1991 September,"145,000","170,000","220,000","270,000","190,000","203,463",164,
1991 October,"150,000","170,000","220,000","270,000","190,000","205,318",163,
1991 November,"145,000","170,000","220,000","276,000","190,000","206,306",163,
1991 December,"145,000","170,000","220,000","270,000","185,000","204,642",151,
1992 January,"150,000","170,000","220,000","270,000","190,000","204,979",149,
1992 February,"150,000","171,000","228,000","270,000","190,000","208,828",152,
1992 March,"150,000","170,000","220,000","270,000","190,000","205,415",154,
1992 April,"150,000","172,000","226,000","270,000","190,000","207,690",155,
1992 May,"150,000","180,000","220,000","270,000","190,000","209,110",154,
1992 June,"150,000","180,000","229,000","270,000","190,000","209,940",152,
1992 July,"146,000","172,000","223,000","268,000","195,000","209,018",105,
1992 August,"140,000","170,000","220,000","280,000","190,000","209,437",104,
1992 September,"143,000","171,000","219,000","264,000","190,000","208,155",112,
1992 October,"149,000","180,000","220,000","262,000","190,000","207,111",103,
1992 November,"145,000","170,000","210,000","250,000","190,000","202,531",107,
1992 December,"150,000","170,000","210,000","240,000","190,000","200,331",102,
1993 January,"150,000","176,000","210,000","244,000","190,000","203,967",97,
1993 February,"145,000","170,000","210,000","244,000","190,000","202,358",92,
1993 March,"140,000","160,000","210,000","242,000","190,000","198,361",93,
1993 April,"140,000","160,000","198,000","248,000","180,000","197,829",100,
1993 May,"142,000","160,000","211,000","256,000","180,000","199,847",106,
1993 June,"144,000","166,000","230,000","270,000","190,000","206,660",93,
1993 July,"143,000","170,000","229,000","270,000","190,000","207,701",92,
1993 August,"140,000","160,000","216,000","260,000","190,000","202,240",90,
1993 September,"140,000","160,000","210,000","244,000","190,000","197,171",97,
1993 October,"140,000","160,000","210,000","250,000","180,000","195,622",99,
1993 November,"137,000","160,000","201,000","240,000","170,000","189,314",101,
1993 December,"140,000","155,000","190,000","240,000","170,000","185,045",104,
1994 January,"135,000","154,000","190,000","240,000","170,000","186,931",106,
1994 February,"135,000","150,000","190,000","240,000","170,000","185,269",91,
1994 March,"135,000","150,000","190,000","240,000","170,000","183,204",91,
1994 April,"133,000","150,000","198,000","240,000","170,000","185,108",72,
1994 May,"130,000","148,000","200,000","240,000","170,000","188,105",73,
1994 June,"135,000","140,000","183,000","239,000","160,000","179,608",85,
1994 July,"130,000","140,000","187,000","236,000","160,000","178,430",83,
1994 August,"130,000","140,000","185,000","235,000","162,500","178,567",84,
1994 September,"130,000","152,000","190,000","240,000","170,000","180,844",87,
1994 October,"125,000","140,000","190,000","235,000","170,000","182,692",99,
1994 November,"130,000","150,000","190,000","230,000","167,500","180,997",94,
1994 December,"130,000","143,000","187,000","231,000","165,000","179,268",93,
1995 January,"129,000","140,000","184,000","240,000","162,500","179,897",88,
1995 February,"130,000","140,000","180,000","230,000","160,000","174,753",96,
1995 March,"125,000","140,000","180,000","230,000","160,000","173,801",99,
1995 April,"130,000","146,000","184,000","240,000","160,000","177,653",97,
1995 May,"130,000","140,000","169,000","224,000","150,000","171,384",107,
1995 June,"130,000","140,000","160,000","230,000","150,000","170,885",105,
1995 July,"130,000","140,000","168,000","224,000","150,000","169,792",100,
1995 August,"130,000","145,000","170,000","235,000","155,000","173,245",99,
1995 September,"130,000","145,000","178,000","232,000","160,000","173,916",92,
1995 October,"130,000","145,000","180,000","240,000","160,000","177,903",89,
1995 November,"130,000","140,000","170,000","232,000","150,000","176,711",92,
1995 December,"130,000","145,000","170,000","230,000","160,000","175,688",95,
1996 January,"130,000","145,000","180,000","239,000","160,000","180,842",105,
1996 February,"130,000","145,000","180,000","230,000","160,000","178,309",105,
1996 March,"130,000","145,000","180,000","239,000","160,000","179,036",95,
1996 April,"130,000","145,000","180,000","235,000","157,500","177,281",94,
