"Saint John — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"85,000","90,000","92,000","110,000","90,000","88,745",47,
1990 February,"85,000","90,000","100,000","110,000","90,000","96,056",46,
1990 March,"85,000","90,000","100,000","110,000","100,000","96,703",47,
1990 April,"85,000","85,000","90,000","110,000","90,000","93,455",50,
1990 May,"80,000","85,000","90,000","100,000","85,000","96,046",71,
1990 June,"80,000","85,000","90,000","100,000","85,000","91,139",77,
1990 July,"80,000","85,000","90,000","100,000","85,000","91,311",79,
1990 August,"80,000","85,000","90,000","100,000","90,000","91,580",86,
1990 September,"80,000","85,000","86,000","100,000","85,000","87,727",69,
1990 October,"75,000","85,000","85,000","100,000","85,000","88,529",88,
1990 November,"80,000","85,000","85,000","101,000","85,000","89,670",91,
1990 December,"80,000","85,000","85,000","107,000","85,000","91,097",75,
1991 January,"80,000","85,000","90,000","125,000","85,000","99,250",67,
1991 February,"80,000","85,000","85,000","100,000","85,000","89,581",45,
1991 March,"80,000","85,000","86,000","100,000","85,000","90,171",44,
1991 April,"80,000","85,000","90,000","102,000","85,000","95,813",41,
1991 May,"80,000","85,000","90,000","110,000","85,000","97,111",48,
1991 June,"80,000","85,000","90,000","136,000","87,500","104,365",51,
1991 July,"81,000","85,000","96,000","140,000","85,000","103,511",48,
1991 August,"80,000","85,000","96,000","130,000","85,000","99,514",38,
1991 September,"80,000","85,000","90,000","114,000","87,500","96,895",41,
1991 October,"80,000","85,000","98,000","132,000","90,000","99,622",40,
1991 November,"80,000","85,000","105,000","135,000","90,000","104,308",42,
1991 December,"80,000","85,000","92,000","116,000","85,000","95,951",44,
1992 January,"82,000","85,000","100,000","128,000","90,000","97,152",46,
1992 February,"81,000","85,000","100,000","129,000","90,000","99,625",43,
1992 March,"85,000","85,000","96,000","124,000","90,000","100,229",38,
1992 April,"85,000","90,000","100,000","120,000","95,000","101,237",41,
1992 May,"85,000","85,000","100,000","115,000","95,000","99,088",37,
1992 June,"85,000","90,000","106,000","125,000","100,000","104,478",49,
1992 July,"85,000","100,000","105,000","130,000","100,000","105,638",50,
1992 August,"85,000","90,000","100,000","110,000","100,000","99,577",55,
1992 September,"85,000","90,000","100,000","110,000","95,000","98,345",58,
1992 October,"85,000","90,000","100,000","120,000","100,000","104,390",62,
1992 November,"84,000","85,000","100,000","110,000","90,000","99,813",51,
1992 December,"82,000","85,000","100,000","110,000","90,000","98,824",54,
1993 January,"85,000","85,000","92,000","110,000","87,500","97,684",41,
1993 February,"85,000","85,000","100,000","114,000","90,000","102,400",48,
1993 March,"85,000","85,000","100,000","118,000","90,000","101,184",41,
1993 April,"85,000","85,000","100,000","131,000","90,000","102,921",38,
1993 May,"85,000","85,000","100,000","132,000","90,000","102,324",37,
1993 June,"85,000","85,000","93,000","110,000","90,000","101,975",44,
1993 July,"81,000","85,000","90,000","108,000","90,000","93,956",49,
1993 August,"85,000","90,000","98,000","120,000","90,000","104,404",51,
1993 September,"85,000","85,000","100,000","127,000","90,000","102,277",52,
1993 October,"84,000","85,000","100,000","127,000","90,000","98,958",60,
1993 November,"85,000","88,000","92,000","112,000","90,000","96,806",54,
1993 December,"85,000","90,000","100,000","135,000","90,000","100,771",59,
1994 January,"85,000","89,000","91,000","110,000","90,000","93,904",47,
1994 February,"85,000","85,000","97,000","110,000","90,000","95,270",50,
1994 March,"85,000","85,000","100,000","110,000","90,000","96,344",48,
1994 April,"85,000","85,000","99,000","110,000","90,000","94,307",44,
1994 May,**,**,**,**,**,"100,708",24,
1994 June,**,**,**,**,**,"96,957",23,
1994 July,"85,000","90,000","110,000","131,000","95,000","105,387",31,
1994 August,"85,000","90,000","109,000","135,000","95,000","106,703",37,
1994 September,"85,000","90,000","96,000","125,000","90,000","105,341",41,
1994 October,"82,000","90,000","96,000","125,000","90,000","102,390",41,
1994 November,**,**,**,**,**,"108,286",31,
1994 December,"85,000","90,000","95,000","125,000","90,000","101,176",34,
1995 January,"86,000","90,000","98,000","133,000","95,000","106,120",27,
1995 February,"85,000","90,000","97,000","136,000","95,000","105,478",25,
1995 March,"85,000","90,000","95,000","125,000","92,500","101,643",17,
1995 April,"80,000","90,000","90,000","140,000","90,000","102,214",17,
1995 May,"84,000","90,000","90,000","143,000","90,000","103,944",21,
1995 June,"85,000","90,000","94,000","137,000","90,000","105,500",25,
1995 July,"85,000","90,000","90,000","127,000","90,000","100,522",26,
1995 August,"90,000","90,000","95,000","135,000","90,000","107,348",25,
1995 September,"90,000","90,000","98,000","125,000","95,000","104,320",29,
1995 October,"90,000","90,000","95,000","125,000","90,000","102,143",25,
1995 November,"90,000","90,000","100,000","129,000","95,000","106,636",24,
1995 December,"87,000","90,000","96,000","131,000","90,000","104,714",23,
1996 January,"90,000","90,000","120,000","148,000","105,000","113,050",22,
1996 February,"90,000","90,000","120,000","146,000","100,000","112,524",23,
1996 March,**,**,**,**,**,**,19,
1996 April,**,**,**,**,**,**,17,
1996 May,**,**,**,**,**,**,16,
1996 June,"85,000","90,000","108,000","128,000","95,000","116,091",24,
1996 July,"85,000","95,000","115,000","138,000","110,000","110,395",38,
1996 August,"82,000","90,000","112,000","153,000","100,000","116,619",25,
1996 September,"85,000","90,000","100,000","150,000","100,000","109,167",24,
1996 October,"90,000","100,000","130,000","140,000","115,000","114,433",30,
1996 November,"85,000","100,000","130,000","150,000","110,000","112,520",25,
1996 December,"85,000","100,000","125,000","140,000","110,000","105,444",27,
1997 January,"85,000","92,000","124,000","137,000","100,000","102,852",27,
1997 February,"87,000","99,000","116,000","138,000","105,000","103,387",31,
1997 March,"85,000","100,000","120,000","145,000","105,000","105,000",27,
1997 April,"85,000","90,000","106,000","136,000","100,000","98,923",26,
1997 May,"89,000","103,000","134,000","161,000","120,000","110,364",33,
1997 June,"86,000","97,000","126,000","153,000","107,500","110,214",28,
1997 July,"86,000","97,000","140,000","173,000","107,500","119,731",26,
1997 August,"86,000","97,000","140,000","173,000","107,500","120,000",26,
1997 September,"85,000","90,000","113,000","161,000","97,500","107,182",22,
1997 October,"85,000","90,000","100,000","135,000","95,000","99,074",27,
1997 November,"85,000","90,000","100,000","135,000","95,000","99,074",27,
1997 December,"80,000","88,000","94,000","102,000","90,000","90,826",23,
1998 January,"80,000","88,000","90,000","102,000","90,000","89,400",25,
1998 February,"80,000","88,000","90,000","102,000","90,000","90,905",21,
1998 March,"78,000","85,000","90,000","102,000","90,000","90,409",22,
1998 April,"78,000","85,000","90,000","102,000","90,000","90,409",22,
1998 May,"78,000","85,000","90,000","102,000","90,000","93,339",23,
1998 June,"80,000","85,000","90,000","98,000","87,500","94,779",19,
1998 July,"80,000","88,000","90,000","166,000","90,000","102,764",22,
1998 August,"78,000","85,000","90,000","113,000","90,000","101,400",22,
1998 September,**,**,**,**,**,**,29,
1998 October,"80,000","85,000","90,000","126,000","87,500","100,833",26,
1998 November,"78,000","85,000","90,000","120,000","87,500","96,750",23,
1998 December,"80,000","85,000","92,000","159,000","90,000","116,909",22,
1999 January,"78,000","81,000","89,000","126,000","85,000","107,750",26,
1999 February,**,**,**,**,**,"89,650",16,
1999 March,**,**,**,**,**,"134,371",14,
1999 April,**,**,**,**,**,"138,443",14,
1999 May,**,**,**,**,**,"170,800",10,
1999 June,**,**,**,**,**,"170,729",13,
1999 July,**,**,**,**,**,"148,388",12,
1999 August,**,**,**,**,**,"141,120",9,
1999 September,**,**,**,**,**,"136,188",14,
1999 October,**,**,**,**,**,**,14,
1999 November,**,**,**,**,**,"173,640",9,
1999 December,**,**,**,**,**,"163,256",13,
2000 January,"112,000","125,000","150,000","228,000","130,000","157,830",14,
2000 February,**,**,**,**,**,"168,175",12,
2000 March,"117,000","129,000","156,000","216,000","142,500","155,140",14,
2000 April,**,**,**,**,**,"158,933",12,
2000 May,"125,000","130,000","159,000","234,000","140,000","165,190",13,
2000 June,"125,000","130,000","146,000","193,000","135,000","151,390",13,
2000 July,**,**,**,**,**,"160,817",9,
2000 August,**,**,**,**,**,"125,656",12,
2000 September,"91,000","100,000","110,000","125,000","110,000","112,052",18,
2000 October,"110,000","114,000","120,000","134,000","120,000","127,981",21,
2000 November,"110,000","115,000","121,000","134,000","120,000","128,345",22,
2000 December,"112,000","119,000","125,000","194,000","120,000","141,618",16,
2001 January,"115,000","125,000","165,000","234,000","125,000","162,592",18,
2001 February,"115,000","125,000","157,000","232,000","125,000","157,300",17,
2001 March,**,**,**,**,**,"143,805",18,
2001 April,"115,000","123,000","133,000","177,000","125,000","140,327",16,
2001 May,"114,000","143,000","165,000","207,000","160,000","161,362",16,
2001 June,"119,000","156,000","165,000","228,000","162,500","172,650",16,
2001 July,**,**,**,**,**,"133,002",16,
2001 August,"78,000","121,000","129,000","165,000","125,000","121,644",15,
2001 September,**,**,**,**,**,"124,867",11,
2001 October,"99,000","121,000","134,000","158,000","125,000","133,323",17,
2001 November,"114,000","120,000","133,000","178,000","125,000","157,131",17,
2001 December,**,**,**,**,**,"170,713",12,
2002 January,**,**,**,**,**,"139,100",11,
2002 February,"122,000","129,000","164,000","194,000","140,000","155,427",16,
2002 March,"121,000","130,000","152,000","184,000","140,000","134,714",22,
2002 April,"125,000","148,000","178,000","212,000","165,000","171,567",13,
2002 May,"120,000","146,000","186,000","206,000","170,000","168,938",14,
2002 June,"121,000","151,000","189,000","200,000","170,000","169,493",16,
2002 July,"120,000","146,000","174,000","196,000","160,000","158,792",14,
2002 August,"120,000","123,000","186,000","214,000","170,000","170,731",14,
2002 September,**,**,**,**,**,"171,000",6,
2002 October,**,**,**,**,**,"198,113",9,
2002 November,"120,000","147,000","174,000","232,000","167,500","181,944",18,
2002 December,"115,000","166,000","182,000","248,000","170,000","195,350",13,
2003 January,"110,000","165,000","195,000","215,000","172,500","172,900",17,
2003 February,"125,000","142,000","170,000","219,000","165,000","165,988",18,
2003 March,"115,000","145,000","169,000","224,000","165,000","167,381",14,
2003 April,"129,000","150,000","186,000","232,000","165,000","174,758",22,
2003 May,"140,000","170,000","210,000","230,000","200,000","189,720",23,
2003 June,"139,000","168,000","200,000","222,000","195,000","184,327",25,
2003 July,"128,000","167,000","198,000","220,000","187,500","182,048",22,
2003 August,"140,000","180,000","200,000","220,000","190,000","182,479",21,
2003 September,"110,000","157,000","189,000","214,000","175,000","169,664",24,
2003 October,"114,000","169,000","196,000","218,000","182,500","180,831",28,
2003 November,"149,000","204,000","213,000","224,000","210,000","202,047",18,
2003 December,"99,000","170,000","218,000","224,000","215,000","191,680",14,
2004 January,"95,000","140,000","190,000","220,000","172,500","179,050",18,
2004 February,"131,000","155,000","193,000","219,000","185,000","179,850",26,
2004 March,"130,000","155,000","194,000","215,000","180,000","178,439",33,
2004 April,"130,000","160,000","195,000","215,000","180,000","177,299",42,
2004 May,"130,000","158,000","192,000","215,000","180,000","172,926",49,
2004 June,"131,000","166,000","195,000","215,000","185,000","179,262",51,
2004 July,"133,000","163,000","195,000","217,000","185,000","185,475",53,
2004 August,"125,000","155,000","190,000","217,000","180,000","179,470",63,
2004 September,"95,000","135,000","190,000","325,000","155,000","184,021",18,
2004 October,"95,000","130,000","145,000","200,000","140,000","157,529",16,
2004 November,**,**,**,**,**,"143,382",18,
2004 December,**,**,**,**,**,"147,780",15,
2005 January,"111,000","138,000","166,000","221,000","150,000","146,122",19,
2005 February,**,**,**,**,**,"182,134",24,
2005 March,**,**,**,**,**,"190,680",15,
2005 April,**,**,**,**,**,"194,257",20,
2005 May,**,**,**,**,**,**,14,
2005 June,**,**,**,**,**,**,7,
2005 July,**,**,**,**,**,**,12,
2005 August,**,**,**,**,**,"195,722",11,
2005 September,**,**,**,**,**,"200,355",15,
2005 October,**,**,**,**,**,"224,544",14,
2005 November,"138,000","175,000","206,000","287,000","180,000","209,655",16,
2005 December,**,**,**,**,**,**,3,
2006 January,**,**,**,**,**,**,8,
2006 February,**,**,**,**,**,**,15,
2006 March,"156,000","187,000","243,000","260,000","215,000","212,834",13,
2006 April,**,**,**,**,**,"224,642",15,
2006 May,**,**,**,**,**,"234,617",25,
2006 June,**,**,**,**,**,"243,842",18,
2006 July,"178,000","208,000","244,000","284,000","235,000","246,727",18,
2006 August,"159,000","193,000","220,000","239,000","215,000","214,041",30,
2006 September,"142,000","185,000","215,000","238,000","200,000","196,331",24,
2006 October,"157,000","213,000","230,000","271,000","225,000","204,243",27,
2006 November,"184,000","225,000","238,000","279,000","230,000","228,348",27,
2006 December,"127,000","169,000","230,000","293,000","190,000","204,086",24,
2007 January,"127,000","174,000","266,000","316,000","205,000","217,558",24,
2007 February,"130,000","170,000","225,000","320,000","205,000","212,258",23,
2007 March,"145,000","180,000","245,000","310,000","210,000","238,337",22,
2007 April,"185,000","219,000","246,000","300,000","225,000","252,237",24,
2007 May,"160,000","216,000","249,000","314,000","222,500","246,920",29,
2007 June,**,**,**,**,**,"269,379",21,
2007 July,"136,000","187,000","233,000","348,000","200,000","244,346",18,
2007 August,"136,000","190,000","300,000","327,000","245,000","246,346",19,
2007 September,"125,000","181,000","260,000","308,000","200,000","218,358",21,
2007 October,"160,000","192,000","228,000","297,000","200,000","215,877",28,
2007 November,"157,000","204,000","248,000","305,000","230,000","211,271",23,
2007 December,"165,000","230,000","270,000","335,000","247,500","246,561",20,
2008 January,"157,000","242,000","295,000","350,000","270,000","278,519",19,
2008 February,"149,000","242,000","314,000","360,000","270,000","257,118",18,
2008 March,"149,000","242,000","308,000","346,000","280,000","273,276",22,
