"Greater Sudbury / Grand Sudbury — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"95,000","120,000","129,000","135,000","125,000","116,976",17,
1990 February,"95,000","120,000","130,000","130,000","125,000","115,873",15,
1990 March,"95,000","124,000","130,000","146,000","130,000","121,906",16,
1990 April,"120,000","133,000","150,000","150,000","140,000","133,768",28,
1990 May,"120,000","130,000","140,000","150,000","140,000","131,920",25,
1990 June,"100,000","130,000","140,000","150,000","135,000","129,520",25,
1990 July,"110,000","130,000","140,000","150,000","130,000","128,136",22,
1990 August,"95,000","130,000","140,000","150,000","130,000","126,579",19,
1990 September,"115,000","130,000","140,000","150,000","130,000","132,500",18,
1990 October,"120,000","130,000","145,000","150,000","140,000","135,714",21,
1990 November,"120,000","130,000","145,000","150,000","140,000","131,053",19,
1990 December,"95,000","120,000","140,000","150,000","130,000","124,575",21,
1991 January,"95,000","122,000","140,000","150,000","130,000","125,375",20,
1991 February,**,**,**,**,**,"127,583",12,
1991 March,**,**,**,**,**,"132,333",9,
1991 April,**,**,**,**,**,"136,571",7,
1991 May,**,**,**,**,**,"145,433",9,
1991 June,**,**,**,**,**,"142,100",9,
1991 July,**,**,**,**,**,"142,100",9,
1991 August,**,**,**,**,**,"135,858",12,
1991 September,**,**,**,**,**,"111,769",13,
1991 October,"102,000","125,000","128,000","147,000","125,000","122,033",15,
1991 November,"100,000","125,000","125,000","150,000","125,000","121,107",14,
1991 December,**,**,**,**,**,"126,833",9,
1992 January,**,**,**,**,**,"126,813",8,
1992 February,**,**,**,**,**,"126,583",6,
1992 March,**,**,**,**,**,"123,625",4,
1992 April,**,**,**,**,**,"128,900",5,
1992 May,"120,000","160,000","165,000","165,000","165,000","147,633",15,
1992 June,**,**,**,**,**,"143,450",10,
1992 July,"110,000","123,000","160,000","165,000","142,500","143,528",18,
1992 August,"110,000","125,000","162,000","169,000","160,000","143,361",18,
1992 September,"94,000","122,000","165,000","180,000","142,500","140,025",20,
1992 October,"110,000","124,000","165,000","179,000","142,500","143,156",16,
1992 November,"110,000","140,000","165,000","179,000","152,500","145,656",16,
1992 December,**,**,**,**,**,"142,050",10,
1993 January,"110,000","112,000","158,000","168,000","115,000","135,033",15,
1993 February,**,**,**,**,**,"135,750",14,
1993 March,**,**,**,**,**,"140,038",13,
