"Ottawa — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"160,000","180,000","210,000","270,000","190,000","214,290",270,
1990 February,"160,000","175,000","205,000","273,000","190,000","214,413",246,
1990 March,"165,000","185,000","212,000","280,000","195,000","222,058",223,
1990 April,"170,000","185,000","215,000","280,000","195,000","223,291",196,
1990 May,"165,000","185,000","215,000","275,000","195,000","221,946",196,
1990 June,"160,000","180,000","210,000","261,000","190,000","215,059",218,
1990 July,"165,000","180,000","215,000","270,000","195,000","217,991",223,
1990 August,"165,000","185,000","225,000","280,000","200,000","225,110",235,
1990 September,"170,000","190,000","233,000","284,000","215,000","230,404",265,
1990 October,"165,000","190,000","230,000","285,000","210,000","228,159",287,
1990 November,"170,000","185,000","225,000","280,000","205,000","226,629",314,
1990 December,"166,000","185,000","225,000","270,000","205,000","224,226",310,
1991 January,"170,000","188,000","225,000","271,000","210,000","227,289",273,
1991 February,"170,000","190,000","230,000","275,000","215,000","229,689",273,
1991 March,"170,000","185,000","225,000","278,000","210,000","229,942",226,
1991 April,"170,000","190,000","225,000","272,000","210,000","229,449",177,
1991 May,"170,000","192,000","225,000","300,000","212,500","234,830",150,
1991 June,"170,000","195,000","235,000","306,000","215,000","239,013",133,
1991 July,"170,000","186,000","225,000","297,000","207,500","231,329",132,
1991 August,"170,000","207,000","248,000","292,000","225,000","234,951",121,
1991 September,"170,000","215,000","245,000","280,000","230,000","235,211",149,
1991 October,"170,000","205,000","245,000","270,000","225,000","232,655",156,
1991 November,"170,000","200,000","240,000","270,000","225,000","230,469",181,
1991 December,"170,000","190,000","225,000","265,000","205,000","221,875",202,
1992 January,"170,000","190,000","230,000","265,000","205,000","218,911",204,
1992 February,"170,000","190,000","230,000","270,000","215,000","223,672",187,
1992 March,"170,000","190,000","230,000","270,000","200,000","225,288",158,
1992 April,"170,000","185,000","220,000","270,000","195,000","222,213",151,
1992 May,"165,000","185,000","225,000","270,000","200,000","223,562",139,
1992 June,"170,000","191,000","230,000","272,000","215,000","224,694",127,
1992 July,"170,000","190,000","220,000","265,000","205,000","221,546",112,
1992 August,"165,000","180,000","230,000","281,000","200,000","221,864",144,
1992 September,"160,000","175,000","226,000","294,000","190,000","222,171",113,
1992 October,"165,000","180,000","225,000","270,000","200,000","214,259",144,
1992 November,"165,000","190,000","230,000","270,000","207,500","218,185",144,
1992 December,"165,000","190,000","225,000","265,000","200,000","219,647",169,
1993 January,"167,000","190,000","220,000","265,000","200,000","218,181",182,
1993 February,"168,000","190,000","220,000","265,000","200,000","218,350",200,
1993 March,"165,000","190,000","215,000","260,000","200,000","215,465",186,
1993 April,"170,000","190,000","200,000","250,000","200,000","211,330",185,
1993 May,"170,000","190,000","210,000","255,000","200,000","215,995",170,
1993 June,"170,000","190,000","220,000","260,000","200,000","219,400",162,
1993 July,"170,000","190,000","225,000","271,000","200,000","221,308",169,
1993 August,"175,000","188,000","215,000","270,000","200,000","219,955",189,
1993 September,"170,000","185,000","220,000","270,000","200,000","217,829",218,
1993 October,"170,000","185,000","210,000","260,000","195,000","214,076",237,
1993 November,"175,000","185,000","210,000","250,000","195,000","212,439",272,
1993 December,"170,000","185,000","210,000","250,000","195,000","211,605",268,
1994 January,"170,000","190,000","210,000","250,000","200,000","213,583",272,
1994 February,"170,000","190,000","210,000","250,000","195,000","215,430",267,
1994 March,"170,000","185,000","210,000","245,000","195,000","212,549",249,
1994 April,"165,000","185,000","200,000","240,000","190,000","214,215",214,
1994 May,"160,000","177,000","195,000","235,000","190,000","199,898",115,
1994 June,"160,000","175,000","195,000","235,000","190,000","198,158",114,
1994 July,"160,000","180,000","195,000","235,000","190,000","200,888",129,
1994 August,"160,000","175,000","195,000","235,000","190,000","199,633",150,
