"Moncton — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"76,000","90,000","119,000","160,000","92,500","106,188",48,
1990 February,"70,000","90,000","122,000","160,000","110,000","114,697",36,
1990 March,"70,000","90,000","125,000","160,000","112,500","115,676",35,
1990 April,"68,000","86,000","124,000","157,000","115,000","111,611",28,
1990 May,"67,000","89,000","125,000","151,000","115,000","110,558",27,
1990 June,"77,000","94,000","121,000","148,000","112,500","113,028",37,
1990 July,"74,000","93,000","122,000","146,000","112,500","112,342",39,
1990 August,"86,000","100,000","118,000","135,000","110,000","110,475",40,
1990 September,"90,000","100,000","120,000","135,000","110,000","114,026",38,
1990 October,"90,000","107,000","125,000","154,000","115,000","115,000",44,
1990 November,"91,000","112,000","125,000","150,000","120,000","111,875",48,
1990 December,"99,000","115,000","127,000","151,000","120,000","124,212",40,
1991 January,"90,000","120,000","132,000","156,000","125,000","127,026",43,
1991 February,"90,000","120,000","132,000","152,000","125,000","127,316",43,
1991 March,"90,000","120,000","125,000","150,000","125,000","124,882",39,
1991 April,"100,000","120,000","130,000","150,000","125,000","131,672",35,
1991 May,"90,000","120,000","130,000","156,000","125,000","129,167",31,
1991 June,"90,000","120,000","130,000","165,000","125,000","130,563",28,
1991 July,"90,000","120,000","130,000","165,000","125,000","130,563",28,
1991 August,**,**,**,**,**,"112,580",25,
1991 September,**,**,**,**,**,"110,232",28,
1991 October,"90,000","128,000","140,000","152,000","130,000","128,643",32,
1991 November,**,**,**,**,**,"126,531",36,
1991 December,"95,000","110,000","135,000","150,000","130,000","124,412",38,
1992 January,"90,000","100,000","130,000","145,000","122,500","120,248",48,
1992 February,"90,000","96,000","129,000","145,000","110,000","117,806",50,
1992 March,"90,000","105,000","130,000","147,000","125,000","117,296",52,
1992 April,"90,000","108,000","135,000","150,000","130,000","118,613",48,
1992 May,"90,000","105,000","132,000","146,000","127,500","122,826",42,
1992 June,"90,000","120,000","135,000","150,000","130,000","119,523",39,
1992 July,"90,000","105,000","130,000","160,000","125,000","126,517",27,
1992 August,"90,000","91,000","125,000","154,000","100,000","121,018",25,
1992 September,"90,000","91,000","125,000","172,000","100,000","124,432",24,
1992 October,"90,000","90,000","125,000","145,000","95,000","114,022",23,
1992 November,"90,000","90,000","101,000","144,000","95,000","114,833",18,
1992 December,"90,000","92,000","128,000","180,000","105,000","124,367",18,
1993 January,"90,000","95,000","125,000","140,000","100,000","118,271",29,
1993 February,"90,000","95,000","122,000","143,000","100,000","116,911",33,
1993 March,"91,000","102,000","130,000","164,000","125,000","126,840",28,
1993 April,"91,000","102,000","128,000","163,000","120,000","125,240",29,
1993 May,"90,000","100,000","130,000","165,000","122,500","127,167",28,
1993 June,"95,000","108,000","130,000","162,000","122,500","104,483",29,
1993 July,"100,000","130,000","140,000","155,000","135,000","113,818",33,
1993 August,"116,000","130,000","140,000","156,000","137,500","106,517",29,
1993 September,"100,000","130,000","135,000","155,000","130,000","106,448",29,
1993 October,"100,000","126,000","132,000","156,000","130,000","101,829",41,
1993 November,**,**,**,**,**,"105,591",44,
1993 December,**,**,**,**,**,"104,600",45,
1994 January,**,**,**,**,**,"115,477",44,
1994 February,**,**,**,**,**,"114,571",49,
1994 March,**,**,**,**,**,"114,760",50,
1994 April,**,**,**,**,**,"115,745",47,
1994 May,"100,000","120,000","140,000","146,000","130,000","127,000",34,
1994 June,"100,000","130,000","140,000","150,000","130,000","117,548",31,
1994 July,**,**,**,**,**,"118,429",28,
1994 August,**,**,**,**,**,"114,741",27,
1994 September,"75,000","75,000","80,000","90,000","80,000","110,594",32,
1994 October,**,**,**,**,**,"113,351",37,
1994 November,**,**,**,**,**,"125,821",50,
1994 December,"103,000","120,000","130,000","147,000","125,000","107,672",67,
1995 January,"105,000","115,000","130,000","145,000","120,000","125,409",72,
1995 February,"105,000","118,000","132,000","146,000","130,000","127,458",72,
1995 March,"105,000","118,000","137,000","146,000","130,000","127,915",71,
1995 April,"105,000","120,000","140,000","150,000","130,000","128,753",72,
1995 May,"107,000","124,000","140,000","150,000","130,000","129,900",63,
