"Moncton — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,**,**,**,**,**,"63,833",6,
1990 February,**,**,**,**,**,**,3,
1990 March,**,**,**,**,**,**,1,
1990 April,**,**,**,**,**,**,1,
1990 May,**,**,**,**,**,**,1,
1990 June,**,**,**,**,**,**,1,
1990 July,**,**,**,**,**,**,1,
1990 August,**,**,**,**,**,"84,600",5,
1990 September,**,**,**,**,**,"86,750",4,
1990 October,**,**,**,**,**,"87,889",9,
1990 November,**,**,**,**,**,"82,385",13,
1990 December,**,**,**,**,**,**,7,
1991 January,**,**,**,**,**,**,5,
1991 February,**,**,**,**,**,**,5,
1991 March,**,**,**,**,**,**,5,
1991 April,**,**,**,**,**,**,6,
1991 May,**,**,**,**,**,**,4,
1991 June,**,**,**,**,**,**,4,
1991 July,**,**,**,**,**,**,4,
1991 August,**,**,**,**,**,"63,800",5,
1991 September,**,**,**,**,**,"63,800",5,
1991 October,**,**,**,**,**,**,4,
1991 November,**,**,**,**,**,**,4,
1991 December,**,**,**,**,**,**,4,
1992 January,**,**,**,**,**,**,4,
1992 February,**,**,**,**,**,**,3,
1992 March,**,**,**,**,**,"78,400",5,
1992 April,**,**,**,**,**,"78,400",5,
1992 May,**,**,**,**,**,**,4,
1992 June,**,**,**,**,**,"78,800",5,
1992 July,**,**,**,**,**,**,3,
1992 August,**,**,**,**,**,**,3,
1992 September,**,**,**,**,**,**,2,
1992 October,**,**,**,**,**,"86,500",4,
1992 November,**,**,**,**,**,**,3,
1992 December,**,**,**,**,**,**,3,
1993 January,**,**,**,**,**,**,5,
1993 February,**,**,**,**,**,**,5,
1993 March,**,**,**,**,**,**,3,
1993 April,**,**,**,**,**,**,4,
1993 May,**,**,**,**,**,**,4,
1993 June,**,**,**,**,**,"58,778",9,
1993 July,**,**,**,**,**,"58,778",9,
1993 August,**,**,**,**,**,"61,909",11,
1993 September,**,**,**,**,**,"60,900",10,
1993 October,**,**,**,**,**,"67,000",18,
1993 November,**,**,**,**,**,"65,875",16,
1993 December,**,**,**,**,**,"68,667",18,
1994 January,**,**,**,**,**,"74,636",11,
1994 February,**,**,**,**,**,"75,154",13,
1994 March,**,**,**,**,**,"77,615",13,
1994 April,**,**,**,**,**,"78,333",12,
1994 May,**,**,**,**,**,**,8,
1994 June,**,**,**,**,**,"81,571",7,
1994 July,**,**,**,**,**,"81,500",6,
1994 August,**,**,**,**,**,"80,000",9,
1994 September,"75,000","75,000","80,000","90,000","80,000","78,923",13,
1994 October,**,**,**,**,**,"78,182",11,
1994 November,**,**,**,**,**,**,22,
1994 December,**,**,**,**,**,"84,533",30,
1995 January,**,**,**,**,**,**,28,
1995 February,**,**,**,**,**,**,24,
1995 March,**,**,**,**,**,**,23,
1995 April,**,**,**,**,**,**,23,
1995 May,**,**,**,**,**,**,22,
1995 June,**,**,**,**,**,**,18,
1995 July,**,**,**,**,**,**,16,
1995 August,**,**,**,**,**,**,12,
1995 September,**,**,**,**,**,**,10,
1995 October,**,**,**,**,**,**,18,
1995 November,**,**,**,**,**,**,14,
1995 December,**,**,**,**,**,**,12,
1996 January,**,**,**,**,**,**,22,
1996 February,**,**,**,**,**,**,24,
1996 March,**,**,**,**,**,**,23,
1996 April,**,**,**,**,**,**,20,
1996 May,**,**,**,**,**,**,9,
1996 June,**,**,**,**,**,**,9,
1996 July,**,**,**,**,**,"85,667",6,
1996 August,**,**,**,**,**,**,9,
1996 September,**,**,**,**,**,"82,300",10,
1996 October,**,**,**,**,**,"82,429",14,
1996 November,**,**,**,**,**,"83,467",15,
1996 December,**,**,**,**,**,"90,600",15,
1997 January,**,**,**,**,**,"88,429",14,
1997 February,**,**,**,**,**,"87,615",13,
1997 March,**,**,**,**,**,"87,583",12,
1997 April,**,**,**,**,**,"86,917",12,
1997 May,**,**,**,**,**,"87,917",12,
1997 June,**,**,**,**,**,"87,500",10,
1997 July,**,**,**,**,**,"90,077",13,
1997 August,**,**,**,**,**,"88,154",13,
1997 September,**,**,**,**,**,"87,600",15,
1997 October,**,**,**,**,**,"90,000",14,
1997 November,**,**,**,**,**,"89,688",16,
1997 December,**,**,**,**,**,"89,688",16,
1998 January,**,**,**,**,**,"89,765",17,
1998 February,**,**,**,**,**,"89,800",20,
1998 March,**,**,**,**,**,"89,727",22,
1998 April,**,**,**,**,**,"89,810",21,
1998 May,**,**,**,**,**,"89,700",20,
1998 June,**,**,**,**,**,"89,389",18,
1998 July,**,**,**,**,**,"94,474",19,
1998 August,**,**,**,**,**,"94,474",19,
1998 September,"85,000","90,000","90,000","110,000","90,000","94,684",19,
1998 October,"85,000","90,000","90,000","90,000","90,000","92,909",22,
1998 November,"85,000","90,000","90,000","90,000","90,000","92,017",24,
1998 December,"85,000","90,000","90,000","100,000","90,000","93,283",29,
1999 January,"85,000","90,000","90,000","90,000","90,000","91,017",24,
1999 February,**,**,**,**,**,"92,021",19,
1999 March,**,**,**,**,**,"91,547",17,
1999 April,**,**,**,**,**,"92,838",13,
1999 May,**,**,**,**,**,"94,290",10,
1999 June,**,**,**,**,**,"96,113",8,
1999 July,**,**,**,**,**,**,8,
1999 August,**,**,**,**,**,**,8,
1999 September,**,**,**,**,**,**,9,
1999 October,**,**,**,**,**,**,10,
1999 November,**,**,**,**,**,**,10,
1999 December,**,**,**,**,**,**,10,
2000 January,**,**,**,**,**,**,11,
2000 February,**,**,**,**,**,**,11,
2000 March,**,**,**,**,**,**,11,
2000 April,**,**,**,**,**,**,12,
2000 May,**,**,**,**,**,**,12,
2000 June,**,**,**,**,**,**,13,
2000 July,**,**,**,**,**,**,13,
2000 August,**,**,**,**,**,**,13,
2000 September,**,**,**,**,**,**,13,
2000 October,**,**,**,**,**,**,13,
2000 November,**,**,**,**,**,"86,804",25,
2000 December,**,**,**,**,**,**,26,
2001 January,**,**,**,**,**,**,27,
2001 February,**,**,**,**,**,**,27,
2001 March,**,**,**,**,**,**,29,
2001 April,**,**,**,**,**,**,30,
2001 May,**,**,**,**,**,**,4,
2001 June,**,**,**,**,**,**,4,
2001 July,**,**,**,**,**,"88,760",5,
2001 August,**,**,**,**,**,**,5,
2001 September,**,**,**,**,**,**,7,
2001 October,**,**,**,**,**,**,7,
2001 November,**,**,**,**,**,**,7,
2001 December,**,**,**,**,**,"89,067",9,
2002 January,**,**,**,**,**,**,7,
2002 February,**,**,**,**,**,"89,275",12,
2002 March,**,**,**,**,**,"89,275",12,
2002 April,**,**,**,**,**,**,14,
2002 May,**,**,**,**,**,**,14,
2002 June,**,**,**,**,**,**,14,
2002 July,**,**,**,**,**,**,12,
2002 August,**,**,**,**,**,**,10,
2002 September,**,**,**,**,**,**,10,
2002 October,**,**,**,**,**,**,3,
2002 November,**,**,**,**,**,**,3,
2002 December,**,**,**,**,**,**,6,
2003 January,**,**,**,**,**,**,12,
2003 February,**,**,**,**,**,**,10,
2003 March,**,**,**,**,**,**,11,
2003 April,**,**,**,**,**,**,11,
2003 May,**,**,**,**,**,**,7,
2003 June,**,**,**,**,**,**,2,
2003 July,**,**,**,**,**,**,1,
2003 August,**,**,**,**,**,**,1,
2003 September,**,**,**,**,**,**,1,
2003 October,**,**,**,**,**,**,1,
2003 November,**,**,**,**,**,**,1,
2003 December,**,**,**,**,**,**,4,
2004 January,**,**,**,**,**,**,7,
2004 February,**,**,**,**,**,"90,700",5,
2004 March,**,**,**,**,**,"91,300",5,
2004 April,**,**,**,**,**,"91,567",9,
2004 May,**,**,**,**,**,"91,043",7,
2004 June,**,**,**,**,**,"91,043",7,
2004 July,**,**,**,**,**,**,5,
2004 August,**,**,**,**,**,**,5,
2004 September,**,**,**,**,**,"90,013",7,
2004 October,**,**,**,**,**,**,5,
2004 November,**,**,**,**,**,**,1,
2004 December,**,**,**,**,**,**,4,
2005 January,**,**,**,**,**,"91,089",7,
2005 February,**,**,**,**,**,**,1,
2005 March,**,**,**,**,**,**,0,
2005 April,**,**,**,**,**,**,2,
2005 May,**,**,**,**,**,**,1,
2005 June,**,**,**,**,**,**,1,
2005 July,**,**,**,**,**,**,3,
2005 August,**,**,**,**,**,**,4,
2005 September,**,**,**,**,**,**,4,
2005 October,**,**,**,**,**,**,0,
2005 November,**,**,**,**,**,**,3,
2005 December,**,**,**,**,**,**,9,
2006 January,**,**,**,**,**,**,24,
2006 February,**,**,**,**,**,**,31,
2006 March,**,**,**,**,**,**,38,
2006 April,**,**,**,**,**,"108,868",43,
2006 May,**,**,**,**,**,"107,023",45,
2006 June,**,**,**,**,**,**,47,
2006 July,**,**,**,**,**,**,43,
2006 August,**,**,**,**,**,"115,013",48,
2006 September,**,**,**,**,**,"117,909",58,
2006 October,"110,000","120,000","120,000","120,000","120,000","116,292",47,
2006 November,**,**,**,**,**,"118,078",49,
2006 December,**,**,**,**,**,"117,455",49,
2007 January,**,**,**,**,**,"117,702",62,
2007 February,**,**,**,**,**,"118,876",72,
2007 March,**,**,**,**,**,"118,975",63,
2007 April,**,**,**,**,**,"120,864",80,
2007 May,**,**,**,**,**,"123,414",76,
2007 June,**,**,**,**,**,"124,519",59,
2007 July,**,**,**,**,**,"124,039",61,
2007 August,**,**,**,**,**,"125,478",50,
2007 September,**,**,**,**,**,"128,115",61,
2007 October,**,**,**,**,**,"128,733",63,
2007 November,**,**,**,**,**,"129,281",67,
2007 December,**,**,**,**,**,"139,242",57,
2008 January,**,**,**,**,**,"140,004",56,
2008 February,**,**,**,**,**,"137,045",62,
2008 March,**,**,**,**,**,"135,962",78,
2008 April,**,**,**,**,**,**,65,
2008 May,**,**,**,**,**,**,89,
2008 June,**,**,**,**,**,"140,421",63,
2008 July,**,**,**,**,**,"133,700",54,
2008 August,"130,000","130,000","130,000","135,000","130,000","133,758",48,
2008 September,"130,000","130,000","130,000","135,000","130,000","136,507",41,
2008 October,"130,000","130,000","130,000","143,000","130,000","140,029",51,
2008 November,"130,000","130,000","130,000","142,000","130,000","139,931",52,
2008 December,"125,000","130,000","130,000","140,000","130,000","137,192",91,
2009 January,"130,000","130,000","135,000","140,000","135,000","139,259",96,
2009 February,"130,000","130,000","135,000","140,000","135,000","139,148",91,
2009 March,"129,000","130,000","135,000","145,000","135,000","140,438",78,
2009 April,"130,000","130,000","135,000","145,000","135,000","140,297",84,
2009 May,"130,000","130,000","135,000","144,000","135,000","139,686",90,
2009 June,"125,000","130,000","135,000","140,000","130,000","135,405",90,
2009 July,"130,000","130,000","135,000","144,000","132,500","138,493",60,
2009 August,"130,000","135,000","135,000","147,000","135,000","139,630",47,
2009 September,"132,000","139,000","155,000","192,000","140,000","156,987",61,
2009 October,"135,000","140,000","140,000","155,000","140,000","149,334",68,
2009 November,"135,000","140,000","150,000","155,000","140,000","151,935",64,
2009 December,"135,000","140,000","150,000","155,000","140,000","152,590",59,
2010 January,"135,000","140,000","150,000","155,000","140,000","153,275",61,
2010 February,"135,000","140,000","150,000","155,000","140,000","153,307",61,
2010 March,"135,000","140,000","150,000","200,000","150,000","157,980",54,
2010 April,"135,000","150,000","150,000","200,000","150,000","161,951",54,
2010 May,"135,000","140,000","145,000","151,000","140,000","152,335",83,
2010 June,"140,000","140,000","150,000","200,000","140,000","159,856",45,
2010 July,"140,000","140,000","150,000","200,000","140,000","158,725",40,
2010 August,"140,000","140,000","150,000","200,000","145,000","160,085",31,
2010 September,"135,000","140,000","150,000","225,000","145,000","166,053",29,
2010 October,"131,000","140,000","150,000","200,000","140,000","161,200",25,
2010 November,"130,000","140,000","150,000","205,000","140,000","161,943",23,
2010 December,"133,000","140,000","140,000","200,000","140,000","154,195",22,
2011 January,"138,000","141,000","149,000","182,000","145,000","156,459",27,
2011 February,"140,000","145,000","153,000","194,000","145,000","158,545",25,
2011 March,"132,000","144,000","150,000","188,000","145,000","155,389",31,
2011 April,"130,000","145,000","150,000","182,000","145,000","154,345",22,
2011 May,"138,000","146,000","154,000","191,000","150,000","157,927",17,
2011 June,"144,000","150,000","152,000","188,000","150,000","158,198",18,
2011 July,"143,000","150,000","150,000","191,000","150,000","157,510",17,
2011 August,"142,000","149,000","150,000","155,000","150,000","152,985",16,
2011 September,"134,000","145,000","150,000","155,000","150,000","145,951",11,
2011 October,**,**,**,**,**,**,8,
2011 November,**,**,**,**,**,"150,368",9,
2011 December,"139,000","150,000","151,000","160,000","150,000","150,463",16,
2012 January,**,**,**,**,**,"153,543",12,
2012 February,"137,000","150,000","155,000","168,000","152,500","153,358",16,
2012 March,"138,000","150,000","155,000","161,000","155,000","152,441",18,
2012 April,"150,000","150,000","155,000","165,000","155,000","154,331",19,
2012 May,"150,000","150,000","150,000","168,000","150,000","153,593",15,
2012 June,"150,000","150,000","152,000","170,000","150,000","155,538",13,
