"Charlottetown — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1998 April,"95,000","100,000","117,000","126,000","100,000","109,641",17,
1998 May,"95,000","100,000","103,000","120,000","100,000","107,260",15,
1998 June,**,**,**,**,**,"104,286",7,
1998 July,**,**,**,**,**,"103,750",4,
1998 August,**,**,**,**,**,**,3,
1998 September,**,**,**,**,**,**,2,
1998 October,**,**,**,**,**,**,2,
1998 November,"100,000","105,000","122,000","127,000","115,000","115,846",13,
1998 December,**,**,**,**,**,"110,714",7,
1999 January,**,**,**,**,**,"110,714",7,
1999 February,**,**,**,**,**,"115,571",7,
1999 March,**,**,**,**,**,**,3,
1999 April,**,**,**,**,**,**,3,
1999 May,**,**,**,**,**,**,2,
1999 June,**,**,**,**,**,**,3,
1999 July,**,**,**,**,**,**,2,
1999 August,**,**,**,**,**,**,2,
1999 September,**,**,**,**,**,**,1,
1999 October,**,**,**,**,**,**,1,
1999 November,**,**,**,**,**,**,3,
1999 December,**,**,**,**,**,**,3,
2000 January,**,**,**,**,**,"98,750",8,
2000 February,**,**,**,**,**,"101,500",8,
2000 March,**,**,**,**,**,"101,429",7,
2000 April,**,**,**,**,**,"101,429",7,
2000 May,**,**,**,**,**,"100,555",9,
2000 June,**,**,**,**,**,"97,286",7,
2000 July,**,**,**,**,**,"104,000",4,
2000 August,**,**,**,**,**,"107,200",5,
2000 September,**,**,**,**,**,"107,200",5,
2000 October,**,**,**,**,**,"102,250",4,
2000 November,**,**,**,**,**,"96,800",5,
2000 December,**,**,**,**,**,"102,250",4,
2001 January,**,**,**,**,**,"102,250",4,
2001 February,**,**,**,**,**,**,3,
2001 March,**,**,**,**,**,**,2,
2001 April,**,**,**,**,**,**,2,
2001 May,**,**,**,**,**,**,2,
2001 June,**,**,**,**,**,**,2,
2001 July,**,**,**,**,**,**,2,
2001 August,**,**,**,**,**,**,3,
2001 September,**,**,**,**,**,**,1,
2001 October,**,**,**,**,**,**,1,
2001 November,**,**,**,**,**,**,1,
2001 December,**,**,**,**,**,**,1,
2002 January,**,**,**,**,**,**,1,
2002 February,**,**,**,**,**,**,1,
2002 March,**,**,**,**,**,**,1,
2002 April,**,**,**,**,**,**,1,
2002 May,**,**,**,**,**,**,0,
2002 June,**,**,**,**,**,**,0,
2002 July,**,**,**,**,**,**,0,
2002 August,**,**,**,**,**,**,0,
2002 September,**,**,**,**,**,**,0,
2002 October,**,**,**,**,**,**,1,
2002 November,**,**,**,**,**,"99,000",5,
2002 December,**,**,**,**,**,**,3,
2003 January,**,**,**,**,**,"99,000",4,
2003 February,**,**,**,**,**,**,3,
2003 March,**,**,**,**,**,**,3,
2003 April,**,**,**,**,**,"151,400",5,
2003 May,**,**,**,**,**,"164,500",4,
2003 June,**,**,**,**,**,**,2,
2003 July,**,**,**,**,**,"145,833",6,
2003 August,**,**,**,**,**,**,0,
2003 September,**,**,**,**,**,**,0,
2003 October,**,**,**,**,**,**,3,
2003 November,**,**,**,**,**,"99,000",4,
2003 December,**,**,**,**,**,"99,000",8,
2004 January,"100,000","100,000","100,000","100,000","100,000","93,100",10,
2004 February,"100,000","100,000","100,000","100,000","100,000","93,636",11,
2004 March,"100,000","120,000","171,000","180,000","127,500","141,125",16,
2004 April,"100,000","120,000","162,000","180,000","125,000","138,647",17,
2004 May,**,**,**,**,**,"142,211",19,
2004 June,"100,000","120,000","170,000","180,000","130,000","146,526",19,
2004 July,"100,000","122,000","173,000","180,000","147,500","156,700",20,
2004 August,**,**,**,**,**,**,3,
2004 September,**,**,**,**,**,**,3,
2004 October,**,**,**,**,**,**,2,
2004 November,**,**,**,**,**,**,1,
2004 December,**,**,**,**,**,"123,750",4,
2005 January,**,**,**,**,**,**,1,
2005 February,**,**,**,**,**,**,0,
2005 March,**,**,**,**,**,**,0,
2005 April,**,**,**,**,**,**,0,
2005 May,**,**,**,**,**,**,1,
2005 June,**,**,**,**,**,**,1,
2005 July,**,**,**,**,**,**,1,
2005 August,**,**,**,**,**,**,1,
2005 September,**,**,**,**,**,**,1,
2005 October,**,**,**,**,**,**,2,
2005 November,**,**,**,**,**,**,0,
2005 December,**,**,**,**,**,**,0,
2006 January,**,**,**,**,**,**,1,
2006 February,**,**,**,**,**,**,0,
2006 March,**,**,**,**,**,**,0,
2006 April,**,**,**,**,**,**,3,
2006 May,**,**,**,**,**,**,2,
2006 June,**,**,**,**,**,**,1,
2006 July,**,**,**,**,**,**,1,
2006 August,**,**,**,**,**,**,0,
2006 September,**,**,**,**,**,**,1,
2006 October,**,**,**,**,**,**,1,
2006 November,**,**,**,**,**,**,1,
2006 December,**,**,**,**,**,**,1,
2007 January,**,**,**,**,**,**,1,
2007 February,**,**,**,**,**,**,2,
2007 March,**,**,**,**,**,**,1,
2007 April,**,**,**,**,**,**,1,
2007 May,**,**,**,**,**,**,1,
2007 June,**,**,**,**,**,"172,000",5,
2007 July,**,**,**,**,**,"172,000",5,
2007 August,**,**,**,**,**,**,2,
2007 September,**,**,**,**,**,**,1,
2007 October,**,**,**,**,**,**,1,
2007 November,**,**,**,**,**,**,1,
2007 December,**,**,**,**,**,**,1,
2008 January,**,**,**,**,**,**,3,
2008 February,**,**,**,**,**,**,1,
2008 March,**,**,**,**,**,**,1,
2008 April,**,**,**,**,**,**,2,
2008 May,**,**,**,**,**,**,2,
2008 June,**,**,**,**,**,**,1,
2008 July,**,**,**,**,**,**,1,
2008 August,**,**,**,**,**,**,1,
2008 September,**,**,**,**,**,**,1,
2008 October,**,**,**,**,**,**,2,
2008 November,**,**,**,**,**,**,2,
2008 December,**,**,**,**,**,**,1,
2009 January,**,**,**,**,**,**,2,
2009 February,**,**,**,**,**,**,1,
2009 March,**,**,**,**,**,**,1,
2009 April,**,**,**,**,**,**,2,
2009 May,**,**,**,**,**,**,2,
2009 June,**,**,**,**,**,**,2,
2009 July,**,**,**,**,**,**,1,
2009 August,**,**,**,**,**,**,1,
2009 September,**,**,**,**,**,"276,583",15,
2009 October,**,**,**,**,**,"292,188",8,
2009 November,**,**,**,**,**,"169,167",6,
2009 December,**,**,**,**,**,"152,500",4,
2010 January,**,**,**,**,**,**,3,
2010 February,**,**,**,**,**,**,3,
2010 March,**,**,**,**,**,**,2,
2010 April,**,**,**,**,**,**,2,
2010 May,**,**,**,**,**,**,1,
2010 June,**,**,**,**,**,**,0,
2010 July,**,**,**,**,**,**,0,
2010 August,**,**,**,**,**,**,0,
2010 September,**,**,**,**,**,**,0,
2010 October,"176,000","210,000","246,000","270,000","230,000","231,560",20,
2010 November,"196,000","226,000","252,000","290,000","230,000","245,471",17,
2010 December,"178,000","224,000","243,000","268,000","235,000","237,676",25,
2011 January,"178,000","220,000","239,000","264,000","232,500","229,541",22,
2011 February,"181,000","208,000","241,000","266,000","230,000","228,857",21,
2011 March,"200,000","229,000","256,000","286,000","245,000","251,310",21,
2011 April,"215,000","245,000","278,000","333,000","257,500","273,250",12,
2011 May,"175,000","225,000","245,000","290,000","240,000","243,857",14,
2011 June,"184,000","212,000","232,000","274,000","225,000","238,769",13,
2011 July,"157,000","222,000","235,000","266,000","225,000","216,560",15,
2011 August,"219,000","231,000","250,000","275,000","245,000","237,279",28,
2011 September,"180,000","225,000","233,000","275,000","225,000","226,733",15,
2011 October,"194,000","221,000","233,000","272,000","225,000","236,333",12,
2011 November,**,**,**,**,**,"211,250",4,
2011 December,**,**,**,**,**,"211,250",4,
2012 January,**,**,**,**,**,**,1,
2012 February,**,**,**,**,**,"257,343",7,
2012 March,"152,000","232,000","238,000","250,000","235,000","214,920",10,
2012 April,**,**,**,**,**,"227,067",6,
2012 May,"230,000","250,000","256,000","327,000","250,000","271,100",10,
2012 June,"175,000","245,000","250,000","270,000","250,000","237,193",14,
2012 July,"159,000","226,000","250,000","274,000","250,000","235,715",13,
2012 August,"192,000","250,000","273,000","334,000","260,000","272,890",20,
2012 September,"220,000","250,000","267,000","337,000","260,000","276,861",23,
2012 October,"234,000","260,000","272,000","351,000","260,000","287,988",17,
2012 November,"228,000","260,000","326,000","357,000","282,500","305,030",20,
2012 December,"220,000","240,000","275,000","329,000","260,000","276,232",31,
2013 January,"225,000","240,000","275,000","345,000","260,000","281,824",29,
2013 February,"212,000","231,000","266,000","369,000","240,000","278,840",25,
2013 March,"222,000","240,000","290,000","426,000","252,500","307,338",16,
2013 April,"229,000","245,000","280,000","364,000","260,000","287,326",23,
2013 May,"227,000","245,000","280,000","426,000","255,000","294,838",16,
2013 June,**,**,**,**,**,"319,156",9,
2013 July,**,**,**,**,**,"309,256",9,
2013 August,**,**,**,**,**,"304,917",6,
2013 September,"204,000","253,000","307,000","330,000","272,500","276,330",10,
2013 October,"220,000","250,000","270,000","400,000","267,500","292,746",24,
2013 November,"220,000","250,000","274,000","406,000","267,500","311,128",32,
2013 December,"240,000","266,000","308,000","434,000","272,500","331,495",22,
2014 January,"245,000","262,000","308,000","424,000","270,000","323,296",25,
2014 February,"238,000","270,000","330,000","488,000","325,000","347,295",22,
2014 March,"230,000","250,000","270,000","330,000","260,000","290,392",25,
2014 April,"240,000","250,000","280,000","400,000","265,000","302,842",19,
2014 May,"244,000","250,000","274,000","406,000","265,000","320,423",13,
2014 June,**,**,**,**,**,"491,200",6,
2014 July,**,**,**,**,**,"357,750",8,
2014 August,"230,000","250,000","290,000","400,000","260,000","299,145",11,
2014 September,"212,000","230,000","262,000","342,000","250,000","267,338",13,
2014 October,**,**,**,**,**,"261,400",9,
2014 November,"198,000","250,000","271,000","296,000","260,000","260,077",13,
2014 December,"244,000","270,000","300,000","320,000","290,000","284,927",26,
2015 January,"215,000","270,000","300,000","320,000","285,000","283,800",14,
2015 February,"229,000","280,000","300,000","348,000","295,000","312,044",16,
2015 March,"238,000","280,000","300,000","394,000","290,000","317,056",27,
2015 April,"238,000","278,000","300,000","378,000","290,000","300,373",26,
2015 May,"210,000","244,000","288,000","324,000","265,000","276,338",13,
2015 June,"230,000","250,000","300,000","330,000","265,000","269,109",11,
2015 July,**,**,**,**,**,"293,117",6,
2015 August,**,**,**,**,**,"326,780",5,
2015 September,**,**,**,**,**,**,3,
2015 October,**,**,**,**,**,**,3,
2015 November,**,**,**,**,**,"290,367",6,
2015 December,**,**,**,**,**,"259,533",6,
2016 January,**,**,**,**,**,"259,533",6,
2016 February,**,**,**,**,**,"283,460",5,
2016 March,**,**,**,**,**,"289,467",6,
2016 April,"234,000","248,000","280,000","346,000","250,000","277,618",11,
2016 May,**,**,**,**,**,"264,375",4,
2016 June,**,**,**,**,**,**,1,
2016 July,**,**,**,**,**,**,2,
2016 August,**,**,**,**,**,**,1,
