"Saskatoon — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"88,000","111,000","130,000","155,000","120,000","125,595",42,
1990 February,"91,000","117,000","135,000","155,000","125,000","128,595",40,
1990 March,"90,000","110,000","130,000","165,000","122,500","126,321",34,
1990 April,"87,000","100,000","126,000","151,000","120,000","122,795",31,
1990 May,"100,000","125,000","135,000","180,000","127,500","138,342",34,
1990 June,"97,000","124,000","135,000","175,000","125,000","135,912",41,
1990 July,"95,000","125,000","135,000","175,000","130,000","136,962",44,
1990 August,"90,000","105,000","130,000","160,000","122,500","135,538",34,
1990 September,"90,000","125,000","135,000","233,000","125,000","149,897",35,
1990 October,"95,000","120,000","135,000","225,000","127,500","148,116",44,
1990 November,"95,000","120,000","135,000","200,000","125,000","142,353",44,
1990 December,"83,000","116,000","135,000","191,000","125,000","138,760",47,
1991 January,"80,000","110,000","133,000","197,000","122,500","137,856",40,
1991 February,"85,000","115,000","135,000","185,000","127,500","138,627",34,
1991 March,"95,000","122,000","138,000","198,000","132,500","146,221",30,
1991 April,"91,000","112,000","139,000","194,000","132,500","144,145",32,
1991 May,"85,000","107,000","135,000","168,000","120,000","135,561",35,
1991 June,"98,000","112,000","135,000","179,000","122,500","141,745",32,
1991 July,"100,000","110,000","130,000","187,000","120,000","141,197",31,
1991 August,"106,000","114,000","125,000","135,000","120,000","126,184",15,
1991 September,"110,000","125,000","138,000","172,000","130,000","148,314",20,
1991 October,"96,000","119,000","127,000","152,000","120,000","136,316",21,
1991 November,"110,000","120,000","135,000","230,000","130,000","151,519",19,
1991 December,"92,000","112,000","126,000","192,000","120,000","136,739",25,
1992 January,"78,000","110,000","120,000","156,000","117,500","128,792",20,
1992 February,"72,000","110,000","124,000","235,000","117,500","141,256",18,
1992 March,"72,000","113,000","124,000","235,000","117,500","142,700",18,
1992 April,"82,000","112,000","126,000","221,000","120,000","139,313",15,
1992 May,"83,000","110,000","131,000","212,000","120,000","137,775",16,
1992 June,"83,000","110,000","131,000","212,000","120,000","137,775",16,
1992 July,"92,000","124,000","140,000","237,000","130,000","153,700",18,
1992 August,"110,000","130,000","155,000","260,000","137,500","170,104",24,
1992 September,"125,000","140,000","175,000","250,000","152,500","173,776",24,
1992 October,"125,000","139,000","167,000","236,000","150,000","173,444",21,
1992 November,"126,000","152,000","188,000","243,000","170,000","181,318",20,
1992 December,"116,000","134,000","177,000","236,000","157,500","175,925",16,
1993 January,"122,000","134,000","177,000","236,000","157,500","176,675",16,
1993 February,"114,000","130,000","177,000","236,000","142,500","172,363",16,
1993 March,"120,000","135,000","185,000","250,000","162,500","180,207",14,
1993 April,"124,000","144,000","191,000","255,000","175,000","185,197",13,
1993 May,"125,000","145,000","190,000","220,000","175,000","177,988",19,
1993 June,"132,000","144,000","157,000","212,000","150,000","172,921",21,
1993 July,"129,000","150,000","187,000","238,000","155,000","180,876",18,
1993 August,"130,000","141,000","177,000","232,000","155,000","175,338",20,
1993 September,"118,000","130,000","165,000","210,000","140,000","166,403",21,
1993 October,"130,000","135,000","160,000","195,000","150,000","165,646",29,
1993 November,"117,000","133,000","172,000","223,000","150,000","167,268",23,
1993 December,"108,000","130,000","157,000","208,000","137,500","160,103",22,
1994 January,"90,000","135,000","160,000","185,000","145,000","158,967",19,
1994 February,"112,000","138,000","164,000","202,000","155,000","164,687",18,
1994 March,"110,000","130,000","150,000","200,000","135,000","159,289",19,
1994 April,"118,000","133,000","150,000","190,000","137,500","160,245",18,
1994 May,"120,000","135,000","150,000","170,000","140,000","153,922",19,
1994 June,"114,000","131,000","150,000","167,000","140,000","150,141",22,
1994 July,"101,000","132,000","150,000","164,000","145,000","150,735",25,
1994 August,"115,000","135,000","160,000","255,000","150,000","165,694",19,
1994 September,"116,000","135,000","160,000","229,000","150,000","165,536",25,
1994 October,"115,000","145,000","170,000","225,000","155,000","167,308",29,
1994 November,"120,000","140,000","159,000","191,000","150,000","159,615",37,
1994 December,"120,000","135,000","155,000","176,000","150,000","149,053",43,
1995 January,"125,000","140,000","156,000","183,000","150,000","154,679",31,
1995 February,"122,000","140,000","155,000","176,000","150,000","151,674",36,
1995 March,"120,000","140,000","155,000","180,000","150,000","153,030",34,
1995 April,"124,000","135,000","157,000","184,000","150,000","157,285",38,
1995 May,"110,000","135,000","150,000","172,000","140,000","147,684",33,
1995 June,"118,000","135,000","149,000","174,000","140,000","150,334",27,
1995 July,"115,000","135,000","141,000","166,000","135,000","144,818",26,
1995 August,"121,000","136,000","154,000","250,000","142,500","166,392",22,
1995 September,"121,000","142,000","176,000","274,000","152,500","189,660",20,
1995 October,"118,000","135,000","163,000","250,000","145,000","171,781",27,
1995 November,"125,000","142,000","168,000","250,000","150,000","176,248",25,
1995 December,"111,000","135,000","157,000","230,000","145,000","165,723",26,
1996 January,"91,000","125,000","143,000","234,000","135,000","153,910",25,
1996 February,"96,000","125,000","145,000","218,000","135,000","155,137",26,
1996 March,"99,000","125,000","144,000","250,000","135,000","158,987",22,
1996 April,"99,000","127,000","153,000","250,000","140,000","163,544",22,
1996 May,"110,000","125,000","155,000","250,000","145,000","170,370",19,
1996 June,"106,000","125,000","155,000","244,000","145,000","169,925",15,
1996 July,"105,000","125,000","145,000","220,000","125,000","158,547",14,
